filename,feature_id,feature_type
standard_of_comparison_map.Rmd,1,elative; essive; essive/lative; lative; dedicated
standard_of_comparison_map.Rmd,2,super; cont; ad; in; a-loc; no_localization
perfect_map.Rmd,1,periphrastic; synthetic; mixed
particles_map.Rmd,1,Single marker type; Dedicated markers; No particle attested
particles_map.Rmd,2,particle; verb; no particle
morning_greetings_map.Rmd,1,Did you wake up?; Good morning; Both; No special greeting
optative_map.Rmd,1,numeric
optative_map.Rmd,2,imperative; non-imperative; both; non-applicable
optative_map.Rmd,3,say; non-say; both; non-applicable
optative_map.Rmd,4,standard negation; prohibitive-based; volitional negation; both; non-applicable
prohibitives_map.Rmd,1,suffix; circumfix; prefix; infix; free particle
prohibitives_map.Rmd,2,non-imperative verb form + special prohibitive marker; regular imperative + special prohibitive marker; regular imperative + regular negation marker
prohibitives_map.Rmd,3,yes; no
labials_map.Rmd,1,"w; v; v, w; w, β"
velar_fricatives_map.Rmd,1,"xʲ; ɣ, x; ɣ, x, xʲ; x; x, xʲ; none"
voiceless_obstruents_map.Rmd,1,one-way; two-way; three-way; four-way
voiceless_obstruents_map.Rmd,2,C; C-Cʼ; C-Cʰ; C-Cʼ-Cʼː; C-Cː-Cʼ; C-Cː-Cʼ-Cʼː; C-Cː-Cʰ-Cʼ
comitative_map.Rmd,2,comitative; instrumental; spatial; no_case
caritive_adv_map.Rmd,1,dedicated suffix/clitic (~ lessly); not having converb; adposition (~ without)
dominant_adpositional_case_map.Rmd,1,abstract; spatial; ambiguous; none
dominant_adpositional_case_map.Rmd,2,nominative; genitive; dative; other; irrelevant
dominant_adpositional_case_map.Rmd,3,superessive; contessive; locative; irrelevant
agreement_of_adpositions_map.Rmd,2,numeric
agreement_of_adpositions_map.Rmd,3,numeric
days_before_and_after_today_map.Rmd,1,non-derivational; semi-compositional; compositional
days_before_and_after_today_map.Rmd,2,numeric
days_before_and_after_today_map.Rmd,3,numeric
numeral_origin_map.Rmd,1,emphatic particle; class marker; mixed; unclear; no numeral marker
numeral_regularity_map.Rmd,1,1—20; 2—10; 2—20; 1—1000; 2—1000; other; no numeral marker
numeral_one_map.Rmd,1,present; absent; no numeral marker
numeral_twoten_map.Rmd,1,present; other; no numeral marker
numeral_twenty_map.Rmd,1,present; absent; derived decimally (2x10); no numeral marker
numeral_hundred_map.Rmd,1,present; present (except composites); absent; derived vigesimally (5x20); no numeral marker
numeral_thousand_map.Rmd,1,present; present (except composites); absent; no data; no numeral marker
numeral_crowns_endings_map.Rmd,1,yes; no; borrowed; vigesimal; no numeral marker
