CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	NOTE	NUMBER	SCHOOL	URL	VOLUME	CONTRIBUTOR	COMMENT
book	vandenberg1995	van den Berg, Helma	A grammar of Hunzib	1995		Lincom	Munich											Aigul Zakirova	
book	sumbatovamutalov2003	Sumbatova, Nina R. and Mutalov, Rasul O.	A Grammar of Icari Dargwa	2003		Lincom Europa	Munich											Aigul Zakirova	
book	sumbatovalander2014	Сумбатова, Нина Р. and Ландер, Юрий А.	Даргинский говор селения Танты: грамматический очерк. Вопросы синтаксиса	2014		Языки славянской культуры	Moscow											Aigul Zakirova	
book	saidovaabusov2012	Саидова, Патимат А. and Абусов, Магомед Г.	Ботлихско-русский словарь	2012	Botlikh-Russian dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Makhachkala											Aigul Zakirova	
book	saidova1973	Саидова, Патимат А.	Годоберинский язык. Грамматический очерк, тексты, словарь	1973	Godoberi. Grammar, texts, dictionary	ИЯЛИ	Makhachkala											Aigul Zakirova	
misc	polinskydraft2015	Polinsky, Maria	Tsez Syntax: A Description	2015														Aigul Zakirova	
book	nichols2011	Nichols, Johanna	Ingush grammar	2011		University of California Press	Berkeley/Los Angeles											Aigul Zakirova	
incollection	nichols1994	Nichols, Johanna	Chechen	1994		Caravan Press	Delmar, NY	1--77	The Indigenous Languages of the Caucasus, vol. 4: The Northeast Caucasian Languages, Part 2		Smeets, Rieks							Aigul Zakirova	
book	magomedovaxalidova2001	Магомедова, Патимат Т. and Халидова, Рашидат Ш.	Каратинско-русский словарь	2001	Karata-Russian dictionary	ИЯЛИ	Makhachkala											Aigul Zakirova	
book	kazenin2013	Казенин, Константин И.	Синтаксис современного лакского языка	2013	Syntax of contemporary Lak	ИЯЛИ	Makhachkala											Aigul Zakirova	
book	isakovxalilov2012	Исаков, Исак А. and Халилов, Маджид Ш.	Гунзибский язык (Фонетика. Морфология. Словообразование. Лексика. Тексты)	2012	Hunzib (Phonetics, Morphology, Word-Formation, Lexicon, Texts)	Институт истории, языка и литературы им. Г. Цадасы	Makhachkala											Aigul Zakirova	
book	hewitt1995	Hewitt, George	Georgian. A Structural Reference Grammar	1995		School of Oriental and African Studies, University of London	London					London Oriental and African Language Library	2		University of London			Aigul Zakirova	
misc	forkerdraft2020	Forker, Diana	Avar grammar sketch	2020		Oxford University Press	Oxford		Oxford Handbook of Languages of the Caucasus		Polinsky, Maria							Aigul Zakirova	
article	forker2018b	Forker, Diana	Gender agreement is different	2018				865--894				Linguistics	56	4				Aigul Zakirova	
article	daniel2021	Даниэль, Михаил А.	Согласование по косвенности в нахско-дагестанских языках: обзор эмпирических данных	2021	Agreement in obliqueness in East Caucasian: A formal survey			102--130				Rhema		2				Aigul Zakirova	
incollection	boguslavskaja1995	Boguslavskaja, Ol'ga	Genitives and adjectives as attributes in Daghestanian	1995		Oxford University Press.	New York	230–239	Double Case: Agreement by Suffixaufnahme. 		Plank, Frans							Aigul Zakirova	
incollection	chumakina2009	Chumakina, Marina	Loanwords in Archi, a Nakh-Daghestanian language of the North Caucasus.	2009		Walter de Gruyter	Berlin, New York	430-446	Loanwords in the world’s languages: A comparative handbook		Haspelmath, Martin and Tadmor, Uri							Aigul Zakirova	
article	clemdawson2024	Clem, Emily and Dawson, Virginia	The emergence of case matching in discontinuous DPs	2024				955-1002				Natural Language & Linguistic Theory		3			42	Aigul Zakirova	
book	corbett2006	Corbett, Greville G.	Agreement.	2006		Cambridge University Press	Cambridge											Aigul Zakirova	
article	dobrushina2013	Dobrushina, Nina	How to study multilingualism of the past: Investigating traditional contact situations in Daghestan.	2013				376-393.				Journal of Sociolinguistics		3			17	Aigul Zakirova	
article	dobrushina2011	Добрушина, Нина Р.	Многоязычие в Дагестане конца XIX-начала XXI века: попытка количественной оценки.	2011	Multilingualism in Daghestan from the end of the 19th to the beginning of the 21st century: an attempt at a quantitative evaluation			61-80				Вопросы языкознания					4	Aigul Zakirova	
incollection	dressler1985	Dressler, Wolfgang U.	Suppletion in word formation	1985		Walter de Gruyter	Berlin	97-112	Historical semantics—historical word-formation		Fisiak, Jacek							Aigul Zakirova	
article	graschenkov2021	Гращенков, Павел В.	Статус показателей именного согласования в теории, типологии и хваршинском языке	2021	Concord markers in linguistic theory, typology and in Khwarshi			75-99				Typology of morphosyntactic parameters		1			4	Aigul Zakirova	
article	lopez2020	López, Belem G. 	Incorporating language brokering experiences into bilingualism research: An examination of informal translation practices.	2020				янв.19				Language and Linguistics Compass		1			14	Aigul Zakirova	
incollection	lyutikova2021	Лютикова, Екатерина А.	Согласование по косвенности в дагестанских языках: эскиз синтаксической модели	2021	Obliqueness agreement in the languages of Daghestan: a sketch of a syntactic model	Буки Веди	Москва	187-213	Дурхъаси хазна. Сборник статей к 60-летию Р. О. Муталова	Durqasi xazna. A collection of papers for R. O. Mutalov’s 60th birthday	Майсак, Тимур А. and Сумбатова, Нина Р. and Тестелец, Яков Г.							Aigul Zakirova	
book	matasovic2018	Matasović, Ranko	An areal typology of agreement systems.	2018		Cambridge University Press	Cambridge											Aigul Zakirova	
inproceedings	norris2019	Norris, Mark	A typological perspective on nominal concord. 	2019		Linguistic Society of America	New York	12:1-15	Proceedings of the Linguistic Society of America					1			4	Aigul Zakirova	
masterthesis	popova2024	Popova, Margarita	Number-driven dislexification in the expression of size properties: the case of East Caucasian. 	2024			Moscow								Higher School of Economics			Aigul Zakirova	
phdthesis	zakirova2023	Zakirova, Aigul	Number marking across different word classes in the East Caucasian languages.	2023			Moscow								Higher School of Economics			Aigul Zakirova	
