CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	NOTE	NUMBER	SCHOOL	URL	VOLUME	CONTRIBUTOR	COMMENT	HOWPUBLISHED
incollection	keenan2000	Keenan, Edward L.	Morphology is structure: A Malagasy test case	2000		Springer	Dordrecht	27--47	Formal Issues in {A}ustronesian Linguistics		Paul, Ileana and Phillips, Vivianne and Travis, Lisa									
article	gruenthal2019	Grünthal, Riho	Canonical and non-canonical patterns in the adpositional phrase of Western Uralic: Constraints of borrowing	2019				9--34				Journal de la Société Finno-Ougrienne					97			
mastersthesis	zadykian2021	Zadykian, Sara	The comparison of functions of spatial postpositions in Andic languages	2021			Moscow								HSE University					
book	hagege2010	Hagège, Claude	Adpositions	2010		Oxford University Press	Oxford													
book	maisak2014	Майсак, Тимур А.	Агульские тексты 1900-1960-х годов.	2014	Agul texts of the 1900-1960s	Academia	Moscow													
book	magomedovaabdulaeva2007	Магомедова, Патимат Т. and Абдулаева, Индира А.	Ахвахско-русский словарь	2007	Akhvakh-{R}ussian dictionary	ИЯЛИ	Makhachkala													
book	magomedova1999	Магомедова, Патимат Т.	Чамалинско-русский словарь	1999	Chamalal-{R}ussian dictionary	ИЯЛИ	Makhachkala													
unpublished	schulze2005	Schulze, Wolfgang	A functional grammar of Udi	2005																
incollection	holiskygagua1994	Holisky, Dee Ann and Gagua, Rusudan	Tsova-Tush (Batsbi)	1994		Caravan Books	Delmar NY	147--212	The indigenous languages of the Caucasus. Volume 4. Part 2		Smeets, Riek									
incollection	daniel2001	Даниэль, Михаил А.	Падеж и локализация	2001	Case and localization	Наследие	Moscow	203--230	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.									
book	sumbatovamutalov2003	Sumbatova, Nina R. and Mutalov, Rasul O.	A Grammar of Icari Dargwa	2003		Lincom Europa	Munich													
incollection	sosenskaja2001pp	Сосенская, Татьяна Б.	Послеложная группа	2001	Postpositional phrase	Наследие	Moscow	405--407	Багвалинский язык. Грамматика, тексты, словари.	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.									
book	forker2013	Forker, Diana	A grammar of Hinuq	2013		De Gruyter Mouton	Berlin/Boston													
book	alekseev1988	Алексеев, Михаил Е.	Сравнительно-историческая морфология аваро-андийских языков	1988	Comparative-historical morphology of {A}var-{A}ndic	Наука	Moscow													
