CATEGORY	BIBTEXKEY	AUTHOR	AUTHOR_old	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	EDITOR_old	HOWPUBLISHED	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	COMMENT	correction_notes
incollection	greenberg1970	Greenberg, Joseph		Some Generalizations concerning Glottalic Consonants, Especially Implosives	1970		University of Chicago Press	Chicago	127	International Journal of American Linguistics													
book	maddieson1984	Maddieson, Ian		Patterns of sounds	1984		Cambridge University Press	Cambridge	103														
incollection	ohala&solé2008	Ohala, John Jerome and Sole, Maria-Josep		Turbulence and Phonology	2008		Mouton deGruyter	Berlin		Turbulent sounds. An interdisciplinary guide		Susanne Fuchs, Martine Toda & Marzena Zygis											
misc	kayeetaldraft2020	Kaye, Stephen and Martynova, Aleksandra and Moroz, George and Rochant, Neige and Verhees, Samira and Zakirova, Aigul		A sketch of Andi (Zilo dialect)	2020		De Gruyter Mouton	Berlin/New York	4	The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian		Koryakov, Yuri and Maisak, Timur									Samira Verhees		
book	bokarev1949a	Бокарёв, Анатолий А.		Очерк грамматики чамалинского языка	1949	Grammar sketch of Chamalal	Издательство Академии наук СССР	Moscow/Leningrad	12, 15														
book	alekseevataev1997	Алексеев, Михаил Е. and Атаев, Борис М.		Аварский язык	1997	Avar language	Академия	Moscow	35												George Moroz		
book	sumbatovalander2014	Сумбатова, Нина Р. and Ландер, Юрий А.		Даргинский говор селения Танты: грамматический очерк. Вопросы синтаксиса	2014		Языки славянской культуры	Moscow	40-41												Samira Verhees		
phdthesis	khalilova2009	Khalilova, Zaira		A grammar of Khwarshi	2009				13									University of Leiden					
book	magomedbekova1971	Магомедбекова, Загидат М.		Каратинский язык	1971	Karata 	Мецниереба	Tbilisi	14														
book	alekseevetal2012	Алексеев, Михаил Е. and Атаев, Борис М. and Магомедов, Магомед А. and Магомедов, Магомед И. and Мадиева, Гюльжаган И. and Саидова, Патимат А. and Самедов, Джалиль С.	Алексеев, Михаил Е. and Атаев, Борис Махаевич and Магомедов, Магомед Абдулкадирович and Магомедов, Магомед Ибрагимович and Мадиева, Гюльжаган Исмаиловна and Саидова, Патимат Абдулаевна and Самедов, Джалиль Самедович	Современный аварский язык	2012	Contemporary Avar language	Aleph	Makhachkala	31												Samira Verhees		
book	authier2009	Authier, Gilles		Grammaire kryz	2009		Peeters	Paris	12												Chiara Naccarato		
misc	schulze2005	Schulze, Wolfgang		A functional grammar of Udi	2005				13												Polina Nasledskova	NOT IN THE FOLDER	
