CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR	ISSUE	URL
incollection	forker2018a	Oxford		Forker, Diana	Evidentiality in {N}akh-{D}aghestanian languages		The {O}xford {H}andbook of {E}videntiality					Aikhenvald, Alexandra Y.									490--509	Oxford University Press					2018		
incollection	tatevosov2007	Saint Petersburg		Татевосов, С. Г.	Эвиденциальность и адмиратив в багвалинском языке	Evidentiality and admirative in Bagvalal	Эведенциальность в языках Европы и Азии: сборник статей памяти Натальи Андреевны Козинцевой	Evidentiality in languages of Europe and Asia: Volume in memoriam N. A. Kozintseva				Храковский, В. С.									351--397	Наука					2007		
phdthesis	verhees2019b			Verhees, Samira	Эвиденциальность как часть видо-временной системы в нахско-дагестанских языках	Evidentiality as parto of TAM system in East Caucasian																	HSE University, Moscow				2019		
incollection	maisaktatevosov2007	Louvain/Paris/Dudley MA		Maisak, Timur and Tatevosov, Sergei	Beyond evidentiality and mirativity. {E}vidence from {T}sakhur		L'Énonciation médiatisée {I}{I}.					Guentchéva, Zlatka and Landabaru, John									377--406	Peeters					2007		
incollection	johanson2000	Berlin/New York		Johanson, Lars	Turkic indirectives		Evidentials. {T}urkic, {I}ranian and {N}eighbouring {L}anguages					Johanson, Lars and Utas, Bo									61--88	Mouton de Gruyter					2000		
article	lazard1999	Berlin/New York		Lazard, Gilbert	Mirativity, evidentiality, mediativity, or other?										Linguistic Typology						91--109	Walter de Gruyter				3	1999	1	
incollection	friedman2000	Berlin/New York		Friedman, Victor A.	Confirmative/nonconfirmative in {B}alkan {S}lavic, {B}alkan {R}omance, and {A}lbanian with additional observations on {T}urkish, {R}omani, {G}eorgian, and {L}ak		Evidentials. {T}urkic, {I}ranian and {N}eighbouring {L}anguages					Johanson, Lars and Utas, Bo									329--367	Mouton de Gruyter					2000		
misc	molochieva2007			Molochieva, Zarina	Category of evidentiality and mirativity in {C}hechen								Paper presented at the Conference on the Languages of the Caucasus, 7-9.12.2007, Max Planck Institute EVA, Leipzig					Conference on the Languages of the Caucasus, 7-9.12.2007, Max Planck Institute EVA, Leipzig. Hand-out									2007		
phdthesis	molochieva2010			Molochieva, Zarina	Tense, aspect and mood in {C}hechen																		Universität Leipzig				2010		
incollection	slobinaksukoc1982	Amsterdam		Slobin, Dan I. and Aksu-Koç, Ayhan A.	Tense, {A}spect and {M}odality in the {U}se of the {T}urkish {E}vidential		Tense-aspect: {B}etween semantics and pragmatics					Hopper, Paul J.									185--200	John Benjamins					1982		
incollection	johanson2018	Oxford		Johanson, Lars	Turkic indirectivity		The {O}xford {H}andbook of {E}videntiality					Aikhenvald, Alexandra Y.									510--524	Oxford University Press					2018		
incollection	lazard2000	Berlin/New York		Lazard, Gilbert	Le médiatif: considérations théoriques et application à l'iranien		Evidentials. {T}urkic, {I}ranian and {N}eighbouring {L}anguages					Johanson, Lars and Utas, Bo									209--228	Mouton de Gruyter					2000		
book	erdal2004	Leiden		Erdal, Marcel	A grammar of {O}ld {T}urkic																	Brill					2004		
book	wixman1980			Wixman, Ronald	Language aspects of ethnic patterns and processes in the {N}orth {C}aucasus																	University of Chicago, Department of Geography					1980		
book	arutjunovetal2002	Moscow		Арутюнов, С. А. and Османов, А. И. and Сергеева, Г. А.	Народы Дагестана	Dagestan People																Наука					2002		
book	multidag	Moscow		Dobrushina, Nina and Staferova, Daria and Belokon, Alexander	Atlas of {M}ultilingualism in {D}aghestan {O}nline																	Linguistic Convergence Laboratory, HSE University					2017		https://multidagestan.com
unpublished	aristova2019			Aristova, Maria	Database of {T}urkic borrowings in {E}ast {C}aucasian (Manuscript)													Unpublished									2019		
incollection	maisak2021	Amsterdam		Maisak, Timur	Structural and functional variations of the perfect in {L}ezgic languages		The perfect volume: Papers on the Perfect					Eide, Kristin Melum and Fryd, Marc									88–115	John Benjamins					2021		
incollection	lindstedt2000	Berlin/New York		Lindstedt, Jouko	The perfect -- aspectual, temporal and evidential		Tense and aspect in the languages of {E}urope					Dahl, Östen									365--384	Mouton de Gruyter					2000		
