CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	NOTE	NUMBER	SCHOOL	URL	VOLUME	CONTRIBUTOR	COMMENT	...21	...22	...23	...24
incollection	holiskygagua1994	Holisky, Dee Ann and Gagua, Rusudan	Tsova-Tush (Batsbi)	1994	NA	Caravan Books	Delmar NY	147--212	The indigenous languages of the Caucasus. Volume 4. Part 2	NA	Smeets, Riek	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magometov1963	Магометов, Александр А.	Кубачинский язык	1963	Kubachi	Академия Наук Грузинской ССР	Tbilisi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	xalilov1999	Халилов, Маджид Ш.	Цезско-русский словарь	1999	Tsez-Russian dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chiara Naccarato	31.01.2021	NA	NA	NA	NA
book	gimbatov2006	Гимбатов, М. М.	Аварско-русский словарь	2006	Avar-Russian dictionary	ДНЦ РАН	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Anastasia Panova	NA	NA	author name	NA	NA
book	forker2013	Forker, Diana	A grammar of Hinuq	2013	NA	De Gruyter Mouton	Berlin/Boston	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	dobrushina2019	Dobrushina, Nina	Moods of Mehweb	2019	NA	Language Science Press	Berlin	117--165	The Mehweb language. Essays on phonology, morphology and syntax	NA	Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry	NA	NA	NA	NA	NA	NA	Chiara Naccarato	17.12.2021	NA	NA	NA	NA
book	alisultanovsulejmanova2019	Алисултанов, Алисултан С. and Сулейманова, Таисия А.	Рутульско-русский словарь	2019	Rutul-Russian dictionary	АЛЕФ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	there are two versions in the folder: pdf and xlsx parsed by GM	NA	NA	NA
book	abdullaev1954	Абдуллаев, Сайгид Н.	Грамматика даргинского языка	1954	Dargwa grammar	ИЯЛИ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	talibovgadzhiev1966	Талибов, Букар Б. and Гаджиев, Магомед М.	Лезгинско-русский словарь	1966	Lezgian-Russian dictionary	Советская Энциклопедия	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Samira Verhees	31.01.2021	NOT IN THE FOLDER	NA	NA	NA
book	vandenberg1995	van den Berg, Helma	A grammar of Hunzib	1995	NA	Lincom	Munich	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	naccaratoverhees2021	Naccarato, Chiara. and Verhees, Samira	Morning greetings	2021	NA	Linguistic Convergence Laboratory, NRU HSE	Moscow	NA	Typological Atlas of the Languages of Daghestan (TALD)	NA	Daniel, Michael and Filatov, Konstantin and Moroz, George and Mukhin, Timofey and Naccarato, Chiara and Verhees, Samira	NA	DOI: 10.5281/zenodo.6807070. http://lingconlab.ru/dagatlas.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	abdullaev2018	Абдуллаев, Иса Х.	Лакско-русский словарь	2018	Lak-Russian dictionary	ИЯЛИ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Samira Verhees	08.06.2022	NOT IN THE FOLDER	year	NA	NA
