CATEGORY	BIBTEXKEY	AUTHOR	AUTHOR_OLD	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	EDITOR_OLD	HOWPUBLISHED	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	COMMENT
phdthesis	abdulaeva2001	Абдулаева, Индира А.		Ратлубский говор ахвахского языка: Фонетика и морфология	2001	Ratlub variety of Akhvakh: Phonetics and morphology												Дагестанский государственный педагогический университет	Автореферат		Maksim Melenchenko	NOT IN THE FOLDER
book	alekseevetal2012	Алексеев, Михаил Е. and Атаев, Борис М. and Магомедов, Магомед А. and Магомедов, Магомед И. and Мадиева, Гюльжаган И. and Саидова, Патимат А. and Самедов, Джалиль С.	Алексеев, Михаил Е. and Атаев, Борис Махаевич and Магомедов, Магомед Абдулкадирович and Магомедов, Магомед Ибрагимович and Мадиева, Гюльжаган Исмаиловна and Саидова, Патимат Абдулаевна and Самедов, Джалиль Самедович	Современный аварский язык	2012	Contemporary Avar language	Aleph	Makhachkala													Samira Verhees	
book	alekseevshixalieva2003	Алексеев, Михаил Е. and Шихалиева, Сабрина Х.		Табасаранский язык	2003	Tabasaran	Академия	Moscow														
article	forker2018b	Forker, Diana		Gender agreement is different	2018				865--894						Linguistics	56	4				Chiara Naccarato	
incollection	ganenkov_maisak2021	Ganenkov, Dmitry and Maisak, Timur		Nakh-Dagestanian Languages	2021		Oxford University Press	Oxford	86-145	The Oxford Handbook of Languages of the Caucasus		Polinsky, Maria									Maksim Melenchenko	
book	ibragimov1978	Ибрагимов, Гарун Х.		Рутульский язык	1978	Rutul	Академия Наук СССР	Moscow													Chiara Naccarato	NOT IN THE FOLDER
phdthesis	khalilova2009	Khalilova, Zaira		A grammar of Khwarshi	2009													University of Leiden				
book	kibriketal1996			Godoberi	1996		Lincom Europa	Munich/Newcastle				Kibrik, Alexandr and Tatevosov, Sergej and Eulenberg, Alexander										
book	magometov1963	Магометов, Александр А.		Кубачинский язык	1963	Kubachi	Академия Наук Грузинской ССР	Tbilisi														
book	maxmudova2001	Махмудова, Светлана М.		Морфология рутульского языка	2001	Morphology of Rutul	Советский писатель	Moscow													Samira Verhees	Not in the folder; added for chapter on causatives
book	nichols2011	Nichols, Johanna		Ingush grammar	2011		University of California Press	Berkeley/Los Angeles														
book	salimov2010	Салимов, Хангерей С.	Салимов, Хангерей Саидович	Гагатлинский говор андийского языка	2010	The Gagatli dialect of Andi	ИЯЛИ	Makhachkala													Samira Verhees	2010 reprint of a 1968 dissertation.
misc	authier_ikhrek	Authier, Gilles		Ikhrek Rutul (manuscript)															unpublished		Chiara Naccarato	
