CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	NOTE	NUMBER	SCHOOL	URL	VOLUME	CONTRIBUTOR	COMMENT
incollection	chechuro2019	Chechuro, Ilya	Nominal morphology of Mehweb	2019		Language Science Press	Berlin	39--72	The Mehweb language. Essays on phonology, morphology and syntax		Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry								
book	alekseevataev1997	Алексеев, Михаил Е. and Атаев, Борис М.	Аварский язык	1997	Avar language	Академия	Moscow											George Moroz	28.04.2021
incollection	lander2010	Lander, Yury	Dialectics of adnominal modifiers: On concord and incorporation in nominal phrases	2010		ENS éditions	Lyon	287--311	Essais de typologie et de linguistique générale. Mélanges offerts à Denis Creissels		Franck Floricic								
misc	chumakina2020	Chumakina, Marina	Unusual Agreement targets: Agreement or concord	2020			Moscow						Plenary talk at Typology of Morphosyntactic Parameters, MSU, October 8, 2020.						
book	terrill2003	Terrill, Angela	A Grammar of Lavukaleve	2003		De Gruyter Mouton	Berlin/New York												
book	magomedbekova1971	Магомедбекова, Загидат М.	Каратинский язык	1971	Karata 	Мецниереба	Tbilisi												
book	mikailov1959	Микаилов, Шигабуддин	Очерки аварской диалектологии	1959	Essays on Avar dialectology	Издательство Академии наук СССР [Ленинградское отд-ние]	Ленинград												
book	alekseevataev1997	Алексеев, Михаил Е. and Атаев, Борис М.	Аварский язык	1997	Avar language	Академия	Moscow											George Moroz	28.04.2021
book	zhirkov1955	Жирков, Лев И.	Лакский язык	1955	Lak	Академия	Moscow												
article	chumakina2021	Чумакина, Марина	Несогласовательные функции согласовательных показателей в дагестанских языках	2021	Non-agreeing functions of agreement markers in Nakh-Daghestanian languages		Moscow	131--158				Rhema		2					
book	kibrik1999	Кибрик, Александр Е.	Элементы цахурского языка в типологическом освещении	1999	Elements of Tsakhur grammar in a typological perspective	Наследие	Moscow											Samira Verhees	28.01.2021
book	abdullaev1954	Абдуллаев, Сайгид Н.	Грамматика даргинского языка	1954	Dargwa grammar	ИЯЛИ	Махачкала												
book	kazenin2013	Казенин, Константин И.	Синтаксис современного лакского языка	2013	Syntax of contemporary Lak	ИЯЛИ	Makhachkala												
