CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	date_added	COMMENT	correction_notes	new
incollection	cysouw2013	Cysouw, Michael	Inclusive/Exclusive Distinction in Independent Pronouns	2013		Zenodo			The World Atlas of Language Structures Online		Dryer, Mattew and Haspelmath, Martin						https://doi.org/10.5281/zenodo.7385533					1
book	dum-tragut2009	Dum-Tragut, Jasmine	Armenian	2009		John Benjamins	Amsterdam/Philadelphia															
book	hewitt1995	Hewitt, George	Georgian. A Structural Reference Grammar	1995		School of Oriental and African Studies, University of London	London					London Oriental and African Language Library	2		University of London			Polina Smyr	30.08.2021			
book	griunberg1963	Грюнберг, Александр Л.	Язык североазербайджанских татов	1963	The language of the Northern Azerbaijani Tats	Издательство академии наук СССР	Leningrad											Aigul Zakirova	21.09.21			
book	abdullaevaetal2014	Абдуллаева, Айшат З. and Гаджиахмедов, Нурмагомед Э. and Кадыраджиев, Калсын С. and Керимов, Ибрагим А. and Ольмесов, Нурмагомед Х. and Хангишиев, Джангиши М.	Современный кумыкский язык	2014	Contemporary Kumyk	ИЯЛИ	Makhachkala															
book	baskakov1973	Баскаков, Николай А.	Грамматика ногайского языка. Часть 1. Фонетика и морфология	1973	Nogai grammar. Part 1. Phonetics and morphology	Карачаево-Черкесское отделение Ставропольского книжного издательства	Cherkessk											Chiara Naccarato	07.06.2022			
book	shiralievsevortyan1971	Ширалиев, Мамедага Ш. and Севортян, Эрванд В.	Грамматика азербайджанского языка (фонетика, морфология, синтаксис)	1971	Azerbaijani grammar (phonetics, morphology, syntax)	Элм	Baku															
book	magomedbekova1971	Магомедбекова, Загидат М.	Каратинский язык	1971	Karata 	Мецниереба	Tbilisi															
book	isakov2020	Исаков, Исак Абдулвахидович	Кусурский диалект аварского языка	2020	Kusur dialect of the Avar language	Институт ЯЛИ ДФИЦ РАН, АЛЕФ	Makhachkala											Asya Alekseeva	17.07.2024	NOT IN THE FOLDER		
book	alekseevataev1997	Алексеев, Михаил Е. and Атаев, Борис М.	Аварский язык	1997	Avar language	Академия	Moscow											George Moroz	28.04.2021			
incollection	koryakov2021	Коряков, Юрий Б.	Даргинские языки и их классификация	2021	Dargwa languages and their classification	Буки-Веди	Moscow	139-154	Дурхъаси хазна. Сборник статей к 60-летию Р.О. Муталова	Durqasi χazna. Collection of articles dedicated to the 60th anniversary of R.O. Mutalov	Майсак, Тимур А. and Сумбатова, Нина Р. and Тестелец, Яков Г.											
incollection	ganenkov2013	Ганенков, Дмитрий С.	Реконструкция системы личных местоимений прадаргинского языка	2013	Reconstruction of the system of personal pronouns of the proto-Dargwa language	Институт языкознания РАН	Moscow	98-108	Вторая конференция-школа "Проблемы языка: взгляд молодых ученых". Сборник статей	The second conference-school "Problems of language: the view of young scientists". Collection of articles	Демьянков, Валерий З. and Дыбо, Анна В.											
book	kibrikkodzasov1990	Кибрик, Александр Е. and Кодзасов, Сандро В.  	Сопоставительное изучение дагестанских языков. Имя. Фонетика	1990	A comparative study of Daghestanian languages. Noun. Phonetics	Издательство Академии наук СССР	Moscow															
book	temirbulatova2004	Темирбулатова, Сапияханум М.	Хайдакский диалект даргинского языка	2004	Khaidak dialect of Dargwa	Институт языка, литературы и искусства им. Г. Цадасы	Makhachkala											Polina Nasledskova				
book	vandenberg2001	van den Berg, Helma	Dargi folktales. Oral stories from the Caucaus with an introduction to Dargi grammar	2001		CNWS	Leiden															
book	abdullaev1954	Абдуллаев, Сайгид Н.	Грамматика даргинского языка	1954	Dargwa grammar	ИЯЛИ	Makhachkala															
phdthesis	shakhbanova2007	Шахбанова, Джума Н.	Бутринский говор даргинского языка	2007	The Butri dialect of Dargwa										Дагестанский Государственный Педагогический Университет			Chiara Naccarato	19.08.2021	NOT IN THE FOLDER		
article	belyaev2019	Беляев, Олег И.	Место ширинского и амузгинского среди диалектов даргинского языка	2019	The Position of Shiri and Amuzgi among Dargwa Varieties			20-38				Томский журнал лингвистических и антропологических исследований	24	2				Asya Alekseeva	31.07.2023	NOT IN THE FOLDER		
book	sumbatovamutalov2003	Sumbatova, Nina R. and Mutalov, Rasul O.	A Grammar of Icari Dargwa	2003		Lincom Europa	Munich															
book	forker2020dargwa	Forker, Diana	A grammar of Sanzhi Dargwa	2020		Language Science Press	Berlin															
book	sumbatovalander2014	Сумбатова, Нина Р. and Ландер, Юрий А.	Даргинский говор селения Танты: грамматический очерк. Вопросы синтаксиса	2014		Языки славянской культуры	Moscow											Samira Verhees				
book	magometov1963	Магометов, Александр А.	Кубачинский язык	1963	Kubachi	Академия Наук Грузинской ССР	Tbilisi															
phdthesis	babaliyeva2013	Babaliyeva, Ayten	Études sur la morphosyntaxe du Tabasaran Littéraire	2013	Studies on the morphosyntax of Standard Tabasaran										École Pratique des Hautes Études			Chiara Naccarato	05.11.2021			
book	haspelmath1993	Haspelmath, Martin	A grammar of Lezgian	1993		Mouton de Gruyter	Berlin/New York															
book	kibrik1977	Кибрик, Александр Е.	Опыт структурного описания арчинского языка. Том {II}. Таксономическая грамматика	1977	Structural description of Archi. Volume II. Taxonomic grammar	Издательство Московского университета	Moscow															
book	authier2009	Authier, Gilles	Grammaire kryz	2019		Peeters	Paris											Chiara Naccarato	17.12.2021			
article	authier2021	Authier, Gilles	Clusivity and the history of personal pronouns in East Caucasian	2021				205-222				Folia Linguistica Historica	55	s42-s1				Asya Alekseeva	11.09.2024	NOT IN THE FOLDER	volume added, but it is strange (https://www.degruyter.com/document/doi/10.1515/flin-2021-2019/html)	
incollection	saadiev1994	Saadiev, Sh. M.	Kryts	1994		Caravan Press	Delmar, NY	407--446	The Indigenous Languages of the Caucasus. Vol. 4: The Northeast Caucasian Languages. Part 2		Smeets, Rieks							Chiara Naccarato	19.08.2021	NOT IN THE FOLDER	author name	
book	maxmudova2001	Махмудова, Светлана М.	Морфология рутульского языка	2001	Morphology of Rutul	Советский писатель	Moscow											Samira Verhees	22.04.2023	Not in the folder; added for chapter on causatives		
book	ibragimov2004	Ибрагимов, Гарун Х.	Рутульский язык	2004	Rutul	Народы Дагестана	Makhachkala															
phdthesis	ibragimova2009	Ибрагимова, Лейла Магомедовна	Мюхрекский диалект рутульского языка	2009	Myukhrek dialect of the Rutul language										ДГПУ			Asya Alekseeva	19.07.2024	NOT IN THE FOLDER		
phdthesis	islamov2014	Исламов, Рейман Атемович	Хновский говор борчинско-хновского диалекта рутульского языка: фонетика, морфология, лексика	2014	Khnov idiom of the Borch-Khnov dialect of the Rutul language: phonetics, morphology, lexicon										ДГПУ			Asya Alekseeva	19.07.2024	NOT IN THE FOLDER		
book	kibriketal1972	Кибрик, Александр Е. and Кодзасов, Сандро В. and Оловянникова, Ирина П.	Фрагменты грамматики хиналугского языка	1972	Fragments of Khinalug grammar	Издательство Академии наук СССР	Moscow															
incollection	nichols1994	Nichols, Johanna	Chechen	1994		Caravan Press	Delmar, NY	1--77	The Indigenous Languages of the Caucasus, vol. 4: The Northeast Caucasian Languages, Part 2		Smeets, Rieks											
book	dobrushinaetal2017	Dobrushina, Nina and Staferova, Daria and Belokon, Alexander	Atlas of Multilingualism in Dagestan Online	2017		Linguistic Convergence Laboratory, HSE	Moscow										https://multidagestan.com					
book	nikolaevstarostin1994	Nikolayev, Sergey L. and Starostin, Sergey A.	A North Caucasian Etymological Dictionary	1994		Asterisk Publishers	Moscow															
book	zhirkov1955	Жирков, Лев И.	Лакский язык	1955	Lak	Академия	Moscow															
book	mikailov1967	Микаилов, Казбек Ш.	Арчинский язык	1967	Archi	ИЯЛИ	Makhachkala															
book	alekseev1985	Алексеев, Михаил Е.	Вопросы сравнительно-исторической грамматики лезгинских языков. Морфология. Синтаксис	1985	Problems of the comparative grammar of Lezgic languages. Morphology. Syntax	Наука	Moscow											Maksim Melenchenko	17.08.2022			
incollection	friedman2021	Friedman, Victor	Lak	2021		Oxford University press	Oxford	201-241	The Oxford Handbook of Languages of the Caucasus, 		Polinsky, Maria											
incollection	chumakina2009	Chumakina, Marina	Loanwords in Archi, a Nakh-Daghestanian language of Russia	2009		Mouton de Gruyter	Berlin	430–446	Loanwords in the World's Languages: A Comparative Handbook		Haspelmath, Martin and Tadmor, Uri											
article	dobrushina2013	Dobrushina, Nina	Ho to study mutlilingualism in the past: Investigating traditional contact situations in Daghestan	2013				376-393				Journal of Sociolinguistics	17	3								
incollection	daniel2026	Daniel, Michael and Maisak, Timur	Nakh-Daghestanian	to appear		Oxford University press	Oxford		Oxford Handbook of Historical Morphology		Arkadiev, Peter and Rainer, Franz											
article	kaxadze1964	K’axaʒe, Ot’ia	Ink’luziuri da eksk’luziuri nacvalsaxelebistaobaze arčibulši	1964	On inclusive and exclusive pronouns in Archi			363-371				Iberiul-k’avk’asiuri enatmecniereba	14									
incollection	antonenko2011	Harris, Alice and Antonenko, Andrei	Language Contact and the Origins of Multiple Exponence in Archi Pronouns	2011		Verlag Otto Sagner	München/Berlin	223-244	Languages and cultures in the Caucasus: papers from the International Conference "Current Advances in Caucasian Studies" Macerata, January 21-23, 2010		Tomelleri, Vittorio Springfield and Topadze, Manana and Lukianowicz, Anna											
