CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR	URL	ISBN	VERSION	DOI	ISSUE
ARTICLE	everett13			Everett, Caleb	Evidence for direct geographic influences on linguistic sounds: {T}he case of ejectives										PloS one				6		e65275	Public Library of Science				8	2013					
ARTICLE	regier16			Regier, Terry and Carstensen, Alexandra and Kemp, Charles	Languages support efficient communication about the environment: {W}ords for snow revisited										PlOS ONE				4		e0151138	Public Library of Science San Francisco, CA USA				11	2016					
ARTICLE	bentz18			"Bentz, Christian and Dediu, Dan and Verkerk, Annemarie and J{\""""a}ger, Gerhard"	The evolution of language families is shaped by the environment beyond neutral drift										Nature Human Behaviour				11		816--821	Nature Publishing Group				2	2018					
ARTICLE	urban21			Urban, Matthias and Moran, Steven	Altitude and the distributional typology of language structure: {E}jectives and beyond										Plos one				2		e0245522	Public Library of Science San Francisco, CA USA				16	2021					
ARTICLE	urban20			Urban, Matthias	Mountain linguistics										Language and Linguistics Compass				9		e12393	Wiley Online Library				14	2020					
ARTICLE	hay07			Hay, Jennifer and Bauer, Laurie	Phoneme inventory size and population size										Language				2		388--400	Linguistic Society of America				83	2007					
ARTICLE	moran12			Moran, Steven and McCloy, Daniel and Wright, Richard	Revisiting population size vs. phoneme inventory size										Language						877--893	JSTOR					2012					
ARTICLE	wichmann11			Wichmann, S{\o}ren and Rama, Taraka and Holman, Eric W	Phonological diversity, word length, and population sizes across languages: {T}he {A}SJP evidence										Linguistic Typology				2		177--198	Walter de Gruyter GmbH \& Co. KG				15	2011					
ARTICLE	donohue11			Donohue, Mark and Nichols, Johanna	Does phoneme inventory size correlate with population size?										Linguistic Typology				2		161--170	Walter de Gruyter GmbH \& Co. KG				15	2011					
ARTICLE	nichols13			Nichols, Johanna	The vertical archipelago: {A}dding the third dimension to linguistic geography										Space in language and linguistics: Geographical, interactional, and cognitive perspectives						38--60						2013					
