CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	COMMENT
book	alekseevshixalieva2003	Алексеев, Михаил Е. and Шихалиева, Сабрина Х.	Табасаранский язык	2003	Tabasaran	Академия	Moscow												
article	comrie1999	Comrie, Bernard	Spatial cases in {D}aghestanian languages	1999			Berlin	108--117				Language {T}ypology and {U}niversals	52	2					
incollection	chechuro2019	Chechuro, Ilya	Nominal morphology of Mehweb	2019		Language Science Press	Berlin	39--72	The Mehweb language. Essays on phonology, morphology and syntax		Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry								
incollection	comriepolinsky1998	Comrie, Bernard and Polinsky, Maria	The great {D}aghestan case coax	1998		John Benjamins	Amsterdam/Philadelphia	95--114	Case, typology, and grammar: {I}n honor of {B}arry {J}. {B}lake		Siewierska, Anna and Song, Jae Jung								
incollection	creissels2009	Creissels, Denis	Spatial cases	2009		Oxford University Press	Oxford/New York	609--625	The {O}xford {H}andbook of {C}ase		Malchukov, Andrej and Spencer, Andrew								
incollection	danielganenkov2009	Daniel, Michael and Ganenkov, Dmitry	Case marking in {D}aghestanian: limits of elaboration	2009		Oxford University Press	Oxford/New York	668--685	The {O}xford {H}andbook of {C}ase		Malchukov, Andrej and Spencer, Andrew								
book	desheriev1953	Дешериев, Юнус Д.	Бацбийский язык	1953	Tsova-Tush language	Академия	Moscow												
book	dum-tragut2009	Dum-Tragut, Jasmine	Armenian	2009		John Benjamins	Amsterdam/Philadelphia												
article	forker2019	Forker, Diana	The impact of language contact on {H}inuq: {P}honology, morphology, syntax, and lexicon	2019				221--253				Language {T}ypology and {U}niversals	72	2					
incollection	holiskygagua1994	Holisky, Dee Ann and Gagua, Rusudan	Tsova-Tush ({B}atsbi)	1994		Caravan Books	Delmar NY	147--212	The indigenous languages of the {C}aucasus		Smeets, Riek		4	2					
incollection	kibrik1970	Кибрик, Александр Е.	К типологии пространственных значений (на материале падежных систем дагестанских языков)	1970	Towards a typology of spatial meanings: data from case systems of the languages of {D}aghestan	MSU	Moscow	110--157	Язык и человек. Сборник статей памяти профессора П. С. Кузнецова	Collection of papers in memoriam of professor P. S. Kuznetsov									
book	kibrik2001	Кибрик, Александр Е. and Казенин, Константин И. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	Багвалинский язык. Грамматика, тексты, словари	2001	The Bagvalal language. Grammar, texts, dictionary	Наследие	Moscow												
incollection	kibrik2003	Kibrik, Alexander E.	Nominal inflection galore: {D}aghestanian, with side glances at {E}urope and the world	2003		Mouton De Gruyter	Berlin/New York	37--112	Noun phrase tructure in the languages of {E}urope		Plank, Frans								
book	magomedbekova1967	Магомедбекова, Загидат М.	Ахвахский язык	1967	Akhvakh	Мецниереба	Tbilisi												
book	magometov1965	Магометов, Александр А.	Табасаранский язык: исследование и тексты	1965	Tabasaran: research and texts	Мецниереба	Tbilisi												
book	sumbatovalander2014	Сумбатова, Нина Р. and Ландер, Юрий А.	Даргинский говор селения {Т}анты: грамматический очерк. Вопросы синтаксиса	2014		Языки славянской культуры	Moscow												
unpublished	testelets1980	Тестелец, Яков Г.	Именные локативные формы в дагестанских языках	1980 (2003)	Nominal spatial forms in the languages of {D}aghestan											MA thesis			
book	vandenberg1995	van den Berg, Helma	A grammar of {H}unzib	1995		Lincom	Munich												
book	bokarev1959tsez	Бокарев, Евгений А.	Цезский язык	1959	Tsez	Академия	Moscow	175--221	Цезские (дидойские) языки Дагестана	Tsezic (Didoic) languages of Daghestan	Бокарев, Евгений А.								
