CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	date_added	COMMENT	correction_notes
article	moroz2012	Мороз, Г. А.	Модели образования количественных числительных и устройство языковых систем счисления языков Кавказа	2012		РГГУ	Москва														
book	mikailov1967	Микайлов, Казбек Ш.	Арчинский язык	1967	Archi	ИЯЛИ	Makhachkala														
article	forker2015	Forker, Diana	Towards a semantic map for intensifying particles: Evidence from Avar	2015		STUF - Language Typology and Universals		485–513					68	4							
incollection	maisakchumakina2001	Майсак, Тимур А. and Чумакина, Марина Э.	Дискурсивные частицы	2001	Discursive particles	Наследие	Moscow	702--723	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.										
unpublished	forker2020	Forker, Diana	Avar grammar sketch	2020		Oxford University Press	Oxford		Oxford Handbook of Languages of the Caucasus		Polinsky, Maria										
unpublished	mukhin2020	Mukhin, Timofey	Numerals in Kina Rutul	2020		Higher School of Economics															
article	chumakina2021	Чумакина, М. Э.	Несогласовательные функции согласовательных показателей в дагестанских языках	2021				131—148				Rhema. Рема		2							
book	magomedbekova1967	Магомедбекова, Загидат М.	Ахвахский язык	1967	Akhvakh	Мецниереба	Tbilisi														
book	kibrik1999	Кибрик, Александр Е.	Элементы цахурского языка в типологическом освещении	1999	Elements of Tsakhur grammar in a typological perspective	Наследие	Moscow											Samira Verhees	28.01.2021		
book	forker2013	Forker, Diana	A grammar of Hinuq	2013		De Gruyter Mouton	Berlin/Boston														
book	gasanova1971	Гасанова, Саида М.	Очерки даргинской диалектологии	1971	Essays on Dargwa dialectology	Институт истории, языка и литературы им. Г. Цадасы	Makhachkala											Anastasia Panova	30.08.2021		
book	sumbatovalander2014	Сумбатова, Нина Р. and Ландер, Юрий А.	Даргинский говор селения Танты: грамматический очерк. Вопросы синтаксиса	2014		Языки славянской культуры	Moscow											Samira Verhees			
book	nichols2011	Nichols, Johanna	Ingush grammar	2011		University of California Press	Berkeley/Los Angeles														
book	genko1955	Генко, А. П.	Абазинский язык. Грамматический очерк наречия тапанта	1955	Abaza language. Grammatical overview of the Tapanta dialect	Академия наук СССР	Moscow														
article	caludeverkerk2016	A. S. Calude, A. Verkerk	The typology and diachrony of higher numerals in Indo-European: a phylogenetic comparative study	2016				1—18				Journal of Language Evolution	0	0							
book	magomedbekova1971	Магомедбекова, Загидат М.	Каратинский язык	1971	Karata 	Мецниереба	Tbilisi														
incollection	tatevosov2001numerals	Татевосов, Сергей Г.	Числительное	2001	Numeral	Наследие	Moscow	155--159	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.										
book	magomedova2012	Магомедова, Патимат Т.	Тиндинский язык	2012	Tindi	ИЯЛИ	Makhachkala														
book	forker2020dargwa	Forker, Diana	A grammar of Sanzhi Dargwa	2020		Language Science Press	Berlin														
incollection	tatevosov1996	Tatevosov, Sergej	Attributives	1996		Lincom Europa	Munich/Newcastle	20—35	Godoberi		Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander										
book	magometov1963	Магометов, Александр А.	Кубачинский язык	1963	Kubachi	Академия Наук Грузинской ССР	Tbilisi														
incollection	saidova2001	Саидова, Патимат А.	Ботлихский язык	2001	Botlikh	Academia	Moscow	222--228	Языки Российской Федерации и соседних государств. Энциклопедия в трех томах	The languages of Russia and adjacent states. Encyclopaedia in three volumes								Chiara Naccarato	05.02.2021		
book	authier2009	Authier, Gilles	Grammaire kryz	2009		Peeters	Paris											Chiara Naccarato	17.12.2021		
book	mobili2010	Мобили, Роберт Б.	Удинско-азербайджанско-русский словарь	2010	Udi-Azerbaijani-Russian dictionary	Леман	Baku											Polina Smyr	30.08.2021		
book	gukasyan1974	Гукасян, Ворошил	Удинско-азербайджанско-русский словарь	1974	Udi-Azerbaijani-Russian dictionary	Элм	Baku											George Moroz	29.04.2021		
book	vandenberg1995	van den Berg, Helma	A grammar of Hunzib	1995		Lincom	Munich														
book	haspelmath1993	Haspelmath, Martin	A grammar of Lezgian	1993		Mouton de Gruyter	Berlin/New York														
book	salimov2010	Салимов, Хангерей Саидович	Гагатлинский говор андийского языка	2010	The Gagatli dialect of Andi	ИЯЛИ	Makhachkala											Samira Verhees		2010 reprint of a 1968 dissertation.	
book	abdullaev1954	Абдуллаев, Сайгид Н.	Грамматика даргинского языка	1954	Dargwa grammar	ИЯЛИ	Makhachkala														
book	talibov2007	Талибов, Букар Б.	Будухский язык	2007	Budukh	Академия	Moscow														
book	ibragimov2004	Ибрагимов, Гарун Х.	Рутульский язык	2004	Rutul	Народы Дагестана	Makhachkala														
incollection	nasledskovanetkachev2021	Polina Nasledskova and Ivan Netkachev	Ordinal numerals	2021		Linguistic Convergence Laboratory, NRU HSE	Moscow		Typological Atlas of the Languages of Daghestan (TALD)		Michael Daniel and Konstantin Filatov and George Moroz and Timofey Mukhin and Chiara Naccarato and Samira Verhees						http://lingconlab.ru/dagatlas				
incollection	martzloff2017	Vincent Martzloff	The derivation history of ordinal numbers in Armenian, Georgian and other Caucasian languages	2017		ИЯЛИ	Makhachkala		Historical Linguistics of the Caucasus: Book of abstracts. Paris, 12–14 April, 2017												
incollection	stolzveselinova2013	Thomas Stolz and Ljuba N. Veselinova	Ordinal Numerals	2013		Max Planck Institute for Evolutionary Anthropology	Leipzig		The World Atlas of Language Structures Online		Matthew S. Dryer and Martin Haspelmath						https://wals.info/chapter/53				
incollection	gil2013	David Gil	Distributive Numerals	2013		Max Planck Institute for Evolutionary Anthropology	Leipzig		The World Atlas of Language Structures Online		Matthew S. Dryer and Martin Haspelmath						https://wals.info/chapter/54				
book	sumbatovamutalov2003	Sumbatova, Nina R. and Mutalov, Rasul O.	A Grammar of Icari Dargwa	2003		Lincom Europa	Munich														
phdthesis	khalilova2009	Khalilova, Zaira	A grammar of Khwarshi	2009											University of Leiden						
misc	starostinstarostin	Starostin, Sergei, and Starostin, George	Tower of Babel: etymological database														https://starlingdb.org				
book	magometov1970	Магометов, Александр А.	Агульский язык	1970	Agul	Мецниереба	Tbilisi														
book	zhirkov1955	Жирков, Лев И.	Лакский язык	1955	Lak	Академия	Moscow														
book	saidova2007	Саидова, Патимат А.	Закатальский диалект аварского языка	2007	The Zaqatala dialect of Avar	ИЯЛИ	Makhachkala											Samira Verhees			
book	hurford1987	Hurford, James R.	Language and Number: the emergence of a cognitive system	1987		Basil Blackwell	Oxford														
article	dobrushina2007	Добрушина Нина Роландовна	Многоязычие в Дагестане, или зачем человеку три языка	2007								Социологический журнал		1							
book	bokarev1949	Бокарёв, Анатолий А.	Очерк грамматики чамалинского языка	1949	Grammar sketch of Chamalal	Издательство Академии наук СССР	Moscow/Leningrad														
unpublished	ganenkov2021draft	Ganenkov, Dmitry	Chirag Dargwa	2021																	
