CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	date_added	COMMENT	correction_notes
article	comriepolinsky1998	Bernard, Comrie and Maria, Polinsky	The great Daghestanian case hoax 	1998		Typology and Grammar		95--114													
phdthesis	khalilova2009	Khalilova, Zaira	A grammar of Khwarshi	2009											University of Leiden						
phdthesis	molochieva2010	Molochieva, Zarina	Tense, aspect and mood in Chechen	2010											Universität Leipzig						
phdthesis	babaliyeva2013	Babaliyeva, Ayten	Études sur la morphosyntaxe du Tabasaran Littéraire	2013	Studies on the morphosyntax of Standard Tabasaran										École Pratique des Hautes Études			Chiara Naccarato	05.11.2021		
book	authier2012	Authier, Gilles	Grammaire juhuri, ou judéo-tat, langue iranienne des Juifs du Caucase de l’est	2012		Dr. Ludwig Reichert Verlag Wiesbaden	Wiesbaden											Chiara Naccarato			
book	magomedova2003	Магомедова, Патимат Т.	Тиндинско-русский словарь	2003	Tindi-Russian dictionary	ИЯЛИ	Makhachkala														
book	alekseevetal2008		Удинский сборник: Грамматика. Лексика. История языка	2008	Udi. Grammar. Lexicon. History of the language	Академия	Moscow				Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.										
book	authier2009	Authier, Gilles	Grammaire kryz	2019		Peeters	Paris											Chiara Naccarato	17.12.2021		
book	dum-tragut2009	Dum-Tragut, Jasmine	Armenian	2009		John Benjamins	Amsterdam/Philadelphia														
book	baskakov1973	Баскаков, Николай А.	Грамматика ногайского языка. Часть 1. Фонетика и морфология	1973	Nogai grammar. Part 1. Phonetics and morphology	Карачаево-Черкесское отделение Ставропольского книжного издательства	Cherkessk											Chiara Naccarato	07.06.2022		
book	magometov1970	Магометов, Александр А.	Агульский язык	1970	Agul	Мецниереба	Tbilisi														
book	maisak2014	Майсак, Тимур А.	Агульские тексты 1900-1960-х годов.	2014	Agul texts of the 1900-1960s	Academia	Moscow											Corrected (Chiara Naccarato)	01.02.2021		
book	kibrik2001		Багвалинский язык. Грамматика, тексты, словари	2001	The Bagvalal language. Grammar, texts, dictionary	Наследие	Moscow				Кибрик, Александр Е. and Казенин, Константин И. and Лютикова, Екатерина А. and Татевосов, Сергей Г.										
book	hewitt1995	Hewitt, George	Georgian. A Structural Reference Grammar	1995		School of Oriental and African Studies, University of London	London					London Oriental and African Language Library	2		University of London			Polina Smyr	30.08.2021		
incollection	Nogina2023	Nogina, Alexandra	Number of morphological slots in spatial forms	2023		Linguistic Convergence Laboratory	Moscow		Typological Atlas of the Languages of Daghestan (TALD)		Daniel, Michael and Filatov, Konstantin and Maisak, Timur and Moroz, George and Mukhin, Timofey and Naccarato, Chiara and Verhees, Samira										
book	kibrik1999		Элементы цахурского языка в типологическом освещении	1999	Elements of Tsakhur grammar in a typological perspective	Наследие	Moscow				Кибрик, Александр Е.							Samira Verhees	28.01.2021		
misc	alexeyevverheesdraft2020	Alexeyev, Mikhail and Verhees, Samira	Botlikh	2020		De Gruyter Mouton	Berlin/New York		The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian		Koryakov, Yuri and Maisak, Timur										
