CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR
incollection	maisak2021	Amsterdam	NA	Maisak, Timur	Structural and functional variations of the perfect in {L}ezgic languages	NA	The perfect volume: Papers on the Perfect	NA	NA	NA	NA	Eide, Kristin Melum and Fryd, Marc	NA	NA	NA	NA	NA	NA	NA	NA	88–115	John Benjamins	NA	NA	NA	NA	2021
incollection	ritz2012	Oxford	NA	Ritz, Marie-Eve	Perfect tense and aspect	NA	The {O}xford {H}andbook of {T}ense and {A}spect	NA	NA	NA	NA	Binnick, Robert I.	NA	NA	NA	NA	NA	NA	NA	NA	881--907	Oxford University Press	NA	NA	NA	NA	2012
book	comrie1976	Cambridge	NA	Comrie, Bernard	Aspect	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reprinted in 2001	NA	NA	NA	Cambridge University Press	NA	NA	NA	NA	1976
incollection	mccawley1971	New York	NA	McCawley, J.D.	Tense and time reference in {E}nglish	NA	Studies in linguistic semantics	NA	NA	NA	NA	Fillmore, C.J. and Langendoen, T.	NA	NA	NA	NA	NA	NA	NA	NA	96--113	Holt, Rinehart and Winston	NA	NA	NA	NA	1971
book	bybee1994	Chicago/London	NA	Bybee, Joan L. and Perkins, Revere and Pagliuca, William	The evolution of grammar: tense, aspect and modality in the languages of the world	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	The University of Chicago Press	NA	NA	NA	NA	1994
incollection	plungian2016	Saint Petersburg	NA	Плунгян, Владимир. А.	К типологии перфекта в языках мира. Предисловие	On typology of Perfect in languages of the world. Introduction	Типология перфекта	Typology of Perfect	NA	NA	NA	Майсак, Тимур А. and Плунгян, Владимир А. and Семёнова, Ксения П.	NA	NA	NA	NA	NA	NA	NA	NA	7--38	Наука	NA	NA	NA	NA	2016
unpublished	alexeyevverheesunpub	Berlin/New York	NA	Alexeyev, Mikhail and Verhees, Samira	Botlikh	NA	Handbook of {C}aucasian {L}anguages. {V}ol. 2. {N}akh-{D}aghestanian	NA	NA	NA	NA	Koryakov, Yury and Maisak, Timur	NA	NA	NA	NA	NA	To appear	NA	NA	NA	De Gruyter Mouton	NA	NA	NA	NA	To appear
article	bybeedahl1989	NA	NA	Bybee, Joan and Dahl, Östen	The creation of tense and aspect systems in the languages of the world	NA	NA	NA	NA	NA	NA	NA	NA	NA	Studies in Language	NA	NA	NA	1	NA	51--103	NA	NA	NA	NA	13	1989
incollection	verhees2018	Amsterdam	NA	Verhees, Samira	The perfect in {A}var and {A}ndi: {C}ross-linguistic variation among two closely related {E}ast {C}aucasian languages	NA	Tense, aspect, modality and evidentiality: {C}ross-linguistic perspectives	NA	NA	NA	NA	Ayoun, Dalila and Celle, Agnès and Lansari, Laure	NA	NA	NA	NA	NA	NA	NA	NA	261--280	John Benjamins	NA	NA	NA	NA	2018
incollection	nedjalkovjaxontov1988	Amsterdam	NA	Nedjalkov, Vladimir and Jaxontov, Sergei	The typology of resultative constructions	NA	Typology of resultative constructions	NA	NA	NA	NA	Nedjalkov, Vladimir	NA	NA	NA	NA	NA	NA	NA	NA	3--62	John Benjamins	NA	NA	NA	NA	1988
incollection	maisak2018	Leiden	NA	Maisak, Timur	The {A}orist/{P}erfect distinction in {N}izh {U}di	NA	The semantics of verbal categories in {N}akh-{D}aghestanian languages	NA	NA	NA	NA	Forker, Diana and Maisak, Timur	NA	NA	NA	NA	NA	NA	NA	NA	120--165	Brill	NA	NA	NA	NA	2018
incollection	belyaev2018	Leiden	NA	Belyaev, Oleg	Aorist, {R}esultative and {P}erfect in {S}hiri {D}argwa and beyond	NA	The semantics of verbal categories in {N}akh-{D}aghestanian languages	NA	NA	NA	NA	Forker, Diana and Maisak, Timur	NA	NA	NA	NA	NA	NA	NA	NA	80--119	Brill	NA	NA	NA	NA	2018
incollection	maisak2016	Saint Petersburg	NA	Майсак, Тимур А.	Перфект и аорист в ниджском диалекте удинского языка	Perfect and aorist in Nidzh dialect of Udi	Типология перфекта	Typology of Perfect	NA	NA	NA	Майсак, Тимур А. and Плунгян, Владимир А. and Семёнова, Ксения П.	NA	NA	NA	NA	NA	NA	NA	NA	315--378	Наука	NA	NA	NA	NA	2016
