CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR	URL	ISBN	VERSION	DOI	ISSUE
book	mudrak19	Moscow	NA	Mudrak, Oleg Alekseevič	Avarskie osnovy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Jazyki Narodov Mira	NA	NA	NA	NA	2019	NA	NA	NA	NA	NA
book	mudrak20	Moscow	NA	Mudrak, Oleg Alekseevič	Andijskie osnovy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Jazyki Narodov Mira	NA	NA	NA	NA	2020	NA	NA	NA	NA	NA
book	gigineyshvili77	Tbilisi	NA	Giginejšvili, B. K.	Sravnitelʹnaja fonetika dagestanskix jazykov	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Izdatelʹstvo Tbilisskogo universiteta	NA	NA	NA	NA	1977	NA	NA	NA	NA	NA
book	akiev77	Makhachkala	NA	Akiev, A. Š.	Istoriko-sravnitelʹnaja fonetika darginskogo i lakskogo jazykov: {S}istema konsonantizma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dagučpedgiz	NA	NA	NA	NA	1977	NA	NA	NA	NA	NA
misc	phoible	Leipzig	NA	NA	PHOIBLE {O}nline	NA	NA	NA	NA	NA	NA	Moran, Steven and McCloy, Daniel and Wright, Richard	NA	NA	NA	NA	NA	NA	NA	NA	NA	Max Planck Institute for Evolutionary Anthropology	NA	NA	NA	NA	2014	http://phoible.org/	NA	NA	NA	NA
book	kk90	Moscow	NA	Кибрик, Александр Е. and Кодзасов, Сандро В.	Сопоставительное изучение дагестанских языков. Имя. Фонетика	A comparative study of Daghestanian languages. Noun. Phonetics	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Издательство Академии наук СССР	NA	NA	NA	2	1990	NA	NA	NA	NA	NA
book	alekseev01	Moscow	NA	Алексеев, Михаил Е. and Климов, Георгий А. and Старостин, Сергей А. and Тестелец, Яков Г.	Языки мира. Кавказские языки	Languages of the world. Caucasian languages	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Academia	NA	NA	NA	NA	2001	NA	NA	NA	NA	NA
book	smeets94a	NA	NA	NA	The indigenous languages of the {C}aucasus	NA	The indigenous languages of the {C}aucasus	NA	NA	NA	NA	Job, D. M. and Smeets, R.	NA	NA	NA	NA	NA	NA	NA	NA	NA	Caravan Books	NA	NA	NA	3	1994	NA	NA	NA	NA	NA
book	smeets94b	NA	NA	NA	The indigenous languages of the {C}aucasus	NA	The indigenous languages of the {C}aucasus	NA	NA	NA	NA	Smeets, R.	NA	NA	NA	NA	NA	NA	NA	NA	NA	Caravan Books	NA	NA	NA	4	1994	NA	NA	NA	NA	NA
book	koryakov21	Berlin/New York	NA	NA	Handbook of {C}aucasian {L}anguages	NA	Handbook of {C}aucasian {L}anguages	NA	NA	NA	NA	Koryakov, Yu. and Maisak, T.	NA	NA	NA	NA	NA	NA	NA	NA	NA	De Gruyter Mouton	NA	NA	NA	2	Forthcoming	NA	NA	NA	NA	NA
book	hewitt04	NA	NA	Hewitt, George	Introduction to the {S}tudy of the {L}anguages of the {C}aucasus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lincom	NA	NA	NA	NA	2004	NA	NA	NA	NA	NA
book	ardoteli09	NA	NA	Ardoteli, Nodar	Xunjuri-andiuri-didouri enat'a istoriul-{\v{s}}edarebit'i p'onetika	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gamomc'emloba Universali	NA	NA	NA	NA	2009	NA	NA	NA	NA	NA
book	gudava64	NA	NA	Gudava, Togo Evstafʹevič	Konsonantizm andijskix jazykov: istoriko-sravnitelʹnyj analiz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Izd-vo Akademii nauk Gruzinskoj SSR	NA	NA	NA	NA	1964	NA	NA	NA	NA	NA
book	bokarev81	NA	NA	Bokarev, Evgenij Alekseevič	Sravnitelʹno-istoričeskaja fonetika vostočnokavkazskix jazykov	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nauka	NA	NA	NA	NA	1981	NA	NA	NA	NA	NA
book	bokarev60	NA	NA	Bokarev, Evgenij Alekseevič	Osnovnye voprosy istoričeskoj fonetiki dagestanskix jazykov	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Izdatelʹstvo vostočnoj literatury	NA	NA	NA	NA	1960	NA	NA	NA	NA	NA
book	imnayshvili77	NA	NA	Imnajšvili, D. S.	Istoriko-sravnitelʹnyj analiz fonetiki naxskix jazykov	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mecniereba	NA	NA	NA	NA	1977	NA	NA	NA	NA	NA
book	nikolayev94	NA	NA	Nikolayev, S. L. and Starostin, S. A.	A {N}orth {C}aucasian etymological dictionary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Asterisk Press	NA	NA	NA	NA	1994	NA	NA	NA	NA	NA
book	forker13	NA	NA	Forker, D.	A grammar of {H}inuq	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	De Gruyter Mouton	NA	NA	NA	NA	2013	NA	NA	NA	NA	NA
book	fenwick11	NA	NA	Fenwick, R. S. H.	A grammar of {U}bykh	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lincom Europa	NA	NA	NA	NA	2011	NA	NA	NA	NA	NA
