CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	date_added	COMMENT	correction_notes
phdthesis	maxmudova2002	Махмудова, Светлана М.	Грамматические классы слов и грамматические категории рутульского языка	2002	Grammatical word classes and grammatical categories of Rutul										ДГУ						
phdthesis	zakirova2023	Закирова, Айгуль Н.	Number marking across different word classes in the East Caucasian languages	2023			Moscow														
book	nichols2011	Nichols, Johanna	Ingush grammar	2011		University of California Press	Berkeley/Los Angeles														
book	kibrik2001	Кибрик, Александр Е. and Казенин, Константин И. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	Багвалинский язык. Грамматика, тексты, словари	2001	The Bagvalal language. Grammar, texts, dictionary	Наследие	Moscow														
book	haspelmath1993	Haspelmath, Martin	A grammar of Lezgian	1993		Mouton de Gruyter	Berlin/New York														
misc	maisak2006	Майсак, Тимур А.	Краткий русско-удинский разговорник (Ниджский диалект) 	2006	Short Udi phrasebook (Nizh dialect)											Accessed: 2021-12-17	http://udilang.narod.ru/texts/Udirazgovornik.pdf	Chiara Naccarato	17.12.2021		
incollection	dobrushina2019	Dobrushina, Nina  	Moods of Mehweb	2019		Language Science Press	Berlin	117--165	The Mehweb language. Essays on phonology, morphology and syntax		Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry							Chiara Naccarato	17.12.2021		
book	sumbatovalander2014	Сумбатова, Нина Р. and Ландер, Юрий А.	Даргинский говор селения Танты: грамматический очерк. Вопросы синтаксиса	2014		Языки славянской культуры	Moscow											Samira Verhees			
book	magometov1963	Магометов, Александр А.	Кубачинский язык	1963	Kubachi	Академия Наук Грузинской ССР	Tbilisi														
incollection	vanderauweraetal2013	van der Auwera, Johan and Lejeune, Ludo and Pappuswamy, Umarani and Goussev, Valentin	The Morphological Imperative	2013		Max Planck Institute for Evolutionary Anthropology	Leipzig		The {W}orld {A}tlas of {L}anguage {S}tructures {O}nline												
misc	ganenkov2021draft	Ganenkov, Dmitry	Chirag Dargwa	2021												manuscript		Maksim Melenchenko	30.03.2023		
incollection	starodubtseva2024	Starodubtseva, Maria	Distinction between transitive and intransitive imperatives	2024		Linguistic Convergence Laboratory	Moscow		Typological Atlas of the Languages of Daghestan (TALD)		Daniel, Michael and Filatov, Konstantin and Maisak, Timur and Moroz, George and Mukhin, Timofey and Naccarato, Chiara and Verhees, Samira										
