CATEGORY	BIBTEXKEY	AUTHOR	AUTHOR_old	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	EDITOR_old	HOWPUBLISHED	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	COMMENT	correction_notes
book	bammatov2013	Бамматов, Бурган Г. and Гаджиахмедов, Нурмагомед Э.		Кумыкско-русский словарь	2013	Kumyk-Russian dictionary	ИЯЛИ	Makhachkala												https://til.im/ru/slovar	Samira Verhees	the file is a preprint version, probably with "wrong" pages	author names edited, comments and URL added by Timur Maisak
book	dzhidalaevetal2022	Джидалаев, Нурислам С. and Магомедова, Заграт Дж. and Халилов, Маджид Ш.		Словарь хваршинского языка	2022	Khwarshi dictionary	ИЯЛИ	Makhachkala													Chiara Naccarato	NOT IN THE FOLDER	
book	haspelmath1993	Haspelmath, Martin		A grammar of Lezgian	1993		Mouton de Gruyter	Berlin/New York															
book	magomedovsaidovakutta2017	Магомедов, Амирбек Д. and Саидов-Аккутта, Набигулла И.		Кубачинско-русский словарь (рукопись)	2017	Kubachi-Russian dictionary (manuscript)	Наука	Saint-Petersburg													Polina Smyr	the file is a preprint version, probably with "wrong" pages	comment added by Timur Maisak
book	naftaliev2016	Нафталиев, Мардахай Н.		Еврейско (джуури)-русский словарь	2016	Juhuri-Russian dictionary	СТМЭГИ	Moscow													Samira Verhees		
book	xalilov1999	Халилов, Маджид Ш.		Цезско-русский словарь	1999	Tsez-Russian dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Makhachkala													Chiara Naccarato		
book	xalilovisakov2005	Халилов, Маджид Ш. and Исаков, Исак А.		Гинухско-русский словарь	2005	Hinuq-Russian dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Makhachkala													Chiara Naccarato		
misc	tjukaetal2026	Tjuka, Annika and Forkel, Robert and Rzymski, Christoph and List, Johann-Mattis 		CLICS⁴: An Improved Database of Cross-Linguistic Colexifications [Dataset, Version 1.0]	2026		MCL Chair at the University of Passau	Passau												https://doi.org/10.5281/zenodo.16900179			
incollection	francois2008	François, Alexandre		Semantic maps and the typology of colexification: Intertwining polysemous networks across languages	2008		Benjamins		163 -- 215	From Polysemy to Semantic change: Towards a Typology of Lexical Semantic Associations													
pdfthesis	suvorova2024	Suvorova, Mariia		Principy koleksifikacii v glagolax	2024	principles of colexification in verbs		Moscow										HSE University					
misc	say2020	Say, Sergey		BivalTyp: Typological database of bivalent verbs and their encoding frames	2020															https://bivaltyp.info/			
article	vendler1957	Vendler, Zeno		Verbs and times.	1957				143 -- 160						Philosophical Review	66]							
