CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	BOOKTITLE	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TITLE	TYPE	VOLUME	YEAR	TITLE_TRANSLATION	BOOKTITLE_TRANSLATION	URL
BOOK	abdullaev1950	Makhachkala		Абдуллаев, Сайгид Н.					Сулейманов Хизри Ш.										Институт истории, языка и литературы им. Г. Цадасы			Русско-даргинский словарь			1950	Russian-Dargwa dictionary		
BOOK	abdullaev1954	Makhachkala		Абдуллаев, Сайгид Н.															ИЯЛИ			Грамматика даргинского языка			1954	Dargwa grammar		
BOOK	abdullaevaetal2014	Makhachkala		Абдуллаева, Айшат З. and Гаджиахмедов, Нурмагомед Э. and Кадыраджиев, Калсын С. and Керимов, Ибрагим А. and Ольмесов, Нурмагомед Х. and Хангишиев, Джангиши М.															ИЯЛИ			Современный кумыкский язык			2014	Contemporary Kumyk		
MISC	abdulmutalibov2005	Makhachkala		Абдулмуталибов, Нариман Ш.											Accessed: 2021-12-17							Русско-лезгинский разговорник			2005	Russian-Lezgian phrasebook		
INCOLLECTION	alekseev1994	Delmar NY		Alekseev, Mikhail E.	The indigenous languages of the Caucasus. Volume 4. Part 2				Smeets, Riek									147--212	Caravan Books			Rutul			1994			
INCOLLECTION	alekseev1994budukh	Delmar NY		Alekseev, Mikhail E.	The indigenous languages of the Caucasus. Volume 4. Part 2				Smeets, Riek									259--296	Caravan Books			Budukh			1994			
INCOLLECTION	alekseev1998	Moscow		Алексеев, Михаил Е.	Языки мира. Кавказские языки				Алексеев, Михаил Е. and Климов, Георгий А. and Старостин, Сергей А. and Тестелец, Яков Г.									221--228	Academia			Андийский язык			1998	Andi	Languages of the world. Caucasian languages	
BOOK	alekseevataev1997	Moscow		Алексеев, Михаил Е. and Атаев, Борис М.															Академия			Аварский язык			1997	Avar language		
BOOK	alekseevetal1998	Moscow							Алексеев, Михаил Е. and Климов, Георгий А. and Старостин, Сергей А. and Тестелец, Яков Г.										Academia			Языки мира. Кавказские языки			1998	Languages of the world. Caucasian languages		
BOOK	alekseevetal2008	Moscow							Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.										Академия			Удинский сборник: Грамматика. Лексика. История языка			2008	Udi. Grammar. Lexicon. History of the language		
BOOK	alekseevetal2012	Makhachkala		Алексеев, Михаил Е. and Атаев, Борис Махаевич and Магомедов, Магомед Абдулкадирович and Магомедов, Магомед Ибрагимович and Мадиева, Гюльжаган Исмаиловна and Саидова, Патимат Абдулаевна and Самедов, Джалиль Самедович															Aleph			Современный аварский язык			2012	Contemporary Avar language		
BOOK	alekseevshixalieva2003	Moscow		Алексеев, Михаил Е. and Шихалиева, Сабрина Х.															Академия			Табасаранский язык			2003	Tabasaran		
INCOLLECTION	alekseyev2016	Berlin/Boston		Alekseyev, Mikhail	Word-Formation. An International Handbook of the Languages of Europe. Volume 5				Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz									3678--3685	De Gruyter Mouton			Botlikh			2016			
INCOLLECTION	alekseyev2016rutul	Berlin/Boston		Alekseyev, Mikhail	Word-Formation. An International Handbook of the Languages of Europe. Volume 5				Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz									3536--3545	De Gruyter Mouton			Rutul			2016			
MISC	alexeyevverheesdraft2020	Berlin/New York		Alexeyev, Mikhail and Verhees, Samira	The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian				Koryakov, Yuri and Maisak, Timur										De Gruyter Mouton			Botlikh			2020			
BOOK	aliroev1999	Moscow		Алироев, Ибрагим Ю.															Academia			Чеченский язык			1999	The Chechen language		
