CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR	URL	ISBN	VERSION	DOI	ISSUE	CONTRIBUTOR	COMMENT
article	aslanov74			Aslanov, A. M.	Iberijsko-kavkazskie abruptivy v zakatalʹsko-kaxskix govorax azerbajdžanskogo jazyka										Ežegodnik iberijsko-kavkazskogo jazykoznanija						224--228	Akademija nauk GSSR				1	1974						George Moroz	
article	cho99	Makhachkala		Cho, T. and Ladefoged, P.	Variation and universals in {VOT}: evidence from 18 languages										Journal of Phonetics						207--229					27	1999					2	George Moroz	
article	esling96			Esling, J. H.	Pharyngeal consonants and the aryepiglottic sphincter										Journal of the international phonetic association				2		65--88	Cambridge University Press				26	1996						George Moroz	
book	dmitriyev40	Moscow		Dmitriev, N. K.	Grammatika kumykskogo jazyka	Kumyk grammar																AN SSSR					1940						George Moroz	
book	abaev64	Bloomington		Abaev, V. I.	A grammatical sketch of {O}ssetic																	Indiana University Press					1964						George Moroz	
book	nikolayev94			Nikolayev, S. L. and Starostin, S. A.	A {N}orth {C}aucasian etymological dictionary																	Asterisk Press					1994						George Moroz	
book	catford77	Edinburgh		Catford, J. C.	Fundamental {P}roblems in {P}honetics																	Edinburgh University Press					1977						George Moroz	
incollection	nichols03	Amsterdam		Nichols, Johanna	The {N}akh-{D}aghestanian consonant correspondences		Current Trends in Caucasian, East European and Inner Asian Linguistics: Papers in honor of Howard I. Aronson					Dee Ann Holisky and Kevin Tuite									207--264	John Benjamins Publication Company					2003				https://doi.org/10.1075/cilt.246.14nic		George Moroz	
incollection	colarusso13	Munich		Colarusso, J.	The {T}ypology of {G}utturals		Base Articulatoire Arrière: Backing and Backness					Jean L{\'e}o L{\'e}onard and Samia Naïm									93--109	LINCOM Europa					2013						George Moroz	
incollection	grawunder10	Berlin/New York		Grawunder, Sven and Simpson, Adrian and Khalilov, Madzhid	Phonetic characteristics of ejectives - samples from {C}aucasian languages		Turbulent Sounds: An Interdisciplinary Guide					Fuchs, Susanne and Toda, Martine and Zygis, Marzena									209-244	De Gruyter Mouton					2010				https://doi.org/10.1515/9783110226584.209		George Moroz	
misc	daniell2021			Daniel, Michael	Ejectives in the {A}zerbaijani of {I}lisu (Manuscript)																						2021						George Moroz	unpublished manuscript
unpublished	grawunder			Grawunder, S. and Moroz, G. and Zhigulskaya, V. and Daniel, M.	VOT in two {E}ast {C}aucasian languages (Manuscript)																												George Moroz	unpublished manuscript
