id	family	group	language	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	value3	value3_name	value4	value4_name	value5	value5_name	source	page	comment	contributor	date	form	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment	idiom_new	language_new	type_new
44	East Caucasian	Lezgic	Agul	Central Agul	dialect_toplevel	yes	yes	Number agreement in adjectives	never	Is number marking present on adnominal adjectives?	no conditioning (no marking)	Conditioning of number marking on attributive adjectives	not expressed	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	magometov1970	48	In the atributive position adjectives do not agree, in the autonomous use they do agree.	Aigul Zakirova	3/12/2024		bic̣i geda, bic̣i gedawur	bic̣i geda, bic̣i gedawur	маленький мальчик, маленькие мальчики	little boy, little boys.	little boy, little boy-pl	magometov1970	176		Central Agul	Agul	dialect_toplevel
45	East Caucasian	Lezgic	Archi	Archib	village	yes	yes	Number agreement in adjectives	never	Is number marking present on adnominal adjectives?	no conditioning (no marking)	Conditioning of number marking on attributive adjectives	not expressed	How is number expressed on adnominal adjectives	attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	kibrik1977	113-114	A small part of adjectives is non-derived. Non-derived adjectives do not change. A larger part of adjectives are derived: they contain the adjectivizer -t:u-CL and agree in gender and number	Aigul Zakirova	3/15/2024	-ib	hibat̅u dija, hibat̅ur buwa, hibat̅ib lobur	hibat:u dija, hibat:ur buwa, hibat:ib lobur	хороший отец, хорошая мать, хорошие дети	good father, good mother, good children	good-attr-m father, good-attr-f mother, good-attr-pl child-pl	kibrik1977dynamic	189				
23	Indo-European	Armenic	Eastern Armenian	Standard Armenian	language	yes	yes	Number agreement in adjectives	never	Is number marking present on adnominal adjectives?	no conditioning (no marking)	Conditioning of number marking on attributive adjectives	not expressed	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	dum-tragut2009	116-118	Adjectives can be used in attributive and predicative functions. In both functions they do not agree with the noun(s) in number and case.	Aigul Zakirova	3/12/2024		karmir vard-er	karmir vard-er	red roses	red roses	red.nom rose-pl.nom	dum-tragut2009	116				
24	East Caucasian	Avar	Avar	Avar	language	yes	yes	Number agreement in adjectives	sometimes	Is number marking present on adnominal adjectives?	full form	Conditioning of number marking on attributive adjectives	suffix (some instances)	How is number expressed on adnominal adjectives	attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	forkerdraft2020	17-18	Adjectives have a short and a long form. The short form is restricted in its use. All adjectives in their long form have gender agreement suffixes, which in plural neutralize in -l. Besides, some adjectival stems have gender-number prefixes regardless of the short / full form distinction; these in plural are neutralized as r-.	Aigul Zakirova	3/15/2024	-l, -r	w-icata-w či, r-icata-l čaʕi. j-icata-j č’užu, r-icata-l ručːabi. b-icata-b t’ex, r-icata-l t’axal	w-itsata-w tʃi, r-itsata-l tʃaʕi. j-itsata-j tʃ’užu, r-itsata-l rutʃːabi. b-itsata-b t’ex, r-itsata-l t’axal	fat man, fat men. fat woman, fat women. thick book, thick books	fat man, fat men. fat woman, fat women. thick book, thick books	M-fat-M man, PL-fat-PL man.PL. F-fat-F woman, F-fat-F woman.PL. N-fat-N book, PL-fat-PL book.PL	forkerdraft2020	17				
25	East Caucasian	Avar	Avar	Zaqatala	dialect_nt1	no	yes	Number agreement in adjectives	sometimes	Is number marking present on adnominal adjectives?	full form	Conditioning of number marking on attributive adjectives	suffix (some instances)	How is number expressed on adnominal adjectives	attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	saidova2007	95		Aigul Zakirova	3/15/2024	-l	берценов//ав, берцинай, кӏинеб//аб, берцинал	bertsen-ow//aw, bertsin-aj, k'in-eb//ab, bertsin-al	красивый, красивая, маленькая, красивые	beautiful (m), beautiful (f), small (n), beautiful (pl)	beautiful-m, beautiful-f, small-n, beautiful-pl	saidova2007	95				
60	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	yes	yes	Number agreement in adjectives	never	Is number marking present on adnominal adjectives?	no conditioning (no marking)	Conditioning of number marking on attributive adjectives	not expressed	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	shiralievsevortyan1971	59-70		Aigul Zakirova	3/12/2024		бөjүк ев, бөjүк евләр	böjük ew, böjük ewlär	большой дом, большие дома	big house, big houses	big house, big house-pl	shiralievsevortyan1971	59-60				
10	East Caucasian	Andic	Bagvalal	Kvanada	village	yes	yes	Number agreement in adjectives	never	Is number marking present on adnominal adjectives?	no conditioning (no marking)	Conditioning of number marking on attributive adjectives	not expressed	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	kibrik2001	152-155	I very tentatively proposed in Zakirova (2023) that -ba in HPL may be segmented as -b (HPL) and -a (-PL). However, I find it too dubious an idea to put it on the map	Aigul Zakirova	3/15/2024		w=aharu=w ima, j=aharu=j ila, b=etʃ’atu=b zin, b=aharu=ba imari, r=etʃ’atu=r zin-a	w=aharu=w ima, j=aharu=j ila, b=etʃ’atu=b zin, b=aharu=ba imari, r=etʃ’atu=r zin-a	старый отец, старая мать, черная корова, старые родители, черные коровы	old father, old mother, black cow, old parents, black cows	m=old=m father, f=old=f mother, n=black=n cow, hpl=old=hpl parents, npl=black=npl cow-pl	kibrik2001	155				
61	East Caucasian	Tsezic	Bezhta	Bezhta	village	yes	yes	Number agreement in adjectives	sometimes	Is number marking present on adnominal adjectives?	lexical	Conditioning of number marking on attributive adjectives	suffix (some instances)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	comrieetal2015	277-288	Most of the adjectives attach specialized number agreement markers, but there are also several (about twenty) adjectives that do not agree in number	Aigul Zakirova	3/15/2024	-la, -wa, -a, vowel alternation (o -> a:)	хъуссо гьино, хъуссā гьинода. хъимā водо, хъимā водбо	qχus:o hino, qχus:a: hinoda. qχimā wodo, qχimā wodbo	узкая дорога, узкие дороги. пасмурный день, пасмурные дни	narrow road, narrow roads. cloudy day, cloudy days	narrow road, narrow.pl road-pl. cloudy day, cloudy day.pl	comrieatal2015	288				
62	East Caucasian	Tsezic	Bezhta	Tlyadal	village	no	no		always	Is number marking present on adnominal adjectives?	no conditioning (obligatory marking)	Conditioning of number marking on attributive adjectives	suffix (obligatory)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	kibriktestelec2004	245-246	There is a plural agreement suffix, present both in direct and indirect cases. Examples don't show it but judging by the text the adnominal position is meant	Aigul Zakirova	3/16/2024	-ar	ħäld-iy-ö DIR SG; ħäld-iy-ärö DIR PL	ħæld-ij-ö DIR SG ‘white’; ħæld-ij-ærø DIR PL	white (DIR SG), white (DIR PL)	white (DIR SG), white (DIR PL)	white-STEM-DIR; white-STEM-PL-DIR	kibriktestelec2004	245				
11	East Caucasian	Andic	Botlikh	Botlikh	language	yes	yes	Number agreement in adjectives	sometimes	Is number marking present on adnominal adjectives?	lexical	Conditioning of number marking on attributive adjectives	suffix (some instances)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	azaev2000	353-354	Gender markers of animate nouns change to re- and -l. There are also instances of suppletion: SG zuk':u, PL k'anc':il ('small'). Adjectives without the gender marker do not agree with the plural head by means of gender markers but some adjectives in plural attach -l.	Aigul Zakirova	3/15/2024	-l	SG вечIуха -- PL речIуха, речIуха-л адамал. SG зукIкIу -- PL кIанцIцIил	SG w-etʃ'uχa -- PL r-etʃ'uχa, r-etʃ'uχa-l adamal. Suppletion: SG zuk':u, PL k'anc':il	большой -- большие, старшие люди. Маленький -- маленькие	big (m) -- big (hpl), older people. Little (sg) -- little (pl)	m-big -- pl-big, pl-big-pl man-pl. small.sg -- small.pl	azaev2000	354				
