id	family	group	language	idiom	type	genlang_point	map	feature	value1	value1_name	source	page	yesterday	yesterday_source	yesterday_page	the_day_before_yesterday	day_before_yesterday_source	day_before_yesterday_page	two_days_before_yesterday	two_days_before_source	two_days_before_page	three_days_before_yesterday	three_days_before_source	three_days_before_page	comment	contributor	date
1	East Caucasian	Lezgic	Agul	Huppuq'	dialect_toplevel	yes	yes	strategy of naming the days before yesteday	2	amount of distinct terms for days before today	ramazanov2010	472, 25, 551	накь	ramazanov2010	472	ав'алаягъ, уд'игьягъа	ramazanov2010	25, 551	NA	NA	NA	NA	NA	NA		Timofey Dedov	26.06.2025
2	East Caucasian	Andic	Northern Akhvakh	Northern Akhvakh	language	yes	yes	strategy of naming the days before yesteday	2	amount of distinct terms for days before today	magimedovaabdulaeva2007	460, 700	шу́ни	magimedovaabdulaeva2007	460	шунил̄ъас̄иги	magimedovaabdulaeva2007	700	NA	NA	NA	NA	NA	NA		Timofey Dedov	26.06.2025
3	East Caucasian	Andic	Upper Andi	Andi	village	yes	yes	strategy of naming the days before yesteday	2	amount of distinct terms for days before today	alisultanova2009	216	сун	alisultanova2009	216	сунассиб	alisultanova2009	216	NA	NA	NA	NA	NA	NA		Timofey Dedov	26.06.2025
4	East Caucasian	Andic	Upper Andi	Zilo	village	no	yes	strategy of naming the days before yesteday	NA	amount of distinct terms for days before today	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		Timofey Dedov	26.06.2025
5	East Caucasian	Andic	Upper Andi	Gagatli	village	no	yes	strategy of naming the days before yesteday	2	amount of distinct terms for days before today	magimedovaabdulaeva2007	460, 700	сун, лъакьу	salimov2010	25, 41	сунассиб	salimov2010	213	NA	NA	NA	NA	NA	NA		Timofey Dedov	26.06.2025
6	East Caucasian	Lezgic	Archi	Archi	language	yes	yes	strategy of naming the days before yesteday	2	amount of distinct terms for days before today	kibrik1977	354, 374	s̄anRi	kibrik1977	354	harakdumma	kibrik1977	374	NA	NA	NA	NA	NA	NA		Timofey Dedov	26.06.2025
7	Indo-European	Armenic	Eastern Armenian	Eastern Armenian	language	yes	yes	strategy of naming the days before yesteday	1	amount of distinct terms for days before today	dum-tragut2009	111	Erek	dum-tragut2009	111	NA	NA	NA	NA	NA	NA	NA	NA	NA		Timofey Dedov	26.06.2025
8	East Caucasian	Avar	Avar	Standard Avar	language	yes	yes	strategy of naming the days before yesteday	2	amount of distinct terms for days before today	saidova2008	310, 383	сон	saidova2008	310	ц̄ере́къад	saidova2008	383	NA	NA	NA	NA	NA	NA		Timofey Dedov	26.06.2025
9	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	yes	yes	strategy of naming the days before yesteday	2	amount of distinct terms for days before today	tagiyev2006a	868	dünǝn	 tagiyev2006a	868	NA	NA	NA	NA	NA	NA	NA	NA	NA		Timofey Dedov	26.06.2025
10	East Caucasian	Andic	Bagvalal	Bagvalal	language	yes	yes	strategy of naming the days before yesteday	2	amount of distinct terms for days before today	magomedova2004	313, 317	су́ни	magomedova2004	313	с̄еро̄́л	magomedova2004	317	NA	NA	NA	NA	NA	NA		Timofey Dedov	26.06.2025
11	East Caucasian	Tsezic	Bezhta	Bezhta	default_level	yes	yes	strategy of naming the days before yesteday	4	amount of distinct terms for days before today	xalilov2015	160	гьуᴴлъ	xalilov2015	160	гьуᴴлъбос, гьуᴴлълалъ	xalilov2015	160	гьуᴴлъла̄лъ, гьуᴴлълалъиллаъ	xalilov2015	160	гьуᴴлъла̄лъиллаъ	xalilov2015	160		Timofey Dedov	26.06.2025
12	East Caucasian	Andic	Botlikh	Botlikh	village	yes	yes	strategy of naming the days before yesteday	2	amount of distinct terms for days before today	saidovaabusov2012	339	су́ни	saidovaabusov2012	339	су́нарссе	saidovaabusov2012	339	NA	NA	NA	NA	NA	NA		Timofey Dedov	26.06.2025
13	East Caucasian	Lezgic	Budukh	Budukh	language	yes	yes	strategy of naming the days before yesteday	2	amount of distinct terms for days before today	mejlanova1984	113, 48, 124	накьа	mejlanova1984	113	гIурда, са́ра	mejlanova1984	48, 124	NA	NA	NA	NA	NA	NA		Timofey Dedov	26.06.2025
14	East Caucasian	Andic	Chamalal	Lower Gakvari	dialect_toplevel	yes	yes	strategy of naming the days before yesteday	2	amount of distinct terms for days before today	magomedova1999	241	сун	magomedova1999	241	cуᴴлъи́чI-сӣᴴ	magomedova1999	241	NA	NA	NA	NA	NA	NA		Timofey Dedov	26.06.2025
15	East Caucasian	Nakh	Chechen	Standard Chechen	language	yes	yes	strategy of naming the days before yesteday	1	amount of distinct terms for days before today	karasaevmaciev1978	85	селхана	karasaevmaciev1978	85	NA	NA	NA	NA	NA	NA	NA	NA	NA		Timofey Dedov	26.06.2025
16	East Caucasian	Dargwa	Northern Dargwa	Standard Dargwa	language	yes	yes	strategy of naming the days before yesteday	2	amount of distinct terms for days before today	isaev2001	270, 1126, 280	даг	isaev2001	270	архIели, гьабил	isaev2001	1126, 280	NA	NA	NA	NA	NA	NA		Timofey Dedov	26.06.2025
17	East Caucasian	Dargwa	Chirag	Chirag	language	no	yes	strategy of naming the days before yesteday	NA	amount of distinct terms for days before today	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		Timofey Dedov	26.06.2025
18	East Caucasian	Dargwa	Sanzhi-Itsari	Itsari	dialect_toplevel	no	yes	strategy of naming the days before yesteday	NA	amount of distinct terms for days before today	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		Timofey Dedov	26.06.2025
19	East Caucasian	Dargwa	Kubachi	Kubachi	language	no	yes	strategy of naming the days before yesteday	4	amount of distinct terms for days before today	magometov1963	131	səa	magometov1963	131	səalitaj	magometov1963	131	kadātaj	magometov1963	131	kadekadātaj	magometov1963	131		Timofey Dedov	26.06.2025
