id	lang	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	other	comment	contributor	example_as_in_source	example Cyrillic	example	gloss	translation_as_in_source	translation	source	example_source	page	example_comment	date
1	Agul	Huppuq'	village	yes	yes	Farewell wishes	good way	straight way or good way	jaʁur/juʁur/uʁur/uɣur	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		ягъур хьурай	jaʁur xuraj	luck[AZ] be-OPT		Have a nice trip!	Solmaz Merdanova, p.c.	merdanova pc			
2	Agul	Huppuq'	village	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		идже рекъ хьурай	idže req xuraj	good road be-OPT		Have a nice trip!	Solmaz Merdanova, p.c.	merdanova pc			
3	Akhvakh	Northern Akhvakh	dialect_toplevel	yes	yes	Farewell wishes	straight way	straight way or good way	straight way	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		микъи битlахурулъlа мича!	miq'i bit'aχuruɬ'a miča	road straight find.OPT	счастливого пути! (букв. дорога пусть выпрямляется)	Have a nice trip!	magomedovaabdulaeva2007	magomedovaabdulaeva2007	88		
4	Akhvakh	Northern Akhvakh	dialect_toplevel	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		микъи битlаху(рулъlа) мича!	miq'i bit'aχuruɬ'a miča	road straight find.OPT	в добрый путь!	Have a nice trip!	magomedovaabdulaeva2007	magomedovaabdulaeva2007	290		
5	Akhvakh	Northern Akhvakh	dialect_toplevel	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		микъи бит1аху мича!	miq'i bit'aχu miča	road straight find.OPT	счастливого пути! (букв. дорога пусть выпрямляется)	Have a nice trip!	Indira Abdullaeva, p.c.	indira abdullaeva pc			
6	Andi	Zilo	village	yes	yes	Farewell wishes	straight way	straight way or good way	straight way	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina			miq'i b-it'i-ɬi-do	road n-straight-inch-opt	Cчастливого пути!	Have a nice trip!	Aigul Zakirova, p.c.	Zakirova pc			
7	Andi	Zilo	village	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina			miq'i b-it'i-ɬi	road n-straight-inch	Cчастливого пути!	Have a nice trip!	Aigul Zakirova, p.c.	Zakirova pc			
8	Andi	Muni	village	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina			miq'i-ji-ɬi	road-?-inch	Cчастливого пути!	Have a nice trip!	Aigul Zakirova, p.c.	Zakirova pc			
9	Archi	Archib	village	yes	yes	Farewell wishes	straight way	straight way or good way	straight way	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		т1алекмул ка	t'al-ek-mul ka	straight-?-NMLZ become.IMP	счастливого пути	Have a nice trip!	Bulbul p.c.	Bulbul pc			
10	Armenian	Modern Eastern Armenian	dialect_toplevel	yes	yes	Farewell wishes	good way	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		Բարի ճանապարհ	bari čanapar	good road	Cчастливого пути!	Have a nice trip!	Khurshudyan p.c.	Khurshudyan pc			
11	Avar	Standard Avar	language	yes	yes	Farewell wishes	straight way	straight way or good way	straight way	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina			nuχ bit’a-gi! 	road be.straight-OPT	счастливого пути!; букв. пусть дорога будеть вам гладкой!	Have a nice trip!	gimbatov2006	gimbatov2006			
12	Azerbaijani	Standard Azerbaijani	language	yes	yes	Farewell wishes	good way	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina			yaxşı yol	good road	Have a good journey	Have a nice trip!	Murad Suleymanov, p.c.	murad suleymanov pc			
13	Azerbaijani	Darvag	village	no	yes	Farewell wishes	good way	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		Йехчи йул	yexči yol	good road	Have a good journey	Have a nice trip!	Seidul from Darvag, p.c.	Seidul from Darvag pc			
14	Bagvalal	Kvanada	village	yes	yes	Farewell wishes	straight way	straight way or good way	straight way	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		микъ б-ит1илгьибе-ла	miq' b-it'ilhibe-la	road N-straight.IMP.ITR-OPT	счастливого пути!	Have a nice trip!	magomedova2004	magomedova2004	91		
15	Tsova-Tush	Zemo-Alvani	village	yes	yes	Farewell wishes	neither	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	God's peace to you.		Nina Dobrushina	dal-e-ⁿ marš-ol ḥoⁿ		dal-e-ⁿ marš-ol ḥoⁿ	God-OBL-GEN peaceful-ABSTR 2SG.DAT	God's peace to you.	Have a nice trip!	holiskygagua1994	holiskygagua1994		pages are not numbered in the available copy	
