id	family	group	language	idiom	type	genlang_point	map	chapter	value1	feature1	value2	feature2	value3	feature3	value4	feature4	value5	feature5	source	page	comment	contributor	date	form	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment
2	East Caucasian	Andic	Northern Akhvakh	Northern Akhvakh	language	yes	yes	class agreement slot in verbs	prefix, infix	Root agreement	suffix	Affix agreement	not specified	Percentage of agreeing verbs	agreeing, fossilized, or lost	Prefix	agreeing vowel infix, agreeing suffix	Other slots	magomedbekova1967	42-43, 89, 96-97, 103	suffixes appear in: future forms, negated present and future (and past, as well as 1sg, in the northern dialect) forms, present and future participles, converbs. // according to my research, about 14% of verbs agree	Ivan Olkhov	2025-04-03	w- / j- / b- / m- / r- / u- / i- / o- / e-; -u / -i / -o-ji		dede w-oxe-d-o waša	я взял мальчика	I took a boy	I m-take-1sg-m boy	magomedbekova1967	80	
3	East Caucasian	Andic	Upper Andi	Zilo	village	yes	yes	class agreement slot in verbs	prefix, infix	Root agreement	no	Affix agreement	not specified	Percentage of agreeing verbs	agreeing, fossilized, or lost	Prefix	agreeing infix	Other slots	cercvadze1965	350	according to [kibrikkodzasov1988], 40% of verb stems agree	Ivan Olkhov	2025-04-03	v- / j- / b- / r-; -i- / -u- / -e- / -o- / -a-		imudi enšːurgu ƛʼerčʼo r-iqʼgo	отец свою жердь принес	father brought his perch	father own perch R-brought	salimov2010	184	
8	East Caucasian	Andic	Bagvalal	Kvanada	village	yes	yes	class agreement slot in verbs	prefix, infix	Root agreement	suffix	Affix agreement	not specified	Percentage of agreeing verbs	agreeing or absent	Prefix	agreeing infix, agreeing suffix	Other slots	kibrik2001	98-99	suffix that comes after the root or after a causative suffix is present only in preterite forms and can only have a value of HPL	Ivan Olkhov	2025-04-03	w- / j- / b- / -r- / -ba / r-		cer čʼiʁalila r-isã ƛʼitʼitʼireːro	и некоторые... тазы нашли побитыми	and some bowls were found shattered	some bowls NPL-find shattered	kibrik2001	114	
10	East Caucasian	Andic	Botlikh	Botlikh	language	yes	yes	class agreement slot in verbs	prefix, infix	Root agreement	no	Affix agreement	minority	Percentage of agreeing verbs	agreeing or absent	Prefix	agreeing infix	Other slots	alexeyevverheesdraft2020	7, 16	"also separate non-obligatory animacy agreement affixes. // ""A minority of verb stems in Botlikh carry a slot for noun class agreement"""	Ivan Olkhov	2025-04-03	w- / j- / b- / m- / r- / l- / n-		waj min mučuladi w-ãʔ-abu	oh, may the wind take you away	oh, may the wind take you away	oh 2sg wind W-go-OPT	alexeyevverheesdraft2020	19	
12	East Caucasian	Andic	Chamalal	Upper Gakvari	dialect_toplevel	yes	yes	class agreement slot in verbs	prefix	Root agreement	no	Affix agreement	many	Percentage of agreeing verbs	agreeing or fossilized	Prefix	no	Other slots	bokarev1949a	75-78	"prefixes between two stems are found in compounds. // ""... большое количество глаголов имеет в своем составе классные показатели"". according to [kibrikkodzasov1988], 30% of verbs agree; according to my research, about 13% of verbs agree"	Ivan Olkhov	2025-04-03	w- / j- / b- / n- / d- / m-								
23	East Caucasian	Andic	Godoberi	Godoberi	language	yes	yes	class agreement slot in verbs	prefix	Root agreement	no	Affix agreement	minority	Percentage of agreeing verbs	agreeing, fossilized, or lost	Prefix	no	Other slots	saidova1973	113-118	"prefixes between two stems are found in compounds. sometimes the vowel that follows the prefix may change as well. // ""Большинство глаголов годоберинского языка не имеет в своем составе классных показателей"". according to my research, about 24% of verbs agree"	Ivan Olkhov	2025-04-03	w- / j- / b- / r-								
27	East Caucasian	Andic	Karata	Karata	dialect_toplevel	yes	yes	class agreement slot in verbs	prefix	Root agreement	no	Affix agreement	not specified	Percentage of agreeing verbs	agreeing or absent	Prefix	no	Other slots	magomedbekova1971	41, 43, 114	according to my research, about 15% of verbs agree	Ivan Olkhov	2025-04-03	w- / j- / b- / r-								
44	East Caucasian	Andic	Tindi	Tindi	dialect_toplevel	yes	yes	class agreement slot in verbs	prefix	Root agreement	suffix	Affix agreement	not specified	Percentage of agreeing verbs	agreeing or absent	Prefix	agreeing suffix	Other slots	authierdraft2020	17, 23	the human plural agreement suffix is found only in the aorist and perfect forms'; in imperatives, 'to express a more polite demand, the gender markers –w / –j can be added to the intransitive suffix'. // according to [kibrikkodzasov1988], 40% of verbs agree; according to my research, about 18% of verbs agree	Ivan Olkhov	2025-04-03	w- / j- / b- / r-; -w / -j / -id								
5	Indo-European	Armenic	Eastern Armenian	Eastern Armenian	language	yes	yes	class agreement slot in verbs	no	Root agreement	no	Affix agreement	none	Percentage of agreeing verbs	no	Prefix	no	Other slots	dum-tragut2009	60	there are no noun classes in Armenian; animacy distinction is only present in nominal declension	Ivan Olkhov	2025-04-03									
6	East Caucasian	Avar	Avar	Standard Avar	language	yes	yes	class agreement slot in verbs	prefix, infix	Root agreement	suffix	Affix agreement	not specified	Percentage of agreeing verbs	agreeing or absent	Prefix	agreeing infix, agreeing suffix	Other slots	alekseevataev1997	56-57	according to [kibrikkodzasov1988], most verbs don't agree; according to my research, about 12% of verbs agree	Ivan Olkhov	2025-04-03			dun w-uħulew w-ugo!	я горю!	I'm burning!	I W-burn.prs.prtcp W-be	alekseevataev1997	58	
14	East Caucasian	Dargwa	Northern Dargwa	Standard Dargwa	language	yes	yes	class agreement slot in verbs	prefix	Root agreement	preverb, suffix	Affix agreement	not specified	Percentage of agreeing verbs	agreeing or absent	Prefix	agreeing preverb, agreeing suffix	Other slots	musaev2002	66, 93	"prefixes between two stems are found in compounds. some preverbs seem to contain agreement slots, e.g.: ""гьаб= образует глаголы со значением удаления спереди ориентира (гьаб+бахъес ""убежать"" < бухъес ""двигаться"", гьаб+буцес ""вести на поводу"" < буцес ""держать"")"", cf. paradigm from Yusupov 2014: ""[гьавуц-ес, гьарруц-ес; гьардуц-ес]"""	Ivan Olkhov	2025-04-03	w- / r- / b- / d-								
