id	family	group	language	idiom	type	genlang_point	map	chapter	feature1	value_as_in_source	value1	feature2	value_as_in_source	value2	feature3	value3	source	page	contributor	date
1	East Caucasian	Lezgic	Agul	Central	dialect_toplevel	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	horse, animal, beast, livestock	horse, wild animal	Translation of dʒanawar	wolf	wild animal	The presence of 'wolf' meaning	yes	ramazanov2010	649, 272	Dasha Tsikh	August 2026
2	East Caucasian	Andic	Northern Akhvakh	Tad-Magitl’	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock. beast, horse	horse, wild animal	Translation of dʒanawar	not attested		The presence of 'wolf' meaning		magomedovaabdulaeva2007, khalilov2023a	206, NA	Dasha Tsikh	August 2026
3	East Caucasian	Andic	Upper Andi	Gagatli	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, beast	wild animal	Translation of dʒanawar	beast, predator	wild animal	The presence of 'wolf' meaning	no	salimov2010	271, 289	Dasha Tsikh	August 2026
4	East Caucasian	Lezgic	Archi	Archib	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal	animal	Translation of dʒanawar	not attested		The presence of 'wolf' meaning		kibrik1977dict	181	Dasha Tsikh	August 2026
5	Indo-European	Armenic	Armenian	Modern Eastern Armenian	dialect_toplevel	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal	animal	Translation of dʒanawar	beast, wolf	wild animal	The presence of 'wolf' meaning	yes			Dasha Tsikh	August 2026
6	East Caucasian	Avar	Avar	Standard Avar	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal	animal	Translation of dʒanawar	beast	wild animal	The presence of 'wolf' meaning	no	saidova2008, zhirkov1936	27, 82	Dasha Tsikh	August 2026
7	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	wolf	wild animal	The presence of 'wolf' meaning	yes	tagiyev2006	361, 399	Dasha Tsikh	August 2026
8	East Caucasian	Andic	Bagvalal	Khushtada	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	beast	wild animal	The presence of 'wolf' meaning	no	magomedova2004	369, 182	Dasha Tsikh	August 2026
9	East Caucasian	Tsezic	Bezhta	Bezhta	dialect_toplevel	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	wild animal	wild animal	The presence of 'wolf' meaning	no	xalilov2015, comrieetal2015	135, 77	Dasha Tsikh	August 2026
10	East Caucasian	Andic	Botlikh	Botlikh	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	beast	wild animal	The presence of 'wolf' meaning	no	saidovaabusov2012	383, 188	Dasha Tsikh	August 2026
11	East Caucasian	Lezgic	Budukh	Budukh	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal 	animal 	Translation of dʒanawar	wolf	wild animal	The presence of 'wolf' meaning	yes	mejlanova1984	149, 56	Dasha Tsikh	August 2026
12	East Caucasian	Andic	Chamalal	Lower Gakvari	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	beast	wild animal	The presence of 'wolf' meaning	no	magomedova1999	282, 151	Dasha Tsikh	August 2026
13	East Caucasian	Nakh	Chechen	Standard Chechen	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal 	animal 	Translation of dʒanawar	not attested		The presence of 'wolf' meaning		karasaevmaciev1978	155	Dasha Tsikh	August 2026
14	East Caucasian	Dargwa	North Dargwa	Standard Dargwa	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	wolf, beast, predator	wild animal	The presence of 'wolf' meaning	yes	yusupov2014	1044, 426	Dasha Tsikh	August 2026
15	Kartvelian	Georgic	Georgian			yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	not attested		Translation of dʒanawar	not attested		The presence of 'wolf' meaning				Dasha Tsikh	August 2026
16	East Caucasian	Andic	Godoberi	Godoberi	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	beast	wild animal	The presence of 'wolf' meaning	no	saidova2006	357, 400, 360	Dasha Tsikh	August 2026
17	East Caucasian	Tsezic	Hinuq	Hinuq	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	beast, predator	wild animal	The presence of 'wolf' meaning	no	xalilovisakov2005	593, 262	Dasha Tsikh	August 2026
18	East Caucasian	Tsezic	Hunzib	Hunzib	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal 	animal 	Translation of dʒanawar	beast	wild animal	The presence of 'wolf' meaning	no	isakovxalilov2001, isakovxalilov2012	118, 291	Dasha Tsikh	August 2026
19	East Caucasian	Nakh	Ingush	Standard Ingush	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	livestock	livestock	Translation of dʒanawar	not attested		The presence of 'wolf' meaning		kurkiev2005	219	Dasha Tsikh	August 2026
20	East Caucasian	Andic	Karata	Tukita	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	beast	wild animal	The presence of 'wolf' meaning	no	magomedovaxalidova2001	296, 22	Dasha Tsikh	August 2026
21	East Caucasian	Khinalug	Khinalug	Khinalug	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	livestock	livestock	Translation of dʒanawar	wolf	wild animal	The presence of 'wolf' meaning	yes	ganieva2002	160, 55	Dasha Tsikh	August 2026
22	East Caucasian	Tsezic	Khwarshi	Kwantlada	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal	animal	Translation of dʒanawar	beast	wild animal	The presence of 'wolf' meaning	no	khalilova2009, jidalaev2022	49, 177	Dasha Tsikh	August 2026
23	East Caucasian	Lezgic	Kryz			yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal	animal	Translation of dʒanawar	not attested		The presence of 'wolf' meaning		khalilov2023b		Dasha Tsikh	August 2026
24	Turkic	Kipchak	Kumyk	Standard Kumyk	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock, beast	wild animal	Translation of dʒanawar	animal 	animal 	The presence of 'wolf' meaning	no	bammatov2013, khalilov2023c	96, NA	Dasha Tsikh	August 2026
25	East Caucasian	Lak	Lak	Standard Lak	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock, sheep	sheep	Translation of dʒanawar	beast	wild animal	The presence of 'wolf' meaning	no	khajdakov1962	194, 114	Dasha Tsikh	August 2026
26	East Caucasian	Lezgic	Lezgian	Gyuney	dialect_nt1	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	wolf	wild animal	The presence of 'wolf' meaning	yes	talibovgadzhiev1966	98, 126	Dasha Tsikh	August 2026
27	Turkic	Kipchak	Nogai	Standard Nogai	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock, beast	wild animal	Translation of dʒanawar	not attested		The presence of 'wolf' meaning		baskakov1963	27	Dasha Tsikh	August 2026
28	East Caucasian	Lezgic	Rutul	Standard Rutul	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	beast, predator	wild animal	The presence of 'wolf' meaning	no	alisultanovsulejmanova2019	415, 132	Dasha Tsikh	August 2026
29	East Caucasian	Lezgic	Tabasaran	Standard Tabasaran	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	not attested		Translation of dʒanawar	wolf	wild animal	The presence of 'wolf' meaning	yes	xanmagomedovshalbuzov2001	81	Dasha Tsikh	August 2026
30	Indo-European	Iranian	Tat	Derbent		yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock, beast	wild animal	Translation of dʒanawar	beast, predator	wild animal	The presence of 'wolf' meaning	no		214, 107	Dasha Tsikh	August 2026
31	East Caucasian	Andic	Tindi	Tindi	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	not attested		The presence of 'wolf' meaning		magomedova2003	351	Dasha Tsikh	August 2026
32	East Caucasian	Lezgic	Tsakhur	Tsakh	dialect_toplevel	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	animal, livestock	livestock	The presence of 'wolf' meaning	no	ibragimovnurmamedov2010	136, 387	Dasha Tsikh	August 2026
