id	family	group	language	idiom	type	genlang_point	map	feature	value1	value1_name	source	page	comment	contributor	date	form	lexical_entry / citation from the source	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment
1	East Caucasian	Andic	Akhvakh	Tad-Magitl’	village	yes	yes	imperative interjection 'here, take it!'	GwA-type	Phonological form of the imperative interjection 'here, take it!'	magomedovaabdulaeva2007	116, 553		Timur Maisak	2/13/2024	go	ГО (частица) на, бери	го, дулъIада гъоча 	go, duƛada ʁoča	на, бери себе книгу	here, take this book for yourself		magomedovaabdulaeva2007	116	
2	East Caucasian	Andic	Andi	Andi	village	yes	yes	imperative interjection 'here, take it!'	GwA-type	Phonological form of the imperative interjection 'here, take it!'	dirr1906	120, 182		Timur Maisak	2/13/2024	go	ГО вот, вот тебе								
3	East Caucasian	Andic	Andi	Gagatli	village	no	yes	imperative interjection 'here, take it!'	GwA-type	Phonological form of the imperative interjection 'here, take it!'	salimov2010	265		Timur Maisak	2/13/2024	go	ГО на, возьми (побуждение)								
4	East Caucasian	Andic	Bagvalal	Khushtada	village	yes	yes	imperative interjection 'here, take it!'	GwA-type	Phonological form of the imperative interjection 'here, take it!'	magomedova2004	123, 494, 589		Timur Maisak	2/13/2024	gʷa	ГВА (частица) на, возьми	гва, диб сумка бища 	gʷa, dib sumka biša	на, подержи мою сумку 	here, hold my bag		magomedova2004	123	
5	East Caucasian	Andic	Bagvalal	Kvanada	village	no	no	imperative interjection 'here, take it!'	GwA-type	Phonological form of the imperative interjection 'here, take it!'	kibrik2001	185		Timur Maisak	2/13/2024	gʷa	Междометие gʷa имеет функцию, сходную с русским на…								
6	East Caucasian	Andic	Botlikh	Botlikh	village	yes	yes	imperative interjection 'here, take it!'	GwA-type	Phonological form of the imperative interjection 'here, take it!'	saidovaabusov2012; alekseevazaev2019	118, 476; 135		Timur Maisak	2/13/2024	gʷa	ГВА (частица) на, возьми	гва, инчу 	gʷa, inču	на, возьми яблоко	here, take this apple		saidovaabusov2012	118	
7	East Caucasian	Andic	Chamalal	Lower Gakvari	village	yes	yes	imperative interjection 'here, take it!'	GwA-type	Phonological form of the imperative interjection 'here, take it!'	magomedova1999	113, 359		Timur Maisak	2/13/2024	go	ГО (частица) 1) на; 2) вот оно как (выражает удивление)	гό дулъада эш 	go duɬada eš	на, возьми яблоко	here, take this apple		magomedova1999	113	
8	East Caucasian	Andic	Godoberi	Godoberi	village	yes	yes	imperative interjection 'here, take it!'	GwA-type	Phonological form of the imperative interjection 'here, take it!'	saidova2006; saidova1973	96, 362; 150		Timur Maisak	2/13/2024	gʷa	ГВА (частица) на, возьми	гва, макIи биккя 	gʷa, mak'i bikːʲa	на, подержи ребёнка	here, hold the child		saidova2006	96	
9	East Caucasian	Andic	Karata	Karata	village	yes	yes	imperative interjection 'here, take it!'	GwA-type	Phonological form of the imperative interjection 'here, take it!'	magomedovaxalidova2001	91, 373, 347		Timur Maisak	2/13/2024	gʷa	ГВА (частица в знач сказуемого) на, возьми	гва, дувада ба̄ 	gʷa, duwada baː	на, возьми себе	here, take it for yourself		magomedovaxalidova2001	91	
10	East Caucasian	Andic	Tindi	Tindi	village	yes	yes	imperative interjection 'here, take it!'	GwA-type	Phonological form of the imperative interjection 'here, take it!'	magomedova2003; magomedova2012	131, 466; 11, 38		Timur Maisak	2/13/2024	go	ГО (частица) на, возьми	го, бихь’á котIа 	go, bixʲa kot'a	на, подержи молоток 	here, take the hammer		magomedova2003	131	
