id	family	group	language	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	source	page	comment	contributor	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment	date
1	East Caucasian	Lezgic	Agul	Standard Agul	language	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	magometov1970	81		Alexandra Nogina		ustːul.i-l-∅ aldi'a kitab	На столе есть книга	There's a book on the table	table.erg-sup-ess  to.be book	magometov1970	82		10.2023
2	East Caucasian	Andic	Northern Akhvakh	Northern Akhvakh	language	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	magomedbekova1967	60		Alexandra Nogina		de-de wacːo-g-a kaɣa qwar-e-de	Я к брату письмо написал	I wrote a letter to my brother	I-erg brother.obl-sup-al letter write-pst-1sg	magomedbekova1967	62		10.2023
3	East Caucasian	Andic	Upper Andi	Andi	village	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	cercvadze1965	340		Alexandra Nogina		šišu-l-a	в бутылке	in the bottle	bottle-in-ess	cercvadze1965	341		10.2023
4	East Caucasian	Lezgic	Archi	Archib	village	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	mikailov1967	56		Alexandra Nogina		hol.li-t-∅ noc' ƛij-di-li	На ветке птица сидит	A bird sits on a branch	branch.erg-sup-ess bird sit-term-cvb	mikailov1967	60		10.2023
5	Indo-European	Armenic	Eastern Armenian	Eastern Armenian	language	yes	yes	Number of morphological slots in spatial forms	monomorphemic	Type of spatial system	none	Type of trimorphemic system	dum-tragut2009	80		Alexandra Nogina		aram-ě parap-um ē lsaran-um	Aram studies in the auditorium	Aram studies in the auditorium	Aram.nom-the study-ptcp.pres he_is auditorium-loc	dum-tragut2009	101		10.2023
6	East Caucasian	Avar	Avar	Standard Avar	language	yes	yes	Number of morphological slots in spatial forms	trimorphemic	Type of spatial system	orientational	Type of trimorphemic system	testelets1980	39	сочетается с лативом и аблативом. Тестелец пишет про hun как про аффикс, ссылаясь на Бокарев 1954, где тот называет hun частицей (как и в alekseev et al.2012 (233))	Alexandra Nogina		ganč'i-ƛ-e-hun šur-ana boroh'	По направлению под камень поползла змея	A snake crawled in the direction of under-the-stone	stone-sub-lat-dir crawl-aor snake	testelets 1980	NA (40)	example from Uslar 1889: 82	10.2023
7	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	yes	yes	Number of morphological slots in spatial forms	monomorphemic	Type of spatial system	none	Type of trimorphemic system	shiralievsevortyan1971	44		Alexandra Nogina		biz daɣ-dan en-di-k	Мы спустились с горы	We descended from the mountain	we mountain-abl descend-pst-1pl	shiralievsevortyan1971	47		10.2023
8	East Caucasian	Andic	Bagvalal	Kvanada	village	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	kibrik2001	141		Alexandra Nogina		o=w L'er-la-s̄ w=ełi	Он ушел с моста	He left the bridge	this=m bridge-sup-el m=go	kibrik2001	143		10.2023
9	East Caucasian	Tsezic	Bezhta	Bezhta	village	yes	yes	Number of morphological slots in spatial forms	trimorphemic	Type of spatial system	orientational	Type of trimorphemic system	testelets1980	40	Сочетается с эссивом, лативом и элативом, но с лативом и элативом обладает директивным значением	Alexandra Nogina		do märä-L'ä-dä: ečen-äj	Я где-то близ вершины горы стою	I'm standing somewhere near the top of the mountain	I mountain-cont.ess-approx stand-pst	testelets 1980	40		10.2023
10	East Caucasian	Andic	Botlikh	Botlikh	village	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	alexeyevverheesdraft2020			Alexandra Nogina		ištu-w adami-χ.a=la min kaʁat ikː-u	Which person did you give the letter to?	Which person did you give the letter to?	which-m person-apud.lat=q 2sg.erg letter give-aor	alexeyevverheesdraft2020		example from saidovaabusov2012: 212	10.2023
