id	language	idiom	type	genlang_point	map	form	value1	value1_name	feature	source	page	comment	contributor	date	example_as_in_source	example	translation_as_in_source	translation	gloss_as_in_source	gloss	example_source	example_page	example_comment
1	Upper Andi	Andi	village	yes	yes	R=gu	present	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	Rashid, consultant on Standard Andi, T. Maisak p.c.		Info on 100 is unclear, no info on higher numerals.	Maksim Melenchenko	2022-08-19	бешону-гу кIоту	bešonu-gu k'otu	100 лошадей	hundred horses		hundred-NUM horse	Rashid, consultant on Standard Andi, asked by T. Maisak		
2	Lower Andi	Kvankhidatli	village	no	yes	R=gu	present	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	Hajimurat, consultant on Kvankhidatli, A. Zakirova p.c.		Only numerals in range 100—1000 were asked.	Maksim Melenchenko	2022-08-19	бешено-гу кIотIу	bešono-gu k'ot'u	100 лошадей	hundred horses		hundred-NUM horse	Hajimurat, consultant on Kvankhidatli, asked by A. Zakirova		transcription may be incorrect, done during fieldwork
3	Lower Andi	Muni	village	no	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	consultant on Muni, A. Zakirova p.c.		No -gu is attested. Only numerals in range 100—1000 were asked.	Maksim Melenchenko	2022-08-19	бешену кIорту	bešenu k'ortu	100 лошадей	hundred horses		hundred horse	consultant on Muni, asked by A. Zakirova		transcription may be incorrect, done during fieldwork
4	Upper Andi	Rikvani	village	no	yes	R=gu	present	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	suleymanov1957	303		Maksim Melenchenko	2022-08-19	бешонугу	bešonu-gu		hundred		hundred-NUM	suleymanov1957	303	
5	Upper Andi	Gagatli	village	no	yes	R=gu	present	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	salimov2010	132		Maksim Melenchenko	2022-08-19	бешенугу	bešenu-gu		hundred		hundred-NUM	salimov2010	131	
6	Avar	Standard Avar	language	yes	yes	R=go	present	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	forkerdraft2020	18		Maksim Melenchenko	2022-08-19	nus=go	nus=go		hundred		hundred-NUM	forkerdraft2020	18	
7	Avar	Zaqatala	dialect_nt1	no	yes	R=gu	no data	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	saidova2007	107	No info on 100 and higher numerals.	Maksim Melenchenko	2022-08-19	—	—	—	—		—	—		
8	Botlikh	Botlikh	village	yes	yes	R-da	present	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	saidova2001	225	Grammars support this	Maksim Melenchenko	2022-08-19	бешуну-да кIату	bešunu-da k'atu	100 лошадей	hundred horses		hundred-NUM horse	consultant on Botlikh, asked by A. Zakirova		
9	Chamalal	Upper Gakvari	dialect_nt1	yes	yes	R=da	present	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	bokarev1949b	73		Maksim Melenchenko	2022-08-19	бегьанна	behã-na		hundred		hundred-NUM	bokarev1949b	71	
10	Godoberi	Godoberi	village	yes	yes	R=da	present	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	tatevosov1996	28		Maksim Melenchenko	2022-08-19	bešenu-da	bešenu-da		hundred		hundred-NUM	tatevosov1996	28	
11	Bagvalal	Kvanada	village	yes	yes	R-da	present (except composites)	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	tatevosov2001numerals	155		Maksim Melenchenko	2022-08-19	bešen-da	bešen-da		hundred		hundred-NUM	tatevosov2001numerals	155	
12	Tindi	Tindi	village	yes	yes	R=da	present	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	magomedova2012	144		Maksim Melenchenko	2022-08-19	behã-da	behã-da		hundred		hundred-NUM	authierdraft2020	15	
13	Northern Akhvakh	Northern Akhvakh	language	yes	yes	R-da-<CM>e	present	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	magomedbekova1967	71		Maksim Melenchenko	2022-08-19	bešanodabe	bešano-da-be		hundred		hundred-NUM-CM	magomedbekova1967	71	
14	Northern Akhvakh	Tad-Magitl'	village	no	yes	R-da	present	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	Indira, consultant on Tad-Magitl Akhvakh, N. Dobrushina p.c.			Maksim Melenchenko	2022-08-19	бешано-да хьвани	bešano-da xʷani	100 лошадей	hundred horses		hundred-NUM horse	Indira, consultant on Tad-Magitl Akhvakh, asked by N. Dobrushina		
15	Karata-Tukita	Karata	dialect_toplevel	yes	yes	R-da	present	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	magomedbekova1971	94		Maksim Melenchenko	2022-08-19	bešanda	bešan-da		hundred		hundred-NUM	magomedbekova1971	94	
16	Tukita	Tukita	language	no	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	magomedbekova1971	95		Maksim Melenchenko	2022-08-19	bex̃an	bexan		hundred		hundred	magomedbekova1971	95	
17	Khwarshi	Kvantlada	village	yes	yes	R-no	absent	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	khalilova2009	170		Maksim Melenchenko	2022-08-19	bešon	bešon		hundred		hundred	khalilova2009	170	
18	Tsez	Kidero	dialect_nt1	yes	yes	R-no	absent	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	bokarev1959	202	Info on 100 is unclear, no info on higher numerals.	Maksim Melenchenko	2022-08-19	бишон	bišon		hundred		hundred	bokarev1959tsez	202	
19	Hinuq	Hinuq	language	yes	yes	R-no	absent	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	forker2013	394		Maksim Melenchenko	2022-08-19	bišon	bišon		hundred		hundred	forker2013	394	
20	Hunzib	Hunzib	language	yes	yes	R-n(o)	absent	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	vandenberg1995	68	Note that 'hundred' is used with '1' (there is no so-called '1-deletion').	Maksim Melenchenko	2022-08-19	hə̃s=č'it'	hə̃s-č'it'		hundred		one-hundred	vandenberg1995	69	
21	Bezhta	Bezhta	village	yes	yes	R-na	absent	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	comrieetal2015	293	Note that 'hundred' is used with '1' (there is no so-called '1-deletion').	Maksim Melenchenko	2022-08-19	гьоⁿсчIитI	hõs-č'it'		hundred		one-hundred	comrieetal2015	293	
22	Northern Dargwa	Aqusha	dialect_toplevel	yes	yes	R-al	present (except composites)	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	abdullaev1954	135		Maksim Melenchenko	2022-08-19	даршал	darš-al		hundred		hundred-NUM	abdullaev1954	135	
23	Southwestern Dargwa	Tanti	dialect_toplevel	no	yes	R-al	present (except composites)	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	sumbatovalander2014	94	It is hinted at the fact that '100' is darš-al [p. 94] but there is no clear example.	Maksim Melenchenko	2022-08-19	—	—	—	—		—	—		
24	Sanzhi-Itsari	Sanzhi	dialect_toplevel	no	yes	R-al	present (except composites)	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	forker2020dargwa	130		Maksim Melenchenko	2022-08-19	daršː-al	daršː-al		hundred		hundred-NUM	forker2020dargwa	130	
25	Sanzhi-Itsari	Itsari	dialect_toplevel	no	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	sumbatovamutalov2003	45		Maksim Melenchenko	2022-08-19	dars̄̌	darš:		hundred		hundred	sumbatovamutalov2003	45	
26	Mehweb	Mehweb	language	no	yes	R-al	present	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	magometov1982	58		Maksim Melenchenko	2022-08-19	darš-al	darš-al		hundred		hundred-NUM	magometov1982	58	
27	Kajtag	Kajtag	language	no	yes	R-al	present (except composites)	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	temirbulatova2004	18		Maksim Melenchenko	2022-08-19	дарш-ал	darš-al		hundred		hundred-NUM	temirbulatova2004	18	
28	Chirag	Chirag	language	no	yes	R-al	absent	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	ganenkov2021draft_numerals	7		Maksim Melenchenko	2022-08-19	darš:	darš:		hundred		hundred	ganenkov2021draft_numerals	7	
29	Kubachi	Kubachi	language	no	yes	R-al	absent	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	magometov1963	134		Maksim Melenchenko	2022-08-19	dā̈š	dā̈š		hundred		hundred	magometov1963	134	
