id	language	idiom	type	genlang_point	map	form	value1	value1_name	feature	source	page	comment	contributor	date	example_as_in_source	example	translation_as_in_source	translation	gloss_as_in_source	gloss	example_source	example_page	example_comment
1	Upper Andi	Andi	village	yes	yes	R=gu	emphatic particle	Origin of the numeral marker	Origin of the numeral marker	cercvadze1965	345	"In numerals from 21 to 99 -lo-gu is used in between decimals and ones (č'ec'ol-lo-gu-č'e-gu '22'). According to the source, -lo-gu- means 'with', so '22' is 'twenty with two'. Apparently, usually in Andi =gu can appear in a compound numeral more than once. This is not true for Rikvani Andi.
In compound numerals from 11 to 19 genitive/locative marker is used on decimals: hoc'oƛi-se-b '11'. In Zilo village, dative marker is used instead of genitive (hoc'olɬ:ij-), in villages Muni and Kvankhidatli another stem of unknown origin is used (hoc'ol[i]). «В мунибском говоре <…> выделяется классный суффикс в числительном лъо-йи (I-II кл.), лъо-ви (III кл.) ‘три’» [alekseevetal1998: 228]."	Maksim Melenchenko	2022-08-19	l‘ob-gu	ɬob=gu	3	three		three=NUM	cercvadze1965	345	
2	Upper Andi	Rikvani	village	no	yes	R=gu	emphatic particle	Origin of the numeral marker	Origin of the numeral marker	suleymanov1957	304	"=gu is used for all numerals, except the ones that end with se-CM '1', including se-CM '1' itself (for example: hoc'o-ƛ se-w '11', hoc'o-ƛ č'e=gu '12').
In RIkvani Andi in compound numerals =gu can be used only once, at the end of the whole numeral. Unlike in Gagatli Andi, in Rikvani Andi =gu cannot appear in the middle of a compound numeral (for example, чIецIолло сев '21'; гьочIоцIолло сев '91'). In compound numerals from 21 to 99 (except for 30, 40, … 90) =gu is replaced by suffix -lo (č'e-c'ol=gu '20' but č'e-c'ol-lo se-w '21').
In compound numerals from 11 to 19 genitive marker is used on decimals: hoc'o-ƛ se-w '11' (ten-GEN one-M). Hence, when inflecting hoc'o=gu '10' by genitive, =gu is similarly omitted: hoc'o-ƛ (ten-GEN) [suleymanov1957: 306]. It is unclear whether =gu stays during inflection of other numerals and cases, as [suleymanov1957: 312—314] uses se-w '1' as an example to show inflection patterns. [cercvadze1965: 345] notes that this suffix is not only genitive, but also locative."	Maksim Melenchenko	2022-08-19	гьоцIолI чIегу	hoc'o-ƛ č'e=gu	12	twelve		ten-GEN two=NUM	suleymanov1957	299	
3	Upper Andi	Gagatli	village	no	yes	R=gu	emphatic particle	Origin of the numeral marker	Origin of the numeral marker	salimov2010	132	"=gu is used for all numerals, except the ones that end with se-w '1', including se-w '1' itself. Cardinals do not undergo inflection when used with names. They are inflected only if used autonomously.
In Gagatli Andi =gu can appear in the middle of a compound numeral (for example, чIецIоллогу сев '21'; гьочIоцIоллогу сев '91'). It also repeats in numerals like лъобцIоллогу инштугу '85'. More precise rules are described on [pages 132—133].
=gu is not used with miljan 'million', borrowed from Russian (милйан 'one million'). However, when counting millions, =gu is used with the number of millions (инштугу милйан 'five millions'). I guess the same thing must be present in all Andi dialects but [suleymanov1957] doesn't talk about numerals larger than 1 000."	Maksim Melenchenko	2022-08-19	гьоцIолIи чIегу	hoc'o-ƛi č'e=gu	12	twelve		ten-? two=NUM	salimov2010	131	
4	Upper Andi	Zilo	village	no	yes	R=gu	emphatic particle	Origin of the numeral marker	Origin of the numeral marker	kayeetaldraft2020	14	"In compound numerals from 21 to 99, suffix -loj is used (hoƛ’u-c'ol-loj ĩšdu-gu '75' seven-ten-LNK five-NUM). In compound numerals from 11 to 19, suffix -ɬij is used in the same way (hoc'o-ɬij č'e-gu '12' ten-LNK two-NUM).
Source notices that some speakers, especially the youth, use =gu with oziru/ozuru '1 000', borrowed from Turkic. Zilo speaker, asked by Aigul Zakirova in Dec 2021, who was not particularly young, always used -gu with '100' and '1000'."	Maksim Melenchenko	2022-08-19	ɬob-c’ol-gu	ɬob-c'ol=gu	thirty	thirty		three-ten-NUM	kayeetaldraft2020	14	glossing c'a, c'o, c'ali as 'ten' because [tatevosov1996: 29] writes that for Godoberi, «both c’a and c’ali are likely to be etymologically related to hac’a ‘10’» (even though «it seems to be rather awkward to treat them as allomorphs of hac’a»)
5	Lower Andi	Kvankhidatli	village	no	yes	R=gu	emphatic particle	Origin of the numeral marker	Origin of the numeral marker	Hajimurat, consultant on Kvankhidatli, A. Zakirova p.c.		Only numerals in range 100—1000 were asked.	Maksim Melenchenko	2022-08-19	бешено-гу кIотIу	bešeno-gu k'ot'u	100 лошадей	100 horses		hundred-NUM horse	Hajimurat, consultant on Kvankhidatli, asked by A. Zakirova		writing and transcription might be slightly inexact, by A. Zakirova in the field
6	Lower Andi	Muni	village	no	yes	R	emphatic particle	Origin of the numeral marker	Origin of the numeral marker	consultant on Muni, A. Zakirova p.c.		No -gu is attested. Only numerals in range 100—1000 were asked.	Maksim Melenchenko	2022-08-19	бешену кIорту	bešenu k'ortu	100 лошадей	100 horses		hundred horse	consultant on Muni, asked by A. Zakirova		writing and transcription might be slightly inexact, by A. Zakirova in the field
7	Avar	Standard Avar	language	yes	yes	R=go	emphatic particle	Origin of the numeral marker	Origin of the numeral marker	forkerdraft2020	18	=go is used for all numerals, except the ones that end with -co 'one', including co 'one' itself (q'o-lo co '21', but q'o-lo ki=go '22'). In compound numerals =go can be used only once, at the end of the whole numeral. Also, unq'=go '4' can get contracted to unq'o. When inflecting by cases, case markers are attached after =go [alekseevetal2012: 189]. No info on which dialect is described in this source.	Maksim Melenchenko	2022-08-19	k'i-q'o=go	k'i-q'o=go	forty	forty		two-twenty=NUM	forkerdraft2020	18	
8	Avar	Zaqatala	dialect_nt1	no	yes	R=gu	emphatic particle	Origin of the numeral marker	Origin of the numeral marker	saidova2007	107	=gu, unlike =go in standard Avar. Numbers 50, 60, 70, 80, 90 do not accept =gu as they are borrowed from Tsakhur [saidova2007: 108]. In subdialects some or all these numerals can be of Avar origin [ibid: 111—112].	Maksim Melenchenko	2022-08-19	инцIила кIигу	inc'ila k'i=gu	12	twelve		ten two=NUM	saidova2007	108	glossing needs revision
9	Chamalal	Upper Gakvari	dialect_nt1	yes	yes	R=da	emphatic particle	Origin of the numeral marker	Origin of the numeral marker	bokarev1949b	73	"=da is used for all numerals, except the ones that end with se-CM 'one', including se-CM 'one' itself (ac'al se-w '11', but ac'al eč'i=da '12'). Source says that =da «corresponds with Avar =go and Andi =gu». When counting, =da is omitted (I guess what is meant here is: one, two, three, four, etc). Cardinals do not undergo inflection when used with names. They are inflected only if used autonomously. In numbers 100—999 =da is assimilated to =na (apparently). (Kind of unclear though.) '1000' has =da (азалда). No info on larger numbers. =da never repeats in any of the examples.
However! Class marker is used at the end of tens, starting with 20! For example: ечIа-ца-да ‘20’, ечIе-чIе-кIу се-в ‘21 (I)’, ечIе-чIе-кIу-б се-б ‘21 (II)’. So, class marker repeats several times in larger numbers: [72]. No comment on this, precise rules are unclear."	Maksim Melenchenko	2022-08-19	лъалъада	ɬaɬa=da	3	three		three=NUM	bokarev1949b	71	Root for 'three' is from Upper Gakvari subdialect. The whole root is ɬaɬa, no reduplication.
10	Tindi	Tindi	village	yes	yes	R=da	emphatic particle	Origin of the numeral marker	Origin of the numeral marker	magomedova2012	144	"=da turns to =ja after vowels. =ja/=da is used for all numerals, except the ones that end with se-CM 'one', including se-CM 'one' itself (hac'ala se-b '11', but hac'ala k'ʲe=ja '12'). se-CM is the only numeral that inflects by class. Cardinals inflect by case the way adjectives do. It seems that =da/=ja is used only once, attaching to the last numeral. Pure decimals do not have -da (k'ʲa:-c'a '20', ɬab-ac'a '30').
Judging by [authierdraft2020: 15], '100' has -da but '1000' does not."	Maksim Melenchenko	2022-08-19	гьацIала боъойа	hac'a-la boʔ'o=ja	четырнадцать	fourteen		ten-LOC four=NUM	magomedova2012	145	transcription and glossing need revision
11	Godoberi	Godoberi	village	yes	yes	R=da	emphatic particle	Origin of the numeral marker	Origin of the numeral marker	tatevosov1996	28	=da is used for all numerals, except the ones that end with ce-CM 'one', including ce-CM 'one' itself (hac'a-ɬi ce-w '21', hac'a-ɬi ɬabu=da '23' [page 30]). '20' uses =da obligatorily (k'a:-c'a=da) but numerals 30, 40, … 90 do not use it (ɬabu-c'ali '30'). «This is the only case when cardinals have suffix -da dropped» [29]. Thousands have -da. It seems from the examples that =da appears only once in cardinals, at the end of a compound numeral (for example, k'a:-c'a=da '20' but k’a:-c’a-li k’e-da '22'). Compound numerals are derived with the suffix -ɬi, the source of which «is probably the Dative marker -li». Also, «note that numerals from ‘11’ to ‘19’ in Godoberi unlike their counterpart in many other languages are formed in the same way as other compound numerals» [30]. When substantivized, all numerals undergo inflection [33]. More on quantification on [page 237]. Also, look into [saidova1973: 87]	Maksim Melenchenko	2022-08-19	inLi-da	inƛi=da	6	six		six=NUM	tatevosov1996	28	
12	Northern Akhvakh	Northern Akhvakh	language	yes	yes	R-da-<CM>e	mixed	Origin of the numeral marker	Origin of the numeral marker	magomedbekova1967	71	"According to the source, -da is a suffix of adjectives. It appears in all cardinals except the ones that end with če-CM '1', including it itself [magomedovaabdulaeva2007: 686]. In fast colloquial speech class marker -CM is often omitted. Unlike in Southern Akhvakh, -da cannot be omitted [41]. Apparently, -da and class marker do not repeat in a complex numeral and appear only on the end of it [examples on page 71]. Ordinals inflect the way adjectives do [72]. =da appears in azaro-da '1000', as shown by [creisselsdraft2020: 17] (no mentions of millions and larger). The -da-CM-e might originate in participle ida-CM-e 'being' [67].
Confusion: [magomedbekova1967: 41] mentions that in Southern Akhvakh cardinals do not inflect by class. It is unclear whether she means that the -CM suffix is absent in these cardinals. No examples are given. [creisselsdraft2020: 16], however, mentions the same thing but attributes this feature to Northern Akhvakh. He gives many examples, all of them without class suffix. Also, [creisselsdraft2020: 17] shows examples of ordinals without the class marker which is present in [magomedovaabdulaeva2007: 687]. This problem needs help."	Maksim Melenchenko	2022-08-19	ḳeda-be	k'e-da-be	два	two		two-NUM-CM	magomedbekova1967	71	"transcription and glossing need revision
glossing -da as NUM, but worth mentioning that the source says it is adjective suffix [magomedbekova1967: 40]. [creisselsdraft2020: 10] says that 'no particular function can be attributed' to it."
13	Northern Akhvakh	Tad-Magitl'	village	no	yes	R-da	emphatic particle	Origin of the numeral marker	Origin of the numeral marker	magomedovaabdulaeva2007	686	In Southern Akhvakh all cardinals inflect by class. -da is a suffix of adjectives. It appears in all cardinals except the ones that end with če-CMe '1', including it itself [magomedbekova1967: 40]. Cardinals do not have class inflection. Suffix -da is omitted «when counting» [magomedbekova1967: 41]. Apparently, -da and class marker do not repeat in a complex numeral and appear only at the end of it. Ordinals inflect the way adjectives do [magomedbekova1967: 72].	Maksim Melenchenko	2022-08-19	ĩƛːida	ĩƛ:i-da	6	six		six-NUM	creisselsdraft2020	16	transcription and glossing need revision
