id	language	idiom	type	genlang_point	map	feature	value1	value1_name	source	page	other functions of ordinal marker	comment	contributor	form	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment	date
1	Agul	Burkikhan	village	yes	yes	Ordinals	attested	'say' strategy	field data		participle of 'say'		Ivan Netkachev, Polina Nasledskova			jaq'u-d pe		fourth	four-abs.sg say.ptcp				10.202
2	Agul	Huppuq'	dialect_toplevel	no	yes	Ordinals	attested (phonetically eroded)	'say' strategy	field data		dedicated		Ivan Netkachev, Polina Nasledskova			jaq'ud-pu		fourth	four-ord				10.202
3	Northern Akhvakh	Northern Akhvakh	language	yes	yes	Ordinals	attested	'say' strategy	magomedbekova1967	251	present participle of 'say'		Ivan Netkachev, Polina Nasledskova			ƛa-bi-l-eƛ’ː-ida-be		third	three-BI-L-say-ptcp.prs-3	magomedbekova1967	251		10.202
4	Upper Andi	Rikvani	village	yes	yes	Ordinals	not attested	'say' strategy	suleymanov1957	307	dedicated		Ivan Netkachev, Polina Nasledskova			č'el-dob		second	two-ord	suleymanov1957	307		10.202
5	Archi	Archib	village	yes	yes	Ordinals	attested	'say' strategy	Michael Daniel, p.c.		(1) participle of 'say'; (2) participle of 'become'		Ivan Netkachev, Polina Nasledskova			q'ˁʷe-bo-s-du-t		second	two-saǧ-inf-attr-4	Michael Daniel, p.c.			10.202
6	Eastern Armenian	Eastern Armenian	language	yes	yes	Ordinals	not attested	'say' strategy	dum-tragut2009	120	dedicated		Ivan Netkachev, Polina Nasledskova			hing-erord		fifth	five-ord	dum-tragut2009	120		10.202
7	Avar	Standard Avar	language	yes	yes	Ordinals	attested	'say' strategy	alekseevetal2012	188	future participle of 'say'		Ivan Netkachev, Polina Nasledskova			łab-abi-le-w		third	three-say-fut-1	alekseevetal2012	188		10.202
8	Avar	Zaqatala	dialect_nt1	no	yes	Ordinals	not attested	'say' strategy	saidova2007	109	dedicated		Ivan Netkachev, Polina Nasledskova			k'i-j-ilʲa-b		second	two-e-ord-3	saidova2007	109		10.202
9	Azerbaijani	Standard Azerbaijani	language	yes	yes	Ordinals	not attested	'say' strategy	shiralievsevortyan1971	75	dedicated		Ivan Netkachev, Polina Nasledskova			beš-inǯi		fifth	five-ord	shiralievsevortyan1971	75		10.202
10	Bagvalal	Kvanada	village	yes	yes	Ordinals	not attested	'say' strategy	kibrik2001	157	(1) future participle suffix; (2) dedicated		Ivan Netkachev, Polina Nasledskova			hab-da-la-ł-o=b		third	three-num-num-fut-ptcp=3	kibrik2001	157		10.202
11	Tsova-Tush	Zemo-Alvani	village	yes	yes	Ordinals	not attested	'say' strategy	desheriev1953	463--464	dedicated		Ivan Netkachev, Polina Nasledskova			ši-lǧen		second	two-ord	desheriev1953	463--464		10.202
12	Bezhta	Bezhta	village	yes	yes	Ordinals	attested	'say' strategy	comrieetal2015	279	(1) genitive; (2) past participle of 'say'		Ivan Netkachev, Polina Nasledskova			õqona-i<ya>ƛe-yo		fourth	four-call<pl>-pst.ptcp	comrieetal2015	279	notice that the verb 'call', not 'say' is used	10.202
13	Botlikh	Botlikh	village	yes	yes	Ordinals	not attested	'say' strategy	Chiara Naccarato, Samira Verhees, p.c.		present participle of 'say'		Ivan Netkachev, Polina Nasledskova			k'eji-ła-b		second	two-ptcp.prs.an-3	Chiara Naccarato, Samira Verhees, p.c.		there also is inanimate form	10.202
14	Budukh	Budukh	language	yes	yes	Ordinals	attested	'say' strategy	Gilles Authier, p.c.		(1) set of ordinal numerals borrowed from Azerbaijani; (2) 'say'		Ivan Netkachev, Polina Nasledskova										10.202
15	Chamalal	Upper Gakvari	dialect_toplevel	yes	yes	Ordinals	not attested	'say' strategy	bokarev1949a	73--74	present participle of 'say'		Ivan Netkachev, Polina Nasledskova			boʔu-ƛa-b		fourth	four-ptcp.prs-3	bokarev1949a	73--74		10.202
16	Chechen	Standard Chechen	language	yes	yes	Ordinals	not attested	'say' strategy	nichols1994	53	dedicated		Ivan Netkachev, Polina Nasledskova			qwoʔa-lǧa		third	three-ord	nichols1994	53		10.202
17	Northern Dargwa	Aqusha	dialect_toplevel	yes	yes	Ordinals	attested	'say' strategy	abdullaev1954	137	past participle of 'say'		Ivan Netkachev, Polina Nasledskova			k'i-ib-il		second	two-say-ptcp.pst	abdullaev1954	137		10.202
