id	lang	idiom	type	genlang_point	map	feature	value1	value1_name	function	form	value2	value2_name	source_label	source	page	comment	contributor	example_as_in_source	example	translation_as_in_source	translation	gloss_source	gloss	example_source	example_page	example_comment	date
1	Agul	Huppuq'	village	yes	yes	Particles of reported speech and inference	Single marker type	Particle inventory	Reportative	ʁaj	particle	Structure	показатель пересказывательности	maisakmerdanova2002			Samira Verhees	ge adine-Raj		говорят, он пришел				maisakmerdanova2002	110		2.2022
2	Northern Akhvakh	Northern Akhvakh	language	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Reportative	di	particle	Structure	передача чужой речи, повествование, заглазное действие	magomedbekova1967	107		Samira Verhees	particles_akhvakh_di.jpg						magomedbekova1967	107		2.2022
3	Northern Akhvakh	Northern Akhvakh	language	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Quotative	ƛ'ːe / eƛ'ːe	particle	Structure	косвенная речь	magomedbekova1967	107		Samira Verhees	particles_akhvakh_le.jpg						magomedbekova1967	107		2.2022
4	Northern Akhvakh	Northern Akhvakh	language	yes	yes	Particles of reported speech and inference	Dedicated markers	Particle inventory	Quotative	eƛ'ːehe / ƛ'ːohe	verb	Structure	косвенная речь	magomedbekova1967	107		Samira Verhees	particles_akhvakh_lehe.jpg						magomedbekova1967	107		2.2022
5	Northern Akhvakh	Tad-Magitl'	village	no	no	Particles of reported speech and inference	Single marker type	Particle inventory	Quotative	ƛ'e	particle	Structure	косвенная речь	magomedovaabdulaeva2007	704	According to Magomedova & Abdulaeva (2007: 704) also used to mark indirect questions, though the example provided looks like a regular quotative construction with the verb ‘ask’.	Samira Verhees	Ачи охьакье йекъ1егье йик1вари гьудуйе / Ачикье йекъ1егье йик1вари гьудуйе		Она приходила просить денег взяймы. Replaced palochka with 1.				magomedovaabdulaeva2007	704	Kind of a weird example to be honest.	2.2022
6	Upper Andi	Andi	village	yes	yes	Particles of reported speech and inference	Dedicated markers	Particle inventory	Quotative	ʁodːu / ɬoʁodːu	particle	Structure	quotative	maisak2017		Particles “agree” with the tense of the predicate: non-aorist / aorist. See Maisak (2017).	Samira Verhees	isa-di rac’ːin-dːu en.š-la ɬe-di=ɬoʁo rela ɢobi=dːu		Jesus asked, “Who touched me?”		Jesus-erg ask-prf [self.m-super who-erg=quot hand touch.aor]=quot		maisak2017	3	Originally from another source. Shows a particle that splits into two parts.	2.2022
7	Upper Andi	Andi	village	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Reportative	ʁodi / ɬodi	particle	Structure	reportative	maisak2017		Particles “agree” with the tense of the predicate: non-aorist / aorist. See Maisak (2017).	Samira Verhees	onšːi mola-rasadin.o-di b-ičːi=ɬodi ʟ’ankːala, b-ikːoɬi=ɬodi hede-b gʷal.u-la hinu.		One day Molla-Nasreddin caught a hare and put it in a sack.		once Molla-Nasreddin-erg iii-catch.aor=rep hare iii-be.caus.aor=rep dist-iii sack-in inside		maisak2017	6	Originally from another source.	2.2022
8	Upper Andi	Gagatli	village	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Reportative	ʁodi / ɬodi	particle	Structure	цитатная частица	salimov2010	216	Particles “agree” with the tense of the predicate: non-aorist / aorist. See Maisak (2017).	Samira Verhees	Има вукъголъоди.		Отец пришел, говорится.				salimov2010	216		2.2022
9	Upper Andi	Gagatli	village	no	yes	Particles of reported speech and inference	Dedicated markers	Particle inventory	Quotative	ʁodːu	particle	Structure	цитатная частица	salimov2010	229-237		Samira Verhees	Ч1акъваруди рул1идду къгамкъгухъи, гьинджелло бикъгобор сорохъи рулогъо: “Анжиди джилъибор, кьетур букъогъодду”.		Перепел сказал синице, еще и если придет лисе скажи: “топор если есть, дерево срубить, мол”.				salimov2010	227		2.2022
10	Upper Andi	Rikvani	village	no	yes	Particles of reported speech and inference	Dedicated markers	Particle inventory	Quotative	(ʁo)jd // (ʁo)did / ɬoʁojd	particle	Structure	quotative	maisak2017		Particles “agree” with the tense of the predicate: non-aorist / aorist. See Maisak (2017).	Samira Verhees	ali-l’o ruʟ-o, ho-<w>a wuɢo-b=ʁojd / ali-d di-l’o ruʟi, ži-w w-ukon=ɬoʁojd		Tell Ali to come here. / Ali told me he ate already.		Ali-super.lat say-imp [prox-lat<m> m-come-imp]=quot / Ali-erg I-super.lat say.aor [self-m m-eat.aor]=quot		maisak2017	2	Examples for both non-aorist and aorist form.	2.2022
11	Upper Andi	Rikvani	village	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Reportative	ʁodi / ɬodi	particle	Structure	reportative	maisak2017		Particles “agree” with the tense of the predicate: non-aorist / aorist. See Maisak (2017).	Samira Verhees	w-uk’o-d꞊ʁodi, w-uk’o-č’igu꞊ʁodi se-w χan...		There lived (= there was, there was not) one king… {beginning of a fairy-tale}		m-be-prf=rep m-be-prf.neg=rep one-m king		maisak2017	5	Only non-aorist form example.	2.2022
12	Upper Andi	Zilo	village	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Reportative	ʁodi / ɬodi	particle	Structure	reportative	kayeetaldraft2020		Particles “agree” with the tense of the predicate: non-aorist / aorist. See Maisak (2017).	Samira Verhees	q’inn-i-j=ʁodi cːаnа.		A thorn stuck [into his leg].		stick-pst-pf=rep thorn		kayeetal2020	CHECK		2.2022
13	Upper Andi	Zilo	village	no	yes	Particles of reported speech and inference	Dedicated markers	Particle inventory	Quotative	(ʁo)du	particle	Structure	quotative	kayeetaldraft2020			Samira Verhees	[c'ːa r-iʁ-i-j]=du č'-o-r χuj anɬ-i-r-sːu		It seems to me that the rain has stopped, I do not hear the noise [anymore].		rain inan2-stop-pst-pf=quot seem-pst-prog noise hear-pst-prog-neg		kayeetal2020	CHECK	Example without ʁo.	2.2022
