id	lang	idiom	type	genlang_point	map	feature	value1_name	value1	source	page	contributor	date
1	Agul	Burshag	village	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	attested	kibrikkodzasov1990	340--341	Viola Ivanova	2017.05.06
2	Agul	Huppuq'	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	maisakganenkov2016		George Moroz	2021.10.04
3	Akhvakh	Northern Akhvakh	dialect_toplevel	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	creisselsdraft2020		George Moroz	2021.10.04
4	Akhvakh	Tad-Magitl'	village	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrikkodzasov1990	322--323	Viola Ivanova	2017.05.06
5	Andi	Andi	village	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrikkodzasov1990	321	George Moroz	2017.05.06
6	Andi	Zilo	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kayeetaldraft2020		George Moroz	2021.10.04
7	Archi	Archib	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	attested	kibrik1994a	300, 303, 304	George Moroz	2021.10.04
8	Archi	Archib	village	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrikkodzasov1990	335--336	Viola Ivanova	2017.05.06
9	Armenian	Modern Eastern Armenian	dialect_toplevel	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	dum-tragut2009	17, 19, 18, 20, 13	George Moroz	2021.10.04
10	Avar	Chadakolob	village	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrikkodzasov1990	320	Viola Ivanova	2017.05.06
11	Avar	Standard Avar	language	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	alekseevataev1997	35, 36	George Moroz	2021.10.04
12	Azerbaijani	Standard Azerbaijani	language	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	shiralievsevortyan1971	16--26, 7	George Moroz	2021.10.04
13	Bagvalal	Kvanada	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrik2001	35--46	George Moroz	2021.10.04
14	Bezhta	Bezhta	dialect_toplevel	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	attested	comrieetal2015	86, 42, 41	George Moroz	2021.10.04
15	Bezhta	Tlyadal	village	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrikkodzasov1990	330	Viola Ivanova	2017.05.06
16	Botlikh	Botlikh	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	alexeyevverheesdraft2020		George Moroz	2021.10.04
17	Budukh	Budukh	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrikkodzasov1990	345	George Moroz	2017.05.06
18	Budukh	Budukh	village	no	no	Presence of pharyngealized segments	Presence of pharyngealized segments	attested	talibov2007	35, 37	George Moroz	2021.10.04
19	Chamalal	Gigatli	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrikkodzasov1990	324	George Moroz	2017.05.06
20	Chamalal	Upper Gakvari	dialect_nt1	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	bokarev1949a	12, 15, 13	George Moroz	2021.10.04
21	Chechen	Standard Chechen	language	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	attested	nichols1994	4, 5, 8, 7	George Moroz	2021.10.04
22	Dargwa	Chirag	village	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	attested	kibrikkodzasov1990	334	George Moroz	2017.05.06
23	Dargwa	Kaitag	dialect_toplevel	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	attested	temirbulatova2004	39, 36	George Moroz	2021.10.04
24	Dargwa	Mehweb	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	attested	moroz2017	22--34	George Moroz	2021.10.04
25	Dargwa	Tanty	village	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	attested	sumbatovalander2014	40--41, 40	George Moroz	2021.10.04
26	Georgian	Standard Georgian	language	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	hewitt1995	19, 21	George Moroz	2021.10.04
27	Godoberi	Godoberi	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	morozdraft2021	2	George Moroz	2021.10.04
28	Hinuq	Hinuq	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	attested	forker2013	29, 24--25, 23, 25--26, 26--27	George Moroz	2021.10.04
