id	family	group	language	idiom	type	genlang_point	map	chapter	feature1	value1	feature2	value2	source	page	comment	form_hold	form_take	form_catch	hold_example	take_example	catch_example	comment_hold	example_comment_hold	comment_take	example_comment_take	comment_catch	example_comment_catch	date	contributor
50	Indo-European	Iranian	Juhuri	Juhuri	language	yes	yes	Colexification of ‘take’, ‘hold’, ‘catch’	Colexification of 'hold' and 'take'	cognate verbs	Colexification of 'hold' and 'catch'	yes	naftaliev2016	125, 184, 514		DOŞTƏ, GYRDƏ	VƏGYRDƏ	GYRDƏ	Ⱨəjilə gyrdə держать ребёнка	Kitobə əz ki vəgyrdəj? У кого ты взял книгу?;	Tupə gyrdə поймать мяч;	держать/держать, ловить, брать, взять		принимать, брать/держать, ловить, брать, взять		держать, ловить, брать, взять		02.04.2026	Tatiana Khisamutdinova
2	East Caucasian	Andic	Northern Akhvakh	Tad-Magitl’	village	yes	yes	Colexification of ‘take’, ‘hold’, ‘catch’	Colexification of 'hold' and 'take'	no	Colexification of 'hold' and 'catch'	yes	magomedovaabdulaeva2007	76, 90		Б/ИХЬУ/РУ ЛЪIА 	Б/ЕХУ/РУ ЛЪIА 	Б/ИХЬУ/РУ ЛЪIА 	квади бихьурулъlа  а) держать в руках, на руках б) удержать, сохранить; /гьс кьlари лъе" бихьурулъlа подержать во рту воду; 	рекьlилиде бехурулъlа брать руками;	къlилидс и kIотlи бихьурулъlа ловить мышь мышеловкой;	1) держать, удерживать, держаться 2) ловить, пленить 3) задерживать 4) нанимать 5)подносить 6)облицовывать и т. д. 		1)брать, принимать, получать 2)принимать с какой-л целью 3) покупать 4) взимать		1) держать, удерживать, держаться 2) ловить, пленить 3) задерживать 4) нанимать 5)подносить 6)облицовывать и т. д. 		02.04.2026	Tatiana Khisamutdinova
3	East Caucasian	Andic	Upper Andi	Andi	village	yes	yes	Colexification of ‘take’, ‘hold’, ‘catch’	Colexification of 'hold' and 'take'	no	Colexification of 'hold' and 'catch'	yes	alisultanova2009	20, 25		биччиду	тиххиду, бихиду	биччиду	дін бічір коду карандаш я держу карандаш в руке [dirr1906, 134]	Вуqоηоді, гуалало біхі-тту, баjчоηоді кол, hегеηуку гірді-бічітту саhі. Пришелъ, мѣшокъ и взялъ, открылъ отверстіе, оттуда выкатилось сахі взял мешок, открыл, оттуда выкатилось сахи	биччиду бигъидося кlоту ‘лошадь, которую трудно поймать’	1) держать 2) удержать 3) поймать4) ловить 5) соответствовать, быть в пору (кому-чему-либо) 6) завоёвывать, захватывать 7) задержать, арестовать 8) нанимать, арендовать 9) покрываться’10) неметь 11) соблюдать (о посте)		брать		1) держать 2) удержать 3) поймать4) ловить 5) соответствовать, быть в пору (кому-чему-либо) 6) завоёвывать, захватывать 7) задержать, арестовать 8) нанимать, арендовать 9) покрываться’10) неметь 11) соблюдать (о посте)		02.04.2026	Tatiana Khisamutdinova
11	East Caucasian	Andic	Bagvalal	Khushtada	village	yes	yes	Colexification of ‘take’, ‘hold’, ‘catch’	Colexification of 'hold' and 'take'	no	Colexification of 'hold' and 'catch'	yes	magomedova2004	96, 68		Б/ЙЩИ/ЛА	Б/ЕГЬЙГЬИ/ЛА 	Б/ЙЩИ/ЛА	 мачl квай бищила держать ребенка на ру ках; 	 къарзила бегьила взять взаймы	 бацlа бищила поймать волка	1) держать, удерживать 2) ловить, брать в плен 3)задерживать, арестовывать 4) занимать что-л 5)подносить к чему-л и т. д.		1) брать, принимать, покупать 2) завоевать, подчинить		1) держать, удерживать 2) ловить, брать в плен 3)задерживать, арестовывать 4) занимать что-л 5)подносить к чему-л и т. д.		02.04.2026	Tatiana Khisamutdinova
13	East Caucasian	Andic	Botlikh	Botlikh	village	yes	yes	Colexification of ‘take’, ‘hold’, ‘catch’	Colexification of 'hold' and 'take'	no	Colexification of 'hold' and 'catch'	yes	saidovaabusov2012; alekseevazaev2019	24, 196; 82		Б/ИКК/Й 	ИБХ/Й 	Б/ИКК/Й 	 гьели рикки соблюдать пост (букв. держать рот)	 голълъиди дичӀуку хъучибалъи ибхе она берет у меня книги; 	 гьи́нкIкIва бикки́ ловить мышь;	1) держать, подержать 2)ловить, задержать 3) нанимать 4) занимать 5) подносить 6) облицевать7) преграждать (дорогу)		брать, покупать		1) держать, подержать 2)ловить, задержать 3) нанимать 4) занимать 5) подносить 6) облицевать7) преграждать (дорогу)		02.04.2026	Tatiana Khisamutdinova
16	East Caucasian	Andic	Chamalal	Lower Gakvari	dialect_toplevel	yes	yes	Colexification of ‘take’, ‘hold’, ‘catch’	Colexification of 'hold' and 'take'	no	Colexification of 'hold' and 'catch'	yes	magomedova1999	86, 87		БЙЦИЦЛА/БИЦИЦИЛА, БЙЦЛА/БИЦЙЛА 	БЙХЛА’/БИХЙЛА	БЙЦИЦЛА/БИЦИЦИЛА,  БЙЦЛА/БИЦЙЛА 	 мач! квада" вицицла часто держать на руках ребёнка	къарзил! бихла взять взаймы	 чlорe йацицла а) часто ловить птиц б) поймать несколько птиц 	 1) держать; удерживать кого-л 2) ловить кого-что-л.; пленить кого-л. 3) задерживать (арестовывать) кого- л. 4) занимать что-л.; нанимать кого-что- л. 5) подносить что-л. к чему-л. 6) облицовывать, отделывать что-л 7) преграждать (дорогу)  1) держать, удерживать кого-что-л.; придерживаться чего-л.;  2) ловить кого-что-л.; пленить кого- л.3) задерживать (арестовывать) кого-л 4) занимать  5) подносить, держать что-л. над6) облицовывать что-л. чем-л. 7) держаться на поверхности {жидкости) 8) преграждать (дорогу)		 1) брать; получать; приниамть; покупать; 2) впитываться, вбираться		 1) держать; удерживать кого-л 2) ловить кого-что-л.; пленить кого-л. 3) задерживать (арестовывать) кого- л. 4) занимать что-л.; нанимать кого-что- л. 5) подносить что-л. к чему-л. 6) облицовывать, отделывать что-л 7) преграждать (дорогу) 1) держать, удерживать кого-что-л.; придерживаться чего-л.;  2) ловить кого-что-л.; пленить кого- л.3) задерживать (арестовывать) кого-л 4) занимать  5) подносить, держать что-л. над6) облицовывать что-л. чем-л. 7) держаться на поверхности {жидкости) 8) преграждать (дорогу)		02.04.2026	Tatiana Khisamutdinova
17	East Caucasian	Andic	Gigatli	Gigatl'	village	yes	yes	Colexification of ‘take’, ‘hold’, ‘catch’	Colexification of 'hold' and 'take'	no	Colexification of 'hold' and 'catch'	yes	salimov2010	257, 258		БИЧЧИ ДУ	БИХИДУ	БИЧЧИ ДУ	Лъибдду сороди кӀолла биччидду чӀакъгвара. Пригнув лиса во рту держала перепела. [salimov2010, 229]	Алейгьилащдилълъен рихидйа - сенокос, где берет воду Алейхилав (?)  [salimov2010, 409]		держать, ловить		взять, купить		держать, ловить		02.04.2026	Tatiana Khisamutdinova
28	East Caucasian	Andic	Godoberi	Godoberi	language	yes	yes	Colexification of ‘take’, ‘hold’, ‘catch’	Colexification of 'hold' and 'take'	no	Colexification of 'hold' and 'catch'	yes	saidova2006	71, 52		Б/ИККЙ 	Б/АХЙ	Б/ИККЙ 	 чlибе кваду рикки держать в руках тарелки;	гьотти дичlуру хьучибе рахида она берет у меня книги;	бацlа бикки поймать волка;	1) держать; подержать что-л.', удерживать кого-что-л 2)держаться, придерживаться чего-л. 3) ловить, задержать кого-что-л.; пленить, брать в плен кого-л. 3) нанимать кого-что-л. 4) занимать что-л.5) подносить, держать что-л. над чемл. 6) облицовывать, отделывать что-л. чём-л7) преграждать (дорогу); 		1) брать; принимать; покупать, приобрести что-л.;  2) впитывать(ся), вбирать(ся);		1) держать; подержать что-л.', удерживать кого-что-л 2)держаться, придерживаться чего-л. 3) ловить, задержать кого-что-л.; пленить, брать в плен кого-л. 3) нанимать кого-что-л. 4) занимать что-л.5) подносить, держать что-л. над чемл. 6) облицовывать, отделывать что-л. чём-л7) преграждать (дорогу); 		02.04.2026	Tatiana Khisamutdinova
33	East Caucasian	Andic	Karata	Karata	dialect_toplevel	yes	yes	Colexification of ‘take’, ‘hold’, ‘catch’	Colexification of 'hold' and 'take'	no	Colexification of 'hold' and 'catch'	yes	magomedovaxalidova2001	31, 69		Б/ИК/АЛЪА 	БАГЬАЛЪА//БАЛЪА 	Б/ИК/АЛЪА 	 квади бикалъа держать в руках;	 рекь!абал балъа брать руками	 щакибо бикалъа поймать птичку	 1) держать, удерживать кого-что-л 2) ловить, поймать 3) задерживать (арестовывать) 4) занимать что-л.; нанимать кого-чтол. 5) подносить что-л. к чему-л., держать чтол. над чем-л 6) облицевать, отделывать что-л. чём-л 7) преграждать (дорогу) 8) повесить что-л. на чтол.		1) брать 2) принимать 3) покупать		 1) держать, удерживать кого-что-л 2) ловить, поймать 3) задерживать (арестовывать) 4) занимать что-л.; нанимать кого-чтол. 5) подносить что-л. к чему-л., держать чтол. над чем-л 6) облицевать, отделывать что-л. чём-л 7) преграждать (дорогу) 8) повесить что-л. на чтол.		02.04.2026	Tatiana Khisamutdinova
35	East Caucasian	Andic	Tukita	Tukita	language	yes	yes	Colexification of ‘take’, ‘hold’, ‘catch’	Colexification of 'hold' and 'take'	no	Colexification of 'hold' and 'catch'	yes	gadzhieva2007	56, 26		бухьхьагьеду	бāлъа	бухьхьагьеду				hold, catch		take		hold, catch		02.04.2026	Tatiana Khisamutdinova
