id	family	group	language	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	source	page	comment	contributor	imperative form	plural form	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment	date	language_new	idiom_new	type_new
1	East Caucasian	Lezgic	Agul	Central Agul	dialect_toplevel	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	no	Distinction in plural form	magometov1970	140		Maria Starodubtseva	zero marker (for sg); -aj (for pl)			rux,  jik	читай', 'умри'	read', 'die'	read[IMP], die[IMP]	magometov1970	140					
2	East Caucasian	Andic	Southern Akhvakh	Southern Akhvakh	language	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	not applicable	Distinction in plural form	muravyevdraft	20		Maria Starodubtseva	-a (for trans); -abe/ame (for intrans)			r-eχ-a; b-eq'-abe-la	take', 'let come'	take', 'let come'	NPL-take-OBJ.IMP; HPL-come-IMP-JUSS	muravyevdraft	NA (20)					
3	East Caucasian	Andic	Northern Akhvakh	Northern Akhvakh	language	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	no	Distinction in plural form	magomedbekova1967	93	NB! 'строгого разграничения в употреблении суффиксов а, е по переходности не наблюдается'	Maria Starodubtseva	-a (for trans); -e (for intrans) commonly, but not universally!			qin-а; woqʼ-e	шей', 'иди (сюда)'	sew', 'come'	sew-IMP; come-IMP	magomedbekova1967	93					
4	East Caucasian	Andic	Upper Andi	Gagatli	village	no	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	not applicable	Distinction in plural form	salimov2010	189,198		Maria Starodubtseva	-o/-on (for trans); zero marker: imp form = part. form with -b (for intrans)			bešː-o; bešːib	ткать'	weave'	weave-IMP; weave[IMP]	salimov2010	202					
5	East Caucasian	Andic	Upper Andi	Zilo	village	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	yes	Distinction in plural form	kayeetaldraft2020	21		Maria Starodubtseva	-o/-on (for trans);  -b (for intrans)	-ul (for intrans)		saʁijd-o; rečː-o-b; rečː-o-b-ul	heal', 'forget', 'forget'	heal', 'forget', 'forget'	heal-IMP.SG; forget-IMP.SG; forget-IMP-PL	kayeetaldraft2020	21					
6	East Caucasian	Lezgic	Archi	Archi	language	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	yes	Distinction in plural form	kibrik1977	95(V2)		Maria Starodubtseva	zero marker	-r (for intrans)		oci-r	остановитесь'	stop'	stop[IMP]-PL	kibrik1977	95					
7	Indo-European	Armenic	Eastern Armenian	Eastern Armenian	language	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	no	Distinction in plural form	dum-tragut2009	272		Maria Starodubtseva	prs/aor stem + -ir/-a			patrast-ir	prepare'	prepare'	prepare-IMP.2.SG	dum-tragut2009	274					
8	East Caucasian	Avar	Avar	Standard Avar	language	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	not applicable	Distinction in plural form	forkerdraft2020	12		Maria Starodubtseva	-e (for trans), -a (for intrans)			ʕin t’am-e; a	ear spread (listen)', 'go'	ear spread (listen)', 'go'	ear spread-IMP; go.IMP	forkerdraft2020	12					
9	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	no	Distinction in plural form	shiralievsevortyan1971	114		Maria Starodubtseva	zero marker			danɯšsana	говори'	speak'	speak[IMP]	shiralievsevortyan1971	115					
10	East Caucasian	Andic	Bagvalal	Kvanada	village	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	not applicable	Distinction in plural form	kibrik2001	96-97		Maria Starodubtseva	-a (for trans); -be or zero (for intrans)			rušš-a; mari-be	отопри', 'мычи'	unlock', 'bellow'	unlock-IMP; bellow-IMP	kibrik2001	96-97					
11	East Caucasian	Tsezic	Bezhta	Bezhta	default_level	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	not applicable	Distinction in plural form	comrieetal2015	378-379		Maria Starodubtseva	-a/-æ (for trans); -i/zero marker (for intrans)			gitʼ-a; bož	налей', 'верь'	pour', 'believe'	pour-IMP, believe[IMP]	comrieetal2015	378-379					
12	East Caucasian	Andic	Botlikh	Botlikh	village	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	not applicable	Distinction in plural form	alexeyevverheesdraft2020	17	Three intransitive verbs have an irregular imperative with the suffix -ba.	Maria Starodubtseva	-a (for trans); -i/-j (for intrans)			qward-a; čʼːard-i	write', 'run'	write', 'run'	write-IMP; run-IMP	alexeyevverheesdraft2020	NA (17)					
13	East Caucasian	Lezgic	Budukh	Budukh	language	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	no	Distinction in plural form	talibov2007	202-208		Maria Starodubtseva	zero marker, reduction (auslaut vowel/prs suff/masdar suff etc)			eš; ix	спускайся', 'услышь'	descend', 'hear'	descend[IMP]; hear[IMP]	talibov2007	158					
14	East Caucasian	Andic	Chamalal	Lower Gakvari	dialect_toplevel	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	yes	Distinction in plural form	roncero2021	1		Maria Starodubtseva	-a/-aː (for trans); -a(b)/-m (for intrans)	-i (for intrans)		bal-be; jal-bi; čʼin-a	зови', 'зовите', 'бей'	call', 'call', 'hit'	call-IMP.2.SG.; call-IMP.2.PL.; hit-IMP.2.SG.	bokarev1949a	93-94					
15	East Caucasian	Nakh	Chechen	Standard Chechen	language	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	no	Distinction in plural form	molochieva2010	251	three types of imperative	Maria Starodubtseva	-a (simple imperative)			mala	drink'	drink'	drink.IMP	molochieva2010	251					
16	East Caucasian	Dargwa	North Dargwa	Standard Dargwa	language	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	no	Distinction in plural form	musaev2002	69		Maria Starodubtseva	-a (for trans); -u (for intrans)			buc-a; wakʼ-u	держи', 'приходи'	hold', 'come'	hold-IMP; come-IMP	musaev2002	69			North Dargwa	Standard Dargwa	language
17	East Caucasian	Dargwa	Chirag	Chirag	language	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	no	Distinction in plural form	kibrikkodzasov1988	29		Maria Starodubtseva	-a (for trans); -e (for intrans); -(a)ja (for pl)			b=alʁ-a; liq-e	режь', 'работай'	cut','work'	cut-IMP; work-IMP	kibrikkodzasov1988	29					
18	East Caucasian	Dargwa	Sanzhi-Itsari	Itsari	dialect_toplevel	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	no	Distinction in plural form	sumbatovamutalov2003	94	Intransitive marker is optionally omitted	Maria Starodubtseva	-a/-al (for trans); -i (for intrans); -aja (for pl)			b=uc-a; w=išː-(i)	holt it', 'sleep'	hold', 'sleep'	hold-IMP; sleep-IMP	sumbatovamutalov2003	94					
19	East Caucasian	Dargwa	Kubachi	Kubachi	language	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	yes	Distinction in plural form	magometov1963	201		Maria Starodubtseva	-a (for trans); -e (for intrans); -(a)ja (for pl)	-a(aː) (for intrans)		baːq-a; wiːq-e; diːq-aː	сделай/сделайте', 'работай', 'работайте'	do', 'work', 'work'	do-IMP; work-IMP.SG; work-IMP.PL	magometov1963	202	applicable for the first conjugation				
20	East Caucasian	Dargwa	Kajtag	Kajtag	language	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	no	Distinction in plural form	temirbulatova2004	173-174		Maria Starodubtseva	-a, -ə(aˤ) (for trans); -i (for intrans)	-j/-aˤ (for trans); -aj/-aaˤ (for intrans) - no connection with transitivity!		bar-a; ulš-i	сделай', 'работай'	do', 'work'	do-IMP; work-IMP	temirbulatova2004	173-174					
21	East Caucasian	Dargwa	Mehweb	Mehweb	language	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	no	Distinction in plural form	danieletal2019	89	distinction in prf	Maria Starodubtseva	-a (for trans); -e (for intrans)			urs-a; uq-e	pound', 'go'	pound', 'go'	pound-IMP; go-IMP	danieletal2019	89					
