id	lang	idiom	type	genlang_point	map	feature	value1_name	value1	source	page	contributor	date
1	Qushan Agul	Burshag	village	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	kibrikkodzasov1990	340--341	Viola Ivanova	2017.05.06
2	Agul	Huppuq'	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	maisakganenkov2016		George Moroz	2021.10.04
3	Northern Akhvakh	Northern Akhvakh	language	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	creisselsdraft2020		George Moroz	2021.10.04
4	Northern Akhvakh	Tad-Magitl'	village	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	kibrikkodzasov1990	322--323	Viola Ivanova	2017.05.06
5	Upper Andi	Andi	village	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	kibrikkodzasov1990	321	George Moroz	2017.05.06
6	Upper Andi	Zilo	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	kayeetaldraft2020		George Moroz	2021.10.04
7	Archi	Archib	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	kibrik1994a	303, 304	George Moroz	2021.10.04
8	Archi	Archib	village	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	kibrikkodzasov1990	335--336	Viola Ivanova	2017.05.06
9	Eastern Armenian	Eastern Armenian	language	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	dum-tragut2009	13	George Moroz	2021.10.04
10	Avar	Chadakolob	village	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	kibrikkodzasov1990	320	Viola Ivanova	2017.05.06
11	Avar	Standard Avar	language	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	alekseevataev1997	36	George Moroz	2021.10.04
12	Azerbaijani	Standard Azerbaijani	language	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	shiralievsevortyan1971	7	George Moroz	2021.10.04
13	Bagvalal	Kvanada	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	kibrik2001	35--46	George Moroz	2021.10.04
14	Bezhta	Bezhta	dialect_toplevel	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	comrieetal2015	42, 41	George Moroz	2021.10.04
15	Bezhta	Tlyadal	village	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	kibrikkodzasov1990	330	Viola Ivanova	2017.05.06
16	Botlikh	Botlikh	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	alexeyevverheesdraft2020		George Moroz	2021.10.04
17	Budukh	Budukh	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	kibrikkodzasov1990	345	George Moroz	2017.05.06
18	Budukh	Budukh	village	no	no	Presence of umlaut vowels	Presence of umlaut vowels	attested	talibov2007	37	George Moroz	2021.10.04
19	Gigatli	Gigatli	language	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	kibrikkodzasov1990	324	George Moroz	2017.05.06
20	Chamalal	Upper Gakvari	dialect_nt1	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	bokarev1949a	13	George Moroz	2021.10.04
21	Chechen	Standard Chechen	language	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	nichols1994	5, 8, 7	George Moroz	2021.10.04
22	Chirag	Chirag	language	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	kibrikkodzasov1990	334	George Moroz	2017.05.06
23	Kajtag	Kajtag	language	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	temirbulatova2004	36	George Moroz	2021.10.04
24	Mehweb	Mehweb	language	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	moroz2019	22--34	George Moroz	2021.10.04
25	Southwestern Dargwa	Tanti	dialect_toplevel	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	sumbatovalander2014	40	George Moroz	2021.10.04
26	Georgian	Standard Georgian	language	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	hewitt1995	21	George Moroz	2021.10.04
27	Godoberi	Godoberi	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	morozetaldraft2021	2	George Moroz	2021.10.04
28	Hinuq	Hinuq	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	forker2013	23, 25--26, 26--27	George Moroz	2021.10.04
29	Hinuq	Hinuq	village	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	kibrikkodzasov1990	329	George Moroz	2017.05.06
30	Hunzib	Hunzib	language	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	isakovxalilov2001	259	George Moroz	2021.10.04
