id	language	idiom	type	genlang_point	map	feature	value1_name	value1	source	page	contributor	date	language_new	idiom_new	type_new
1	Qushan Agul	Burshag	village	yes	yes	Velar fricatives	Velar fricatives	x	kibrikkodzasov1990	340--341	Viola Ivanova	2017.05.06			
2	Agul	Huppuq'	dialect_toplevel	yes	yes	Velar fricatives	Velar fricatives	x, xʲ	maisakganenkov2016		George Moroz	2021.10.04			
3	Northern Akhvakh	Northern Akhvakh	language	yes	yes	Velar fricatives	Velar fricatives	x	creisselsdraft2020		George Moroz	2021.10.04			
4	Northern Akhvakh	Tad-Magitl'	village	no	yes	Velar fricatives	Velar fricatives	x	kibrikkodzasov1990	322--323	Viola Ivanova	2017.05.06			
5	Upper Andi	Zilo	village	no	yes	Velar fricatives	Velar fricatives	xʲ	kayeetaldraft2020		George Moroz	2021.10.04			
6	Upper Andi	Andi	village	yes	yes	Velar fricatives	Velar fricatives	x	kibrikkodzasov1990	321	George Moroz	2017.05.06			
7	Archi	Archi	language	yes	yes	Velar fricatives	Velar fricatives	none	kibrik1994a	300	George Moroz	2021.10.04			
8	Archi	Archi	language	no	yes	Velar fricatives	Velar fricatives	none	kibrikkodzasov1990	335--336	Viola Ivanova	2017.05.06			
9	Eastern Armenian	Eastern Armenian	language	yes	yes	Velar fricatives	Velar fricatives	none	dum-tragut2009	17, 19, 18, 20	George Moroz	2021.10.04			
10	Avar	Standard Avar	language	no	yes	Velar fricatives	Velar fricatives	x	alekseevataev1997	35	George Moroz	2021.10.04			
11	Avar	Chadakolob	village	yes	yes	Velar fricatives	Velar fricatives	x	kibrikkodzasov1990	320	Viola Ivanova	2017.05.06			
12	Azerbaijani	Standard Azerbaijani	language	yes	yes	Velar fricatives	Velar fricatives	xʲ	shiralievsevortyan1971	16--26	George Moroz	2021.10.04			
13	Bagvalal	Kvanada	village	yes	yes	Velar fricatives	Velar fricatives	x	kibrik2001	35--46	George Moroz	2021.10.04			
14	Bezhta	Bezhta	default_level	yes	yes	Velar fricatives	Velar fricatives	none	comrieetal2015	86	George Moroz	2021.10.04			
15	Bezhta	Tlyadal	village	no	yes	Velar fricatives	Velar fricatives	none	kibrikkodzasov1990	330	Viola Ivanova	2017.05.06			
16	Botlikh	Botlikh	village	yes	yes	Velar fricatives	Velar fricatives	x	alexeyevverheesdraft2020		George Moroz	2021.10.04			
17	Budukh	Budukh	language	yes	yes	Velar fricatives	Velar fricatives	ɣ, x	kibrikkodzasov1990	345	George Moroz	2017.05.06			
18	Budukh	Budukh	language	no	no	Velar fricatives	Velar fricatives	x	talibov2007	35	George Moroz	2021.10.04			
19	Chamalal	Upper Gakvari	dialect_toplevel	yes	yes	Velar fricatives	Velar fricatives	x	bokarev1949a	12, 15	George Moroz	2021.10.04			
20	Gigatli	Gigatli	language	yes	yes	Velar fricatives	Velar fricatives	x	kibrikkodzasov1990	324	George Moroz	2017.05.06			
21	Chechen	Standard Chechen	language	yes	yes	Velar fricatives	Velar fricatives	ɣ, x	nichols1994	4	George Moroz	2021.10.04			
22	Chirag	Chirag	language	yes	yes	Velar fricatives	Velar fricatives	x	kibrikkodzasov1990	334	George Moroz	2017.05.06			
23	Mehweb	Mehweb	language	yes	yes	Velar fricatives	Velar fricatives	ɣ, x	moroz2019	22--34	George Moroz	2021.10.04			
24	Southwestern Dargwa	Tanti	dialect_toplevel	yes	yes	Velar fricatives	Velar fricatives	ɣ, x	sumbatovalander2014	40--41	George Moroz	2021.10.04			
25	Kajtag	Kajtag	language	yes	yes	Velar fricatives	Velar fricatives	ɣ, x	temirbulatova2004	39	George Moroz	2021.10.04			
26	Georgian	Standard Georgian	language	yes	yes	Velar fricatives	Velar fricatives	none	hewitt1995	19	George Moroz	2021.10.04			
27	Godoberi	Godoberi	language	yes	yes	Velar fricatives	Velar fricatives	x	morozetaldraft2021	2	George Moroz	2021.10.04			
28	Hinuq	Hinuq	language	yes	yes	Velar fricatives	Velar fricatives	none	forker2013	29	George Moroz	2021.10.04			
29	Hinuq	Hinuq	language	no	yes	Velar fricatives	Velar fricatives	none	kibrikkodzasov1990	329	George Moroz	2017.05.06			
30	Hunzib	Hunzib	language	yes	yes	Velar fricatives	Velar fricatives	x	isakovxalilov2001	260	George Moroz	2021.10.04			
31	Hunzib	Hunzib	language	no	yes	Velar fricatives	Velar fricatives	x	kibrikkodzasov1990	332	George Moroz	2017.05.06			
32	Ingush	Standard Ingush	language	yes	yes	Velar fricatives	Velar fricatives	x	nichols2011	20	George Moroz	2021.10.04			
33	Karata	Karata	dialect_toplevel	yes	yes	Velar fricatives	Velar fricatives	ɣ, x, xʲ	magomedbekova1971	12--18	George Moroz	2021.10.04			
34	Tukita	Tukita	language	yes	yes	Velar fricatives	Velar fricatives	x, xʲ	gadzhieva2007	8	George Moroz	2021.10.04			
35	Khinalug	Khinalug	language	yes	yes	Velar fricatives	Velar fricatives	ɣ, x, xʲ	kibrik1994b	370	George Moroz	2021.10.04			
36	Khinalug	Khinalug	language	no	no	Velar fricatives	Velar fricatives	ɣ, ɣʲ, x, xʲ	kibrikkodzasov1990	346--347	Viola Ivanova	2017.05.06			
37	Khwarshi	Inkhoqwari	dialect_toplevel	yes	yes	Velar fricatives	Velar fricatives	none	kibrikkodzasov1990	327	George Moroz	2017.05.06			
38	Khwarshi	Kvantlada	village	no	yes	Velar fricatives	Velar fricatives	x	khalilova2009	13	George Moroz	2021.10.04			
39	Kryz	Kryz Proper	dialect_toplevel	yes	yes	Velar fricatives	Velar fricatives	ɣ, x	kibrikkodzasov1990	345	Viola Ivanova	2017.05.06			
40	Kryz	Kryz Proper	dialect_toplevel	no	yes	Velar fricatives	Velar fricatives	ɣ, x	saadiev1994	409	George Moroz	2021.10.04			
41	Kumyk	Standard Kumyk	language	yes	yes	Velar fricatives	Velar fricatives	none	abdullaevaetal2014	33--56	George Moroz	2021.10.04			
42	Lak	Khosrekh	village	yes	yes	Velar fricatives	Velar fricatives	x	kibrikkodzasov1990	333	Viola Ivanova	2017.05.06			
43	Lezgian	Standard Lezgian	language	no	yes	Velar fricatives	Velar fricatives	x	gaydarovetal2009	56	George Moroz	2021.10.04			
44	Lezgian	Khlyut	village	yes	yes	Velar fricatives	Velar fricatives	x	kibrikkodzasov1990	341	George Moroz	2017.05.06			
45	Nogai	Standard Nogai	language	yes	yes	Velar fricatives	Velar fricatives	none	baskakov1940	27	George Moroz	2021.10.04			
46	Rutul	Luchek	village	yes	yes	Velar fricatives	Velar fricatives	ɣ, x	alekseev1994	215	George Moroz	2021.10.04			
