id	language	idiom	type	genlang_point	map	feature	value1_name	value1	form1	source	page	comment	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment	contributor	date	check_me
1	Upper Andi	Andi	village	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-sː(u); -č’i	cercvadze1965	363--364	Negation is synthetic but diachronically it seems to originate in constructions of an indicative form with a negative auxiliary. Negation suffix -sː(u) (originates from the negative copula sːu). There is also a negative suffix -č’i (cf. Avar negative copula heč’o). Its use is unclear; judging by the provided examples, it is used in forms with the -gu suffix: “absolute past” (beƛː’i-č’i-gu) and optative (beƛː’i-č’i-gu-lamdur). Prohibitive is expressed by -sːub [maisak_inalco2018: 3].	beṭ·i-sᵊu	beƛː’i-sːu	пахать (аорист)	plowed	plow.AOR-NEG	cercvadze1965	364		Maksim Melenchenko	2024-07-09T00:00:00Z	
2	Upper Andi	Rikvani	village	no	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-sːu	suleymanov1957	381--382	Negation suffix -s:u is added to the positive verb form. In the future tense, it is inserted before the tense marker (’Алйо ден гьакъдо-сс-йа ‘Ali will not see me’). This suffix is also used as a negative copula. Prohibitives as in Andi [maisak_inalco2018: 3].	’Алйо ден гьакъгъо-ссу	ʔaljo den haq’ʁo-sːu	Али меня не увидел	Ali did not see me	Ali me see.PST-NEG	suleymanov1957	382		Maksim Melenchenko	2024-07-09T00:00:00Z	
3	Upper Andi	Gagatli	village	no	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-sː(u); -č’i	salimov2010	207--208	Negation is synthetic but diachronically it seems to originate in constructions of an indicative form with a negative auxiliary. Negation suffix -sː(u) (originates from the negative copula sːu). There is also a negative suffix -č’i. Its use is unclear; judging by the provided examples, it is used in forms with the -gu suffix: past converb (вукъи-чӏи-гу) and optative (вукъи-чӏи-гу-бдур-ламдур). No information on prohibitives.	в-у-къ-и-ссу	w-u-ƛː’-i-sːu	не резать (прошедшее I)	did not cut	I-SG-cut-PST1-NEG	salimov2010	207		Maksim Melenchenko	2024-07-09T00:00:00Z	
4	Upper Andi	Zilo	village	no	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-sː(u); -č’i	kayeetaldraft2020	23	“Negation is marked on the verb with a regular agglutinating suffix -sːu, which is attached after the tense suffix but precedes the suffixes used to form the past participle and the masdar. The suffix -sːu is homophonous with the negative copula, and the negative copula when used independently means ‘no’. The future is negated with a contracted form -sːa (* < -sːu-ja), where negation seemingly preceded tense marking. <…> The converb or perfect is negated with the portmanteau suffix -čʼigu. This compound most likely originates in a negative element -čʼi- and a converb suffix -gu, based on the fact that in the Lower dialects, the compound remains agglutinative. -ǯi-lo. In Zilo and other Upper dialects, -čʼigu can no longer be separated and neither element appears with the meaning it presumably had (negation or converb) in any other context (see Verhees (2019) for a more detailed discussion of the diachrony of -č'igu).” The prohibitive marker is formed upon the future imperative through the prefixation of the negation marker sːu- reduced to s- (arχ-inn-e-s-qo ‘don't open’) [22].	ruƛi-rado-sːu			is saying	say-PROG-NEG	kayeetaldraft2020	23		Maksim Melenchenko	2024-07-09T00:00:00Z	
5	Bagvalal	Kvanada	village	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-č’(i); -č’e; -č‘i-ra‹CM›o	kibrik2001	81, 112	Negation suffix -č’(i). There is also negative future suffix -č’e, which is eviedntly a cognate. There is also a negative converb form: -č‘i-ra‹b›o. Prohibitive is a separate suffix -s̄e [326]. In analytic forms, either the lexical verb or the auxiliary can contain the negative marker. For example (future converb): hec’i-bi-č’-a-ɬi-X b=uk’a — hec’-a-ɬi-X b=uk’a-č’i [112].	ašti-č’i		listen (PST.NEG)	did not listen	listen.PST-NEG	kibrik2001	81		Maksim Melenchenko	2024-07-09T00:00:00Z	
6	Botlikh	Botlikh	village	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-č’; -č’a; -(w)č’i; -wč’a; -č’o; -č’ada	alexeyevverheesdraft2020	16--20	Negation suffixes: -č’, -č’a, -(w)č’i and -wč’a used in finite tenses, -č’o and -č’ada used in non-finite participles. “The majority of negative forms are also based on what seems to be the infinitive”. In periphrastic tenses, “negation is expressed with a negative auxiliary or a negative form of the lexical verb”. “Prohibitives are formed with the suffix -abas i ːi for both transitives and intransitives, for example q ard-abas i wa ːi ‘don’t write!’, w-i -abas i ʁ- ːi ‘don't stay!’ (addressing a male). The jussive or third person imperative (“Let X do Y”) is expressed by attaching a particle la (meaning “let”) to the imperative or prohibitive” [18].	ih-i-č’a			didn't do	do-IS-NEG	alexeyevverheesdraft2020	16		Maksim Melenchenko	2024-07-09T00:00:00Z	
7	Chamalal	Standard Chamalal	language	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-eɬ; -ida; -iː	bokarev1949a	90--91	Suffixes -eɬ (past tense), -ida (past converbs), -ī (indefinite future). In periphrastic tenses: in tenses with the copula ida, it is replaced by the negative copula ik‘ʷ; in tenses with the auxiliary buk‘(e)-, suffix -eɬ is attached to this auxiliary. Prohibitive suffix is different: -qala [94–95].	етелъ	et-eɬ	[человек] не летал	the man didn't fly	fly-NEG	bokarev1949a	91		Maksim Melenchenko	2024-07-09T00:00:00Z	
8	Godoberi	Godoberi	village	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-iči; -ič’(i); -aːč’i; -eːči; -oːči; -čːi	kibriketal1996	45--46, 69--72	Suffixes -iči, -ič’(i), -aːč’i, -eːči, -oːči, and -č̄i is attached to all synthetic forms. In analytic forms, either a negative copula-enclitic (iw)uči is used with a positive form of the lexical verb, or a positive copula with negation on the lexical verb [69–72]. Prohibitive suffix -áːč’i is considered to be problematic since it is phonetically similar to the negation suffix but is treated as unrelatable [49].	ãːwX-íči	ãːwχ-iči	boil (INTR, simple past)	did not boil	boil-NEG	kibriketal1996	48		Maksim Melenchenko	2024-07-09T00:00:00Z	
9	Karata-Tukita	Karata	dialect_toplevel	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-č’e; -i-bič’e; -b-ar	magomedbekova1971	147--153	Negation suffixes: -č’e is used with synthetic present and past, -i-bič’e with future, -b-ar with conditional participles. In present progressive, the auxiliary ida is replaced by a negative auxiliary hač’e. Prohibitive suffix is -i-bis:e.	behida-č̣e	behida-č’e	не берёт	does not take	take.PRS-NEG	magomedbekova1971	147		Maksim Melenchenko	2024-07-09T00:00:00Z	
10	Tukita	Tukita	language	no	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-e-č’i; -č’e/č’i; -bač’i; -n	magomedbekova1971	147--153	Negation suffixes: -e-č’i is used with synthetic present, -č’e/č’i with synthetic past, -bač’i with future, -n with conditional participles. In present progressive, the auxiliary ida is replaced by a negative auxiliary hač’i. Prohibitive suffix is -a-s:ibi.	bihid-e-č̣i	bihid-eč’i	не берёт	does not take	take.PRS-NEG	magomedbekova1971	149		Maksim Melenchenko	2024-07-09T00:00:00Z	
