id	language	idiom	type	genlang_point	map	feature	value1_name	value1	value2_name	value2	source	page	contributor	date	language_new	idiom_new	type_new
1	Qushan Agul	Burshag	village	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	three-way	Contents of the contrast	C-Cː-Cʼ	kibrikkodzasov1990	340--341	Viola Ivanova	2017.05.06			
2	Agul	Huppuq'	dialect_toplevel	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	three-way	Contents of the contrast	C-Cː-Cʼ	maisakganenkov2016		George Moroz	2021.10.04			
3	Northern Akhvakh	Northern Akhvakh	language	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	four-way	Contents of the contrast	C-Cː-Cʼ-Cʼː	creisselsdraft2020		George Moroz	2021.10.04			
4	Northern Akhvakh	Tad-Magitl'	village	no	yes	Number of contrasts in voiceless obstruents	Type of the contrast	four-way	Contents of the contrast	C-Cː-Cʼ-Cʼː	kibrikkodzasov1990	322--323	Viola Ivanova	2017.05.06			
5	Upper Andi	Andi	village	no	yes	Number of contrasts in voiceless obstruents	Type of the contrast	four-way	Contents of the contrast	C-Cː-Cʼ-Cʼː	kibrikkodzasov1990	321	George Moroz	2017.05.06			
6	Upper Andi	Zilo	village	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	four-way	Contents of the contrast	C-Cː-Cʼ-Cʼː	kayeetaldraft2020		George Moroz	2021.10.04			
7	Archi	Archi	language	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	three-way	Contents of the contrast	C-Cː-Cʼ	kibrik1994a	300	George Moroz	2021.10.04			
8	Archi	Archi	language	no	yes	Number of contrasts in voiceless obstruents	Type of the contrast	three-way	Contents of the contrast	C-Cː-Cʼ	kibrikkodzasov1990	335--336	Viola Ivanova	2017.05.06			
9	Eastern Armenian	Eastern Armenian	language	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʰ	dum-tragut2009	17	George Moroz	2021.10.04			
10	Avar	Chadakolob	village	no	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʼ	kibrikkodzasov1990	320	Viola Ivanova	2017.05.06			
11	Avar	Standard Avar	language	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	four-way	Contents of the contrast	C-Cː-Cʼ-Cʼː	alekseevataev1997	35	George Moroz	2021.10.04			
12	Azerbaijani	Standard Azerbaijani	language	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	one-way	Contents of the contrast	C	shiralievsevortyan1971	16--26	George Moroz	2021.10.04			
13	Bagvalal	Kvanada	village	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʼ	kibrik2001	35--46	George Moroz	2021.10.04			
14	Bezhta	Bezhta	default_level	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʼ	comrieetal2015	86	George Moroz	2021.10.04			
15	Bezhta	Tlyadal	village	no	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʼ	kibrikkodzasov1990	330	Viola Ivanova	2017.05.06			
16	Botlikh	Botlikh	village	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	four-way	Contents of the contrast	C-Cː-Cʼ-Cʼː	alexeyevverheesdraft2020		George Moroz	2021.10.04			
17	Budukh	Budukh	language	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʼ	kibrikkodzasov1990	345	George Moroz	2017.05.06			
18	Budukh	Budukh	language	no	no	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʼ	talibov2007	35	George Moroz	2021.10.04			
19	Gigatli	Gigatli	language	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʼ	kibrikkodzasov1990	324	George Moroz	2017.05.06			
20	Chamalal	Upper Gakvari	dialect_toplevel	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	three-way	Contents of the contrast	C-Cʼ-Cʼː	bokarev1949a	12	George Moroz	2021.10.04			
