id	family	group	language	idiom	type	genlang_point	map	feature	form	root	transcription	meaning word 1	meaning word 2	translation	do_verb	work_noun	value1	value1_name	example	source	page	comment	same_root_noun	contributor	example_as_in_source	grammar (from dictionary)	gloss	translation_as_in_source	example_source	example_page	example_comment	date	language_new	idiom_new	type_new
1	East Caucasian	Lezgic	Agul	Agul	language	yes	yes	Expression of the sense ‘to work’	лих-'ас		liχas				акь'ас	лих'ун	dedicated_verb	Expression of the sense 'to work'		ramazanov2010	444, 62		yes	Konstantin Filatov, Svetlana Zemicheva		1 спр., страд, з. а		работать в знач. а) трудиться над чем-л.’, станокдил ~ ас работать у станка; б) находиться в действии, в работе; магазин яг1а ~ ая магазин сегодня работает; в) заниматься чем-л., применяя свой труд, тратя свои силы; малар ух1ай ~ ая работаем содержа (для содержания) скот; китабил ~ ая работает над книгой; г) иметь постоянное занятие, служебную должность; арт1истди ~ ая работает артистом (срв. кар акьас, зегьмат дивас).				5.2025			
2	East Caucasian	Andic	Northern Akhvakh	Northern Akhvakh	language	yes	yes	Expression of the sense ‘to work’	б-ешахъу-рулъӀа		bešaquruɬa				гурулъӀа	кукъи, иши	dedicated_verb	Expression of the sense 'to work'		magomedovaabdulaeva2007	594, 524	https://ids.clld.org/valuesets/9-120-33		Konstantin Filatov, Svetlana Zemicheva								5.2025			
3	East Caucasian	Andic	Upper Andi	Andi	village	yes	yes	Expression of the sense ‘to work’	гьалтӀунну		halt'unnu			work-INF	иду	гьалтӀи	dedicated_verb	Expression of the sense 'to work'		alisultanova2009	185		yes	Konstantin Filatov, Svetlana Zemicheva								5.2025			
4	East Caucasian	Lezgic	Archi	Archi	language	yes	yes	Expression of the sense ‘to work’	irx˚mus		irχʷmus				as	arӀ, goah	dedicated_verb	Expression of the sense 'to work'		kibrik1977dict	378			Konstantin Filatov, Svetlana Zemicheva								5.2025			
5	Indo-European	Armenic	Eastern Armenian	Eastern Armenian	language	yes	yes	Expression of the sense ‘to work’	աշխատել		ašxat-el				անել [anel]	աշխատանք [aškhatank’]	dedicated_verb	Expression of the sense 'to work'		dum-tragut2009	103, 133	в biblib так	yes	Konstantin Filatov, Svetlana Zemicheva								5.2025			
6	East Caucasian	Avar	Avar	Standard Avar	language	yes	yes	Expression of the sense ‘to work’	xӀaлтӀизе		ħaltʼize				гьабизе	хlалтlи, хъулухъ	dedicated_verb	Expression of the sense 'to work'		saidova2008	372, 465		yes	Konstantin Filatov, Svetlana Zemicheva								5.2025			
7	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	yes	yes	Expression of the sense ‘to work’	işləmək		išlämäk				etmäk	Ӏş, işləmə	dedicated_verb	Expression of the sense 'to work'		tagiyev2006b	612	v. 2 (E-K)	yes	Konstantin Filatov, Svetlana Zemicheva								5.2025			
8	East Caucasian	Andic	Bagvalal	Kvanada	village	yes	yes	Expression of the sense ‘to work’	хӀалтӀидила		ħaltʼidila				джйла	хӀалтӀи	dedicated_verb	Expression of the sense 'to work'		magomedova2004	373		yes	Konstantin Filatov, Svetlana Zemicheva								5.2025			
9	East Caucasian	Tsezic	Bezhta	Bezhta	village	yes	yes	Expression of the sense ‘to work’	гьаьлтӀи йовал		hältʼi jowal	1) работа, труд; 2) деятельность, дело;	1) делать; производить 2) рожать	work do	йовал	гьаьлтӀи,  гьаьлтӀипиша, йогьдалъи, хъуллухъ, иш,	light_verb_constr	Expression of the sense 'to work'		xalilov2015	140			Konstantin Filatov, Svetlana Zemicheva		гьаьлтӀи бовал, гьаьлтӀизи йахъал, гьаьлтӀи-пиша бовал, йогьдал						5.2025			
10	East Caucasian	Andic	Botlikh	Botlikh	village	yes	yes	Expression of the sense ‘to work’	игьа-лъи		ihaɬi				игьи	мухуӀ, хӀалтӀи-пиша	same_root_do	Expression of the sense 'to work'		saidovaabusov2012	499			Konstantin Filatov, Svetlana Zemicheva		игь/и = делать. Есть какая-то диахроническая связь? лъи суф.инф. для особ. случаев - производн. гл.						5.2025			
11	East Caucasian	Lezgic	Budukh	Budukh	language	yes	yes	Expression of the sense ‘to work’	кыда сиъи		kɨda siʔi	дело, работа	делать	work do	сиъи	кыда	light_verb_constr	Expression of the sense 'to work'		mejlanova1984	80, 236			Konstantin Filatov, Svetlana Zemicheva								5.2025			
12	East Caucasian	Andic	Chamalal	Lower Gakvari	dialect_toplevel	no	yes	Expression of the sense ‘to work’	xӀалтӀйла		ħaltʼjla				игьла	хӀалтӀи	dedicated_verb	Expression of the sense 'to work'		magomedova1999	283		yes	Konstantin Filatov, Svetlana Zemicheva								5.2025			
13	East Caucasian	Andic	Gigatli	Gigatli	language	yes	yes	Expression of the sense ‘to work’	хӀалтӀила		ħaltʼjla				игьла	михи	dedicated_verb	Expression of the sense 'to work'		bokarev1949a	162			Konstantin Filatov, Svetlana Zemicheva								5.2025			
14	East Caucasian	Andic	Chamalal	Upper Gakvari	dialect_toplevel	yes	yes	Expression of the sense ‘to work’	хӀалтӀила		ħaltʼjla				игьла	хӀалтӀи	dedicated_verb	Expression of the sense 'to work'		bokarev1949a	162		yes	Konstantin Filatov, Svetlana Zemicheva								5.2025			
15	East Caucasian	Nakh	Chechen	Standard Chechen	language	yes	yes	Expression of the sense ‘to work’	болх бан		bolh ban	работа, дело			дан	болх	light_verb_constr	Expression of the sense 'to work'		karasaevmaciev1978	500	скан словаря неполный https://chechen-republic.ru/		Konstantin Filatov, Svetlana Zemicheva								5.2025			
16	East Caucasian	Dargwa	North Dargwa	Standard Dargwa	language	yes	yes	Expression of the sense ‘to work’	бир-ес		bires				бир-ес	баркь	colexified_with_do	Expression of the sense 'to work'		yusupov2014	159	second meaning of  ""to do"" verb		Konstantin Filatov, Svetlana Zemicheva		-у, -ули, -уси, - ен(-ена/я), -ахъес, -ни;несов.		1) делать, изготовлять; создавать;станокуни дирес изготовлять станки; 2) делать, работать, поделывать, строить;~уси хIянчи род занятий;~уси агарли не у дел;				5.2025	North Dargwa	Standard Dargwa	language
17	East Caucasian	Dargwa	North Dargwa	Standard Dargwa	language	no	no	Expression of the sense ‘to work’	буз-ес		buzes				бир-ес	бузери хӀянчи	dedicated_verb	Expression of the sense 'to work'		yusupov2014	170	https://ids.clld.org/valuesets/9-120-57	yes	Konstantin Filatov, Svetlana Zemicheva		-ар, -ули, -уси, -ен(-ена/я), -ахъес, -ни; [уз-ес, руз-ес;дуз-ес]						5.2025	North Dargwa	Standard Dargwa	language
18	East Caucasian	Dargwa	Sanzhi-Itsari	Itsari	dialect_toplevel	yes	yes	Expression of the sense ‘to work’	ucː-ar-aj	ucː-					баркь-уй	гӀячи	dedicated_verb	Expression of the sense 'to work'	uc̄-a-t̄a (M)work:IPF-PRG-1	sumbatovamutalov2003	215	https://ids.clld.org/contributions/58		Konstantin Filatov, Svetlana Zemicheva								5.2025			
