id	family	group	language	idiom	type	genlang_point	map	feature	value1	value1_name	postpositional phrase	non-dedicated	source	page	comment	contributor	form	example_as_in_source	example	gloss	translation_as_in_source	translation	example_source	example_page	example_comment	date
1	East Caucasian	Lezgic	Agul	Huppuq'	village	yes	yes	path encoding	non-dedicated case	Path Encoding		elative	magometov1970	83	-di has a limited translative meaning, but elative seems to be a more consistent and common way of expressing translative	Vasiliy Zerzele	-di	https://drive.google.com/file/d/1tClWp4HBot3i-wqMww6X1qs_EVncEI2w/view?usp=drive_link	zun ruq’-ar.i-k-es kejč’w.a-jdi qːadaq e p.u-ne	1SG iron-PL-CONT-ELAT {CONT}get.out.IPF-PT:HAB nail COP speak.PF-AOR	Сказал: “Я — гвоздь, который проходит сквозь железо”	"""I am the nail, that goes through the iron"" - he said"	maisak2014	217		
2	East Caucasian	Andic	Northern Akhvakh	Northern Akhvakh	language	yes	yes	path encoding	dedicated case	Path Encoding			magomedbekova1967	61-65		Vasiliy Zerzele	-une	https://drive.google.com/file/d/1LSROlWEHfCKSbpVKg-dDDlZgiE6H-0ig/view?usp=drive_link	bidiri-g-u-ne	bucket-EL-TRANSL	через ведро	through the bucket	magomedbekova1967	62		
3	East Caucasian	Andic	Upper Andi	Rikvani	village	yes	yes	path encoding	non-dedicated case	Path Encoding		ablative	suleymanov1957	240		Vasiliy Zerzele	-ku	https://drive.google.com/file/d/1LZ_1vQFp9v_w4wu-3RCAH0oaVFOVz2kX/view?usp=drive_link	išːil ɬ:ens:otɬː-k:u hal:i-qχːa voxon	1PL river-ABL difficult-ADV cross	мы перешли через речку с трудом	we went through a river with difficulty	suleymanov1957	416		
4	East Caucasian	Lezgic	Archi	Archib	village	yes	yes	path encoding	dedicated case	Path Encoding			kibrik1977	60	II	Vasiliy Zerzele	-xutt/-xut	https://drive.google.com/file/d/1JmKX_n3EGB6vQbP7POMBkBOh1FGI47d8/view?usp=drive_link	deˁƛ’ː-litt-ixut	road-ERG-TRANSL	через дорогу	through the road	mikailov1967	60		
5	Indo-European	Armenic	Eastern Armenian	Eastern Armenian	language	yes	yes	path encoding	non-dedicated case	Path Encoding		instrumental	dum-tragut2009	91	Armenian uses instrumental instead of a dedicated cases, yet as seen from the example the use is clearly translative	Vasiliy Zerzele	-ov	https://drive.google.com/file/d/1zRCfF9xlrUSeq80bTwTCQwdFxBk-Aw_r/view?usp=drive_link	Get-ov anc’n-el t’e kamurj-ov gn-al?	river-INST pass-INF or bridge-INST go-INF	(Shall we) pass the river or go over the bridge?	(Shall we) pass the river or go over the bridge?	dum-tragut2009	91		
6	East Caucasian	Avar	Avar	Standard Avar	language	yes	yes	path encoding	dedicated case	Path Encoding			forkerdraft2020	6		Vasiliy Zerzele	-an/-san	https://drive.google.com/file/d/1AsIRnDY_FDX5Dkm-JlSLGmLlVN0w5zn9/view?usp=drive_link	salu-ɬ-an	sand-INTER-TRANSL	через (внутри) песок	through the sand	alekseevetal2012	164		
7	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	yes	yes	path encoding	adposition	Path Encoding	no specific case		shiralievsevortyan1971	43-44		Vasiliy Zerzele	arasından	https://drive.google.com/file/d/1pX-F-3Lz2UzXT73EWL5COvXsPNv66iQp/view?usp=drive_link	duman arasından	fog through	сквозь туман	through the fog	tagiyev2006a	856	тут ссылка на duman, но ни в одном оффлайн словаре у меня не получилось найти arasından (может он там и есть, но все доступные мне словари азербайджанско-русские с битым сканом). Это лучшее, что я могу пока предложить.	
8	East Caucasian	Andic	Bagvalal	Kvanada	village	yes	yes	path encoding	dedicated case	Path Encoding			kibrik2001	143	Irregular and seemingly on its way out. But it exists!	Vasiliy Zerzele	-ssini	https://drive.google.com/file/d/1-6vii0irCMyhS0LDmDBrkyyrbAnFfSqx/view?usp=drive_link	hinda-dala a=b miq'-a-la-s̄ini w=uk'-ur-ō=w w=el-ā-χ	when-INDEF this=N road-OBL-SUP-TRANS M=be-IPF-PART=M M=go-IPF-CONV	(Я) постоянно езжу по этой дороге.	I always go by this road	kibrik2001	143		
9	East Caucasian	Tsezic	Bezhta	Bezhta	village	yes	yes	path encoding	dedicated case	Path Encoding			comrieetal2015	260		Vasiliy Zerzele	-latɬ’ā	https://drive.google.com/file/d/11-b-6MC9u2f1KYHJMUYHf1cOpdpXmtbr/view?usp=drive_link	wan-a-hoj-latɬ’ā	forest-a-CUM-TRANSL	через лес, по лесу	through the forest	comrieetal2015	133		
10	East Caucasian	Andic	Botlikh	Botlikh	village	yes	yes	path encoding	dedicated case	Path Encoding			alexeyevverheesdraft2020	10	historically translative marker is also used as elative	Vasiliy Zerzele	-ku	https://drive.google.com/file/d/1Z2XwVI7e-2mm05DR19OgP88DwBPXJaJp/view?usp=drive_link	ʁada-ɬːu-ku nai	go-INESS-TRANSL go.PL	идти через ущелье	to go through a ravine	saidovaabusov2012	127		
