id	village	rus_village	lat	lon	lang	aff	family	standard	default_level	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltc_lang	lang_col	aff_col	dataset_version
1	Abaəli	Абалы	41.60501	46.54	Avar	Avar-Andic	East Caucasian		Avar	Southern Avar	Южноаварский	Zaqatala	закатальский	Car	джарский			Abaəli	avar1256	#009999	#009999	2025-03-20
2	Agada	Агада	42.413046	46.840817	Avar	Avar-Andic	East Caucasian		Avar	Kuyada-Salta	Куяда-салтинское	Kuyada	куядинский					Agada	avar1256	#009999	#009999	2025-03-20
3	Aymaki	Аймаки	42.5342	47.1383	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	North-Eastern Avar	северовосточноаварский	Gergebil	гергебильский	Aymaki	avar1256	#009999	#009999	2025-03-20
4	Akaytala	Акайтала	43.03176	46.92583	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Salataw	салатавский			Akaytala	avar1256	#009999	#009999	2025-03-20
5	Akaro	Акаро	43.352007	46.977198	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Akaro	avar1256	#009999	#009999	2025-03-20
6	Akushali	Акушали	42.4992	46.9504	Avar	Avar-Andic	East Caucasian		Avar	Kuyada-Salta	Куяда-салтинское	Kudali-Salta	кудали-салтинский					Akushali	avar1256	#009999	#009999	2025-03-20
7	Ala	Ала	42.415472	46.837085	Avar	Avar-Andic	East Caucasian		Avar	Kuyada-Salta	Куяда-салтинское	Kuyada	куядинский					Ala	avar1256	#009999	#009999	2025-03-20
8	Alak	Алак	42.6092	46.1972	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Unqratl	ункратльский			Alak	avar1256	#009999	#009999	2025-03-20
9	Albaniya	Албания	42.2863	46.3985	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Tash	ташский			Albaniya	avar1256	#009999	#009999	2025-03-20
10	Almak	Алмак	42.985693	46.580315	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Salataw	салатавский			Almak	avar1256	#009999	#009999	2025-03-20
11	Amishta	Амишта	42.62967	46.552971	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Amishta	avar1256	#009999	#009999	2025-03-20
12	Amuarib	Амуариб	42.40959	46.847611	Avar	Avar-Andic	East Caucasian		Avar	Kuyada-Salta	Куяда-салтинское	Kuyada	куядинский					Amuarib	avar1256	#009999	#009999	2025-03-20
13	Amushchi Bolshoe	Амущи Большое	42.63752	46.4864	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Amushchi Bolshoe	avar1256	#009999	#009999	2025-03-20
14	Amushchi Maloe	Амущи Малое	42.650445	46.487815	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Amushchi Maloe	avar1256	#009999	#009999	2025-03-20
15	Anada	Анада	42.17306	46.36917	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Tash	ташский			Anada	avar1256	#009999	#009999	2025-03-20
16	Andykh	Андых	42.5119	46.5939	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Andykh	avar1256	#009999	#009999	2025-03-20
17	Ansalta	Ансалта	42.6939	46.1147	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Unqratl	ункратльский			Ansalta	avar1256	#009999	#009999	2025-03-20
18	Ankhvala	Анхвала	43.6555637	46.903205	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Unqratl	ункратльский			Ankhvala	avar1256	#009999	#009999	2025-03-20
19	Antsukh	Анцух	42.1903743	46.3374704	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Antsuq	анцухский			Antsukh	avar1256	#009999	#009999	2025-03-20
20	Apshi	Апши	42.6094	47.1742	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	North-Eastern Avar	северовосточноаварский	Gergebil	гергебильский	Apshi	avar1256	#009999	#009999	2025-03-20
21	Arada	Арада	43.309578	47.151493	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Arada	avar1256	#009999	#009999	2025-03-20
22	Arakani	Аракани	42.6088986	46.9905431	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	North-Eastern Avar	северовосточноаварский	Gergebil	гергебильский	Arakani	avar1256	#009999	#009999	2025-03-20
23	Arani	Арани	42.5556	46.7225	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Arani	avar1256	#009999	#009999	2025-03-20
24	Argvani	Аргвани	42.8128	46.5792	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Salataw	салатавский			Argvani	avar1256	#009999	#009999	2025-03-20
25	Arkas	Аркас	42.65194	47.13833	Avar	Avar-Andic	East Caucasian		Avar	Kuyada-Salta	Куяда-салтинское	Kudali-Salta	кудали-салтинский					Arkas	avar1256	#009999	#009999	2025-03-20
26	Arkida	Аркида	43.2063305	47.0597971	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Arkida	avar1256	#009999	#009999	2025-03-20
27	Artlukh	Артлух	42.8631	46.6683	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Salataw	салатавский			Artlukh	avar1256	#009999	#009999	2025-03-20
28	Arkhida	Архида	43.4301147	46.7866756	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Arkhida	avar1256	#009999	#009999	2025-03-20
29	Arykhkent	Арыхкент	42.6440814	47.1824899	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	North-Eastern Avar	северовосточноаварский	Gergebil	гергебильский	Arykhkent	avar1256	#009999	#009999	2025-03-20
30	Assab	Ассаб	42.471596	46.492475	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Baqluq	батлухский	Assab	ассабский			Assab	avar1256	#009999	#009999	2025-03-20
31	Ashabil-Kuli	Асхабиль-Кули	42.409844	46.854478	Avar	Avar-Andic	East Caucasian		Avar	Kuyada-Salta	Куяда-салтинское	Kuyada	куядинский					Ashabil-Kuli	avar1256	#009999	#009999	2025-03-20
32	Akhalchi	Ахалчи	42.594957	46.631744	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Akhalchi	avar1256	#009999	#009999	2025-03-20
33	Akhkent	Ахкент	42.57353	47.18488	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	North-Eastern Avar	северовосточноаварский	Gergebil	гергебильский	Akhkent	avar1256	#009999	#009999	2025-03-20
34	Akhsu	Ахсу	42.923767	46.693999	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Salataw	салатавский			Akhsu	avar1256	#009999	#009999	2025-03-20
35	Akhtachikan	Ахтачикан	42.8619399	46.6693801	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Salataw	салатавский			Akhtachikan	avar1256	#009999	#009999	2025-03-20
