source_type	category	bibtexkey	language	idiom	type	comment	screenshot	archived	contributor	comment_CN	checked
dictionary	book	abdullaev1950	Dargwa	Standard Dargwa	language		no	yes	Polina Smyr		Y
grammar	book	abdullaev1954	Dargwa	Akusha	dialect_nt1		yes	yes			Y
grammar	book	abdullaevaetal2014	Kumyk	Standard Kumyk	language		yes	yes			Y
other	misc	abdulmutalibov2005	Lezgian	Standard Lezgian	language		no	no	Chiara Naccarato		Y
grammar	incollection	alekseev1994	Rutul	Luchek	village		yes	yes			Y
grammar	incollection	alekseev1998	Andi	Andi	language		no	alekseevetal1998	Chiara Naccarato		Y
other	incollection	alekseev2016	Rutul	Rutul	language	idiom not specified	no	no			Y
grammar	book	alekseevataev1997	Avar	Standard Avar	language		no	yes	Chiara Naccarato		Y
grammar	book	alekseevetal2008	Udi	Nizh	village		no	yes			Y
grammar	book	alekseevetal2012	Avar	Standard Avar	language	Does not explicitly state on which variety of Avar the publication is based.	no	yes			Y
grammar	book	alekseevshixalieva2003	Tabasaran	Standard Tabasaran	language	Does not explicitly state on which variety of Tabasaran the publication is based.	no	yes			Y
other	incollection	alekseyev2016	Botlikh	Botlikh	village		no	yes			Y
grammar	unpublished	alexeyevverheesdraft2020	Botlikh	Botlikh	village		no	no			Y
other	phdthesis	alisultanova2009	Andi	Andi	village		yes	yes			Y
dictionary	book	alisultanovsulejmanova2019	Rutul	Standard Rutul	language	with notes on dialects	no	yes	Chiara Naccarato		Y
grammar	book	authier2009	Kryz	Alik	village		yes	yes			Y
other	article	authier2010	Kryz	Alik	village		no	yes			Y
grammar	book	authier2012	Tat	Judeo-Tat	dialect_toplevel	Not sure about the dialect of Judeo-Tat described in the source.	no	yes			Y
grammar	unpublished	authierdraft2020	Tindi	Tindi	village		yes	yes			Y
other	incollection	authierhaciyev2016	Budukh	Budukh	village		no	no		check type	Y
other	book	azaev1974	Botlikh	Botlikh	village		no	yes			Y
grammar	incollection	azaev2000	Botlikh	Botlikh	village		no	yes			Y
grammar	phdthesis	babaliyeva2013	Tabasaran	Standard Tabasaran	language	with notes on Northern dialect	no	yes			
grammar	book	baskakov1940	Nogai	Ak-Nogai	dialect_toplevel	I think in Dagestan Kara-Nogai is spoken	yes	yes		Ak-Nogai is not in the village dataset	Y
grammar	book	baskakov1940	Nogai	Kara-Nogai	dialect_toplevel		yes	yes			Y
grammar	book	baskakov1940	Nogai	Standard Nogai	language		yes	yes			Y
grammar	incollection	baskakov1996	Nogai	Standard Nogai	language		no	no		check idiom and type	Y
other	incollection	belyaev2018	Dargwa	Akusha	dialect_nt1		no	yes			Y
other	incollection	belyaev2018	Dargwa	Ashty	dialect_nt2		no	yes			Y
other	incollection	belyaev2018	Dargwa	Itsari	village		no	yes			Y
other	incollection	belyaev2018	Dargwa	Kaitag	dialect_toplevel		no	yes			Y
other	incollection	belyaev2018	Dargwa	Kubachi	dialect_nt2		no	yes			Y
other	incollection	belyaev2018	Dargwa	Shiri	village		no	yes			Y
other	incollection	belyaev2018	Dargwa	Tanty	village		no	yes			Y
other	incollection	boeder2000	Georgian	Standard Georgian	language		no	yes	Samira Verhees		Y
grammar	book	bokarev1949a	Chamalal	Gadyri	dialect_toplevel		yes	yes			Y
grammar	book	bokarev1949a	Chamalal	Gigatli	dialect_toplevel		yes	yes			Y
grammar	book	bokarev1949a	Chamalal	Upper Gakvari	village		yes	yes			Y
other	book	bokarev1949b	Avar	Standard Avar	language		no	yes			Y
grammar	book	bokarev1959tsez	Tsez	Kidero	dialect_nt1		yes	yes			Y
grammar	book	cercvadze1965	Andi	Andi	village		no	yes			Y
grammar	book	cercvadze1965	Andi	Ashali	village		no	yes			Y
grammar	book	cercvadze1965	Andi	Chanko	village		no	yes			Y
grammar	book	cercvadze1965	Andi	Gagatli	village		no	yes			Y
grammar	book	cercvadze1965	Andi	Kwankhidatli	village		no	yes			Y
grammar	book	cercvadze1965	Andi	Muni	village		no	yes			Y
