CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	DATE_ADDED	COMMENT	correction_notes
incollection	bakker2013	Bakker, Dik	Person marking on adpositions	2013	NA	Max Planck Institute for Evolutionary Anthropology	Leipzig	NA	The World Atlas of Language Structures Online	NA	Dryer, Matthew S. and Haspelmath, Martin	NA	NA	NA	NA	NA	http://wals.info/chapter/48	NA	NA	NA	not to be added to biblib
incollection	bondchumakina2016	Bond, Oliver and Chumakina, Marina	Agreement domains and targets	2016	NA	Oxford University Press	Oxford	43–76	Archi: Complexities of agreement in cross-theoretical perspective	NA	Bond, Oliver, Corbett, Greville G., Chumakina, Marina and Brown, Dunstan	NA	NA	NA	NA	NA	NA	NA	NA	NA	not to be added to biblib
article	creissels2009	Creissels, Denis	Uncommon patterns of core term marking and case terminology	2009	NA	NA	NA	445–459	NA	NA	NA	Lingua	119	3	NA	NA	NA	NA	NA	NA	not to be added to biblib
incollection	dalessandro2020	D'Alessandro, Roberta	Agreement across the board: Topic agreement in Ripano	2020	NA	Language Science Press	Berlin	235–270	Agree to Agree: Agreement in the Minimalist Programme	NA	Smith, Peter W. and Mursell, Johannes and Hartmann, Katharina	NA	NA	NA	NA	NA	DOI:10.5281/zenodo.3541757	NA	NA	NA	not to be added to biblib
article	dalessandro2017	D'Alessandro, Roberta	When you have too many features: Auxiliaries, agreement and clitics in Italian varieties	2017	NA	NA	NA	Article 50	NA	NA	NA	Glossa: a journal of general linguistics	2	1	NA	NA	https://doi.org/10.5334/gjgl.102	NA	NA	NA	not to be added to biblib
incollection	danielganenkov2009	Daniel, Michael and Ganenkov, Dmitry	Case marking in Daghestanian	2009	NA	Oxford University Press	NA	668–685	The Oxford handbook of case	NA	Malchukov, Andrej and Spencer, Andrew	NA	NA	NA	NA	NA	NA	NA	NA	NA	not to be added to biblib
article	evans2000	Evans, Nicholas	Iwaidjan, a very un-Australian language family	2000	NA	NA	NA	91–142	NA	NA	NA	Linguistic Typology	4	1	NA	NA	NA	NA	NA	NA	not to be added to biblib
book	forker2013	Forker, Diana	A grammar of Hinuq	2013	NA	De Gruyter Mouton	Berlin/Boston	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	forker2020dargwa	Forker, Diana	A grammar of Sanzhi Dargwa	2020	NA	Language Science Press	Berlin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	hagege2010	Hagège, Claude	Adpositions	2010	NA	Oxford University Press	Oxford	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	not to be added to biblib
book	kibrik1977	Кибрик, Александр Е.	Опыт структурного описания арчинского языка. Том {II}. Таксономическая грамматика	1977	Structural description of Archi. Volume {II}. Taxonomic grammar	Издательство Московского университета	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
article	kibrik1997	Kibrik, Aleksandr E.	Beyond subject and object: Toward a comprehensive relational typology	1997	NA	NA	NA	279–346	NA	NA	NA	Linguistic Typology	1	3	NA	NA	NA	NA	NA	NA	not to be added to biblib
book	kibrik1999	Кибрик, Александр Е.	Элементы цахурского языка в типологическом освещении	1999	Elements of Tsakhur grammar in a typological perspective	Наследие	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Samira Verhees	28.01.2021	NA	NA
book	kibriketal1996	Kibrik, Alexandr and Tatevosov, Sergej and Eulenberg, Alexander	Godoberi	1996	NA	Lincom Europa	Munich/Newcastle	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	lambertelli2003	Lambertelli, Giulio	Elementi di fonetica, ortografia e grammatica della parlata ripana con doppia versione di “{J}’sè d lu Rrotı̀”	2003	NA	Giulio Lambertelli Editore	Ripatransone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	not to be added to biblib
article	rudnev2020	Rudnev, Pavel	Agreeing adpositions in Avar and the directionality-of-valuation debate	2020	NA	NA	NA	829–844	NA	NA	NA	Linguistic Inquiry	51	4	NA	NA	NA	NA	NA	NA	not to be added to biblib
