CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	COMMENT
book	kibrik2001	Кибрик, Александр Е. and Казенин, Константин И. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	Багвалинский язык. Грамматика, тексты, словари	2001	The Bagvalal language. Grammar, texts, dictionary	Наследие	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	authier2009	Authier, Gilles	Grammaire kryz	2009	NA	Peeters	Paris	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	comrieetal2015	Comrie, Bernard and Khalilov, Madzhid and Khalilova, Zaira	A grammar of Bezhta	2015	NA	Max Planck Institute for Evolutionary Anthropology	Leipzig	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	song2013a	Jae Jung Song	Nonperiphrastic Causative Constructions	2013	NA	Max Planck Institute for Evolutionary Anthropology	Leipzig	NA	The World Atlas of Language Structures Online	NA	NA	NA	NA	NA	NA	NA	https://wals.info/chapter/111	NA	NA
incollection	song2013b	Jae Jung Song	Periphrastic Causative Constructions	2013	NA	Max Planck Institute for Evolutionary Anthropology	Leipzig	NA	The World Atlas of Language Structures Online	NA	NA	NA	NA	NA	NA	NA	https://wals.info/chapter/110	NA	NA
book	talibov2007	Талибов, Букар Б.	Будухский язык	2007	Budukh	Академия	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedbekova1967	Магомедбекова, Загидат М.	Ахвахский язык	1967	Akhvakh	Мецниереба	Tbilisi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	khangishiev2014	Хангишиев, Джангиши Магомедович	Глагол	2014	NA	ИЯЛИ	Makhachkala	NA	Современный кумыкский язык	Contemporary Kumyk	Абдуллаева, Айшат Заирхановна and Гаджиахмедов, Нурмагомед Эльдерханович and Кадыраджиев, Калсын Салахович and Керимов, Ибрагим Абдулкеримович and Ольмесов, Нурмагомед Хайруллаевич and Хангишиев, Джангиши Магомедович	NA	NA	NA	NA	NA	NA	NA	NA
book	shiralievsevortyan1971	Ширалиев, Мамедага Ш. and Севортян, Эрванд В.	Грамматика азербайджанского языка (фонетика, морфология, синтаксис)	1971	Azerbaijani grammar (phonetics, morphology, syntax)	Элм	Baku	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	baskakov1940	Баскаков, Николай А.	Ногайский язык и его диалекты: грамматика, тексты и словарь	1940	Nogai and its dialects: grammar, texts and dictionary	Издательство Академии наук СССР	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	baskakov1973	Баскаков, Николай А.	Грамматика ногайского языка. Часть 1. Фонетика и морфология	1973	Nogai grammar. Part 1. Phonetics and morphology	Карачаево-Черкесское отделение Ставропольского книжного издательства	Cherkessk	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magometov1963	Магометов, Александр А.	Кубачинский язык	1963	Kubachi	Академия Наук Грузинской ССР	Tbilisi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	daniel2019	Daniel, Michael	Mehweb verb morphology	2019	NA	Language Science Press	Berlin	73--116	The Mehweb language. Essays on phonology, morphology and syntax	NA	Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry	NA	NA	NA	NA	NA	NA	NA	NA
unpublished	forkerdraft2020	Forker, Diana	Avar grammar sketch	2020	NA	Oxford University Press	Oxford	NA	Oxford Handbook of Languages of the Caucasus	NA	Polinsky, Maria	NA	NA	NA	NA	NA	NA	NA	NA
book	kazenin2013	Казенин, Константин И.	Синтаксис современного лакского языка	2013	Syntax of contemporary Lak	ИЯЛИ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	haspelmath1993	Haspelmath, Martin	A grammar of Lezgian	1993	NA	Mouton de Gruyter	Berlin/New York	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	bokarev1959tsez	Бокарёв, Евгений А.	Цезский язык	1959	Tsez	Академия	Moscow	175--221	Цезские (дидойские) языки Дагестана	Tsezic (Didoic) languages of Daghestan	Бокарёв, Евгений А.	NA	NA	NA	NA	NA	NA	NA	NA
incollection	barylnikova2019	Barylnikova, Daria	Periphrastic causative constructions in Mehweb	2019	NA	Language Science Press	Berlin	167--188	The Mehweb language. Essays on phonology, morphology and syntax	NA	Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry	NA	NA	NA	NA	NA	NA	NA	NA
book	talibovgadzhiev1966	Талибов, Букар Б. and Гаджиев, Магомед М.	Лезгинско-русский словарь	1966	Lezgian-Russian dictionary	Советская Энциклопедия	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
article	salaibanovsumbatova2022	Салайбанов, Гасангусен Рабаданович and Сумбатова, Нина Романовна	Об одном типологическом раритете: каузатив в цугнинском диалекте даргинского языка	2022	NA	NA	NA	109--131	NA	NA	NA	Вопросы языкознания	3	NA	NA	NA	NA	NA	NA
