CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	NOTE	NUMBER	SCHOOL	URL	VOLUME	CONTRIBUTOR	COMMENT
book	abdullaev1954	Абдуллаев, Сайгид Н.	Грамматика даргинского языка	1954	Dargwa grammar	ИЯЛИ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	arkhipov2009	Arkhipov, Alexandre	Comitative as a cross-linguistically valid category	2009	NA	De Gruyter Mouton	Berlin/New York	223--246	New Challenges in Typology. Transcending the Borders and Refining the Distinctions	NA	Epps, Patience and Arkhipov, Alexandre	NA	NA	NA	NA	NA	NA	NA	NA
book	authier2009	Authier, Gilles	Grammaire kryz	2009	NA	Peeters	Paris	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	authier2012	Authier, Gilles	Grammaire juhuri, ou judéo-tat, langue iranienne des Juifs du Caucase de l’est	2012	NA	Dr. Ludwig Reichert Verlag Wiesbaden	Wiesbaden	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
unpublished	authierdraft2020	Authier, Gilles	Tindi	2020	NA	De Gruyter Mouton	Berlin/New York	NA	Handbook of Caucasian Languages. Vol. 2. Nakh-Daghestanian	NA	Koryakov, Yury and Maisak, Timur	NA	NA	NA	NA	NA	NA	NA	NA
phdthesis	babaliyeva2013	Babaliyeva, Ayten	Études sur la morphosyntaxe du tabasaran littéraire	2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	École Pratique des Hautes Études	NA	NA	NA	NA
book	comrieetal2015	Comrie, Bernard and Khalilov, Madzhid and Khalilova, Zaira	A grammar of Bezhta	2015	NA	Max Planck Institute for Evolutionary Anthropology	Leipzig	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	daraganmaisak2001	Дараган, Юлия В. and Майсак, Тимур А.	Частицы, союзы и транскатегориальные показатели	2001	Particles, conjunctions and transcategorical markers	Наследие	Moscow	173--184	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	NA	NA	NA	NA	NA	NA	NA	NA
book	desheriev1953	Дешериев, Юнус Д.	Бацбийский язык	1953	Bats	Академия	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	desheriev1959	Дешериев, Юнус Д.	Грамматика хиналугского языка	1959	Khinalug grammar	Академия	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	forker2013	Forker, Diana	A grammar of Hinuq	2013	NA	De Gruyter Mouton	Berlin/Boston	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	forker2020dargwa	Forker, Diana	A grammar of Sanzhi Dargwa	2020	NA	Language Science Press	Berlin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	ganenkov2008	Ганенков, Дмитрий С.	Морфологическая и семантическая характеристика падежей удинского языка	2008	Morphological and semantic characteristics of Udi	Академия	Moscow	11--53	Удинский сборник: грамматика, лексика, история языка	Udi. Grammar. Lexicon. History of the language	Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.	NA	NA	NA	NA	NA	NA	NA	NA
book	haspelmath1993	Haspelmath, Martin	A grammar of Lezgian	1993	NA	Mouton de Gruyter	Berlin/New York	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	hewitt1995	Hewitt, George	Georgian. A Structural Reference Grammar	1995	NA	School of Oriental and African Studies, University of London	London	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	ibragimov2004	Ибрагимов, Гарун Х.	Рутульский язык	2004	Rutul	Народы Дагестана	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phdthesis	khalilova2009	Khalilova, Zaira	A grammar of Khwarshi	2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	University of Leiden	NA	NA	NA	NA
book	madieva1965	Мадиева, Гюльшахан И.	Грамматический очерк бежтинского языка	1965	Grammatical profile of Bezhta	ДГУ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedova2012	Магомедова, Патимат Т.	Тиндинский язык	2012	Tindi	ИЯЛИ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	maisak2014	Майсак, Тимур А.	Агульские тексты 1900-1960-х годов.	2014	NA	Academia	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	mikailov1967	Микаилов, Казбек Ш.	Арчинский язык	1967	Archi	ИЯЛИ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
unpublished	pasquereaudraft2020	Pasquereau, Jérémy	Karata	2020	NA	De Gruyter Mouton	Berlin/New York	NA	Handbook of Caucasian Languages. Vol. 2. Nakh-Daghestanian	NA	Koryakov, Yury and Maisak, Timur	NA	NA	NA	NA	NA	NA	NA	NA
book	plungian2003	Плунгян, Владимир А.	Общая морфология: Введение в проблематику	2003	General Morphology: An Introduction	УРСС	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	sosenskaja1999post	Сосенская, Татьяна Б.	Послелог	1999	Postposition	Наследие	Moscow	121--129	Элементы цахурского языка в типологическом освещении	Elements of the Tsakhur language in a typological perspective	Кибрик, Александр Е. and Татевосов, Сергей Г.	NA	NA	NA	NA	NA	NA	NA	NA
book	tagievetal2006b	Tagiev, Mamed T. et al.	Azərbaycanca-rusca lüğət. Dörd cilddə. {II} cild	2006	Azerbaijani-Russian dictionary. Four volumes. Volume {II}. CILD	Şərq-Qərb	Baku	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	stolzetal2006	Stolz, Thomas and Stroh, Cornelia and Urdze, Aina	On Comitatives and Related Categories. A Typological Study with Special Focus on the Languages of Europe	2006	NA	Mouton de Gruyter	Berlin/New York	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
