CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	NOTE	NUMBER	SCHOOL	URL	VOLUME	CONTRIBUTOR	COMMENT	HOWPUBLISHED
misc	ganenkov2021draft	Ganenkov, Dmitry	Chirag Dargwa	2021									manuscript							
article	daniel1978	Даниэль, Юлий Маркович	Вышэ других	1978	Higher than the others			8--10				Синтаксис					1			
book	magomedovaabdulaeva2007	Магомедова, Патимат Т. and Абдулаева, Индира А.	Ахвахско-русский словарь	2007	Akhvakh-Russian dictionary	ИЯЛИ	Makhachkala													
book	magomedovaxalidova2001	Магомедова, Патимат Т. and Халидова, Рашидат Ш.	Каратинско-русский словарь	2001	Karata-Russian dictionary	ИЯЛИ	Makhachkala													
book	kibriketal1999	Кибрик, Александр Е. and Татевосов, Сергей Г.	Элементы цахурского языка в типологическом освещении	1999	Elements of the Tsakhur language in a typological perspective	Наследие	Moscow													
book	yusupov2014	Юсупов, Хизри А.	Даргинско-русский словарь (рукопись)	2014	Dargwa-Russian dictionary (manuscript)	Институт истории, языка и литературы им. Г. Цадасы	Makhachkala													
incollection	dobrushina2019	Dobrushina, Nina	Moods of Mehweb	2019		Language Science Press	Berlin	117--165	The Mehweb language. Essays on phonology, morphology and syntax		Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry									
book	saidova2006	Саидова, Патимат А.	Годоберинско-русский словарь	2006	Godoberi-Russian dictionary	ИЯЛИ	Makhachkala													
book	magomedova2003	Магомедова, Патимат Т.	Тиндинско-русский словарь	2003	Tindi-Russian dictionary	ИЯЛИ	Makhachkala													
book	xalilov1999	Халилов, Маджид Ш.	Цезско-русский словарь	1999	Tsez-Russian dictionary	ИЯЛИ и Институт эволюционной антропологии им. М. Планка	Makhachkala													
