CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	date_added	COMMENT	correction_notes
book	diessel1999	Diessel, Holger	Demonstratives: Form, Function, and Grammaticalization	1999	NA	John Benjamins	Amsterdam	NA	NA	NA	NA	NA	42	NA	NA	NA	NA	NA	NA	NA	NA
incollection	diessel2013	Diessel, Holger	Distance Contrasts in Demonstratives	2013	NA	Max Planck Institute for Evolutionary Anthropology	Leipzig	NA	The World Atlas of Language Structures Online	NA	Matthew S. Dryer and Martin Haspelmath	NA	NA	NA	NA	NA	https://wals.info/chapter/41	NA	NA	NA	NA
incollection	schulze2008	Schulze, Wolfgang	Deictic Strategies in Udi	2008	NA	Академия	Moscow	Удинский сборник: грамматика, лексика, история языка	241--308	Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	nichols1994	Nichols, Johanna	Chechen	1994	NA	Caravan Press	Delmar, NY	1--77	The Indigenous Languages of the Caucasus, vol. 4: The Northeast Caucasian Languages, Part 2	NA	Smeets, Rieks	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	nichols2011	Nichols, Johanna	Ingush grammar	2011	NA	University of California Press	Berkeley/Los Angeles	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	shiralievsevortyan1971	Ширалиев, Мамедага Ш. and Севортян, Эрванд В.	Грамматика азербайджанского языка (фонетика, морфология, синтаксис)	1971	Azerbaijani grammar (phonetics, morphology, syntax)	Элм	Baku	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedova2004	Магомедова, Патимат Т.	Багвалинско-русский словарь	2004	Bagvalal-Russian dictionary	ИЯЛИ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	talibov2007	Талибов, Букар Б.	Будухский язык	2007	Budukh	Академия	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	andersonkeenan1985	Anderson, John and Keenan, Edward	Deixis	1985	NA	Cambridge University Press	Cambridge	259--308	Language typology and syntactic description: Grammatical categories and the lexicon.	NA	Shopen, Timothy	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
incollection	schulze2003	Schulze, Wolfgang	The Diachrony of Demonstrative Pronouns in East Caucasian	2003	NA	John Benjamins	Amsterdam	291--348	Current Issues in Linguistic Theory	NA	Holisky, Dee Ann and Tuite, Kevin	NA	246	NA	NA	NA	NA	NA	NA	NA	NA
incollection	schulze2008	Schulze, Wolfgang	Deictic Strategies in Udi	2008	NA	Академия	Moscow	241--308	Удинский сборник: грамматика, лексика, история языка	NA	Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
conference	mukhinnasledskova2021	Mukhin, Timophey and Nasledskova, Polina	Demonstratives in Kina Rutul	2021	NA	NA	Moscow	NA	Experimental Studies of Russia’s Ethnic Languages	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedovaabdulaeva2007	Магомедова, Патимат Т. and Абдулаева, Индира А.	Ахвахско-русский словарь	2007	Akhvakh-Russian dictionary	ИЯЛИ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Samira Verhees	NA	NA	NA
book	magomedova1999	Магомедова, Патимат Т.	Чамалинско-русский словарь	1999	Chamalal-Russian dictionary	ИЯЛИ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedova2012	Магомедова, Патимат Т.	Тиндинский язык	2012	Tindi	ИЯЛИ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
misc	creisselsdraft2020	Creissels, Denis	A sketch of Northern Akhvakh	2020	NA	De Gruyter Mouton	Berlin/New York	NA	The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian	NA	Koryakov, Yuri and Maisak, Timur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	bokarev1949a	Бокарёв, Анатолий А.	Очерк грамматики чамалинского языка	1949	Grammar sketch of Chamalal	Издательство Академии наук СССР	Moscow/Leningrad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
misc	authierdraft2020	Authier, Gilles	Tindi	2020	NA	De Gruyter Mouton	Berlin/New York	NA	The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian	NA	Koryakov, Yuri and Maisak, Timur	NA	NA	NA	NA	NA	NA	Samira Verhees	NA	NA	NA
book	kibrik1977	Кибрик, Александр Е.	Опыт структурного описания арчинского языка. Том {II}. Таксономическая грамматика	1977	Structural description of Archi. Volume II. Taxonomic grammar	Издательство Московского университета	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedova2003	Магомедова, Патимат Т.	Тиндинско-русский словарь	2003	Tindi-Russian dictionary	ИЯЛИ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
misc	kayeetaldraft2020	Kaye, Stephen and Martynova, Aleksandra and Moroz, George and Rochant, Neige and Verhees, Samira and Zakirova, Aigul	A sketch of Andi (Zilo dialect)	2020	NA	De Gruyter Mouton	Berlin/New York	NA	The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian	NA	Koryakov, Yuri and Maisak, Timur	NA	NA	NA	NA	NA	NA	Samira Verhees	NA	NA	NA
incollection	forker2020	Forker, Diana	Elevation as a Grammatical and Semantic Category of Demonstratives	2020	NA	Frontiers Media	???	NA	Frontiers in psychology	NA	Diessel, Holger	NA	11	NA	NA	NA	NA	NA	NA	NA	NA
misc	ganenkovetal2009	Ганенков, Дмитрий С. and Майсак, Тимур А. and Мерданова, Солмаз Р.	Дискурсивная анафора в агульском языке	2009	Discourse anaphora in Agul	Институт языкознания РАН	Moscow	NA	НеФестшрифт: Статьи в подарок (к юбилею А.Е. Кибрика)	Non-Festschrift: Papers dedicated to A.E. Kibrik for his anniversary	NA	NA	NA	NA	NA	NA	NA	Timofey Mukhin	NA	NA	editor, page number
article	dixon2003	Dixon, Robert M. W.	Demonstratives: A cross-linguistic typology	2003	NA	NA	NA	61--112	NA	NA	NA	Studies in Language	27	NA	NA	NA	NA	NA	NA	NA	NA
book	levinsonetal2018	Levinson, Stephen C. and Cutfield, Sarah and Dunn, Michael J. and Enfield, Nick J. and Meira, Sérgio	Demonstratives in Cross-Linguistic Perspective	2018	NA	Cambridge University Press	Cambridge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
inbook	levinson2018	Levinson, Stephen C.	Introduction: Demonstratives: Patterns in Diversity	2018	NA	Cambridge University Press	Cambridge	1--42	Demonstratives in Cross-Linguistic Perspective	NA	Levinson, Stephen C. and Cutfield, Sarah and Dunn, Michael J. and Enfield, N. J. and Meira, Sérgio	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
misc	kayeetaldraft2020	Kaye, Stephen and Martynova, Aleksandra and Moroz, George and Rochant, Neige and Verhees, Samira and Zakirova, Aigul	A sketch of Andi (Zilo dialect)	2020	NA	De Gruyter Mouton	Berlin/New York	NA	The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian	NA	Koryakov, Yuri and Maisak, Timur	NA	NA	NA	NA	NA	NA	Samira Verhees	NA	NA	NA
book	kibrik2001	Кибрик, Александр Е. and Казенин, Константин И. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	Багвалинский язык. Грамматика, тексты, словари	2001	The Bagvalal language. Grammar, texts, dictionary	Наследие	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	kibriketal1996	Kibrik, Alexandr and Tatevosov, Sergej and Eulenberg, Alexander	Godoberi	1996	NA	Lincom Europa	Munich/Newcastle	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
misc	alexeyevverheesdraft2020	Alexeyev, Mikhail and Verhees, Samira	Botlikh	2020	NA	De Gruyter Mouton	Berlin/New York	NA	The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian	NA	Koryakov, Yuri and Maisak, Timur	NA	NA	NA	NA	NA	NA	NA	NA	NOT IN THE FOLDER	NA
book	shiralievsevortyan1971	Ширалиев, Мамедага Ш. and Севортян, Эрванд В.	Грамматика азербайджанского языка (фонетика, морфология, синтаксис)	1971	Azerbaijani grammar (phonetics, morphology, syntax)	Элм	Baku	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	authier2009	Authier, Gilles	Grammaire kryz	2009	NA	Peeters	Paris	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chiara Naccarato	17.12.2021	NA	NA
book	haspelmath1993	Haspelmath, Martin	A grammar of Lezgian	1993	NA	Mouton de Gruyter	Berlin/New York	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	comrieetal2015	Comrie, Bernard and Khalilov, Madzhid and Khalilova, Zaira	A grammar of Bezhta	2015	NA	Max Planck Institute for Evolutionary Anthropology	Leipzig	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Timofey Mukhin	29.01.2021	проблемный случай, книга на самом деле на русском, но первое название английское. + надо проверить где опубликовали	NA
book	forker2013	Forker, Diana	A grammar of Hinuq	2013	NA	De Gruyter Mouton	Berlin/Boston	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	kibrik2011	Kibrik, Andrej A.	Reference in Discourse	2011	NA	Oxford University Press	Oxford	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	vandenberg1995	van den Berg, Helma	A grammar of Hunzib	1995	NA	Lincom	Munich	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phdthesis	khalilova2009	Khalilova, Zaira	A grammar of Khwarshi	2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	University of Leiden	NA	NA	NA	NA	NA	NA
misc	polinskydraft2015	Polinsky, Maria	Tsez Syntax: A Description	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sara Zadykyan	NA	NA	NA
inbook	konigsiemund2000	König, Ekkehard and Siemund, Peter	Intensifiers and reflexives: A typological perspective	2000	NA	John Benjamins	Amsterdam	41--74	Reflexives: Forms and Functions	NA	Frajzyngier, Zygmunt and Curl, Traci	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	alekseevataev1997	Алексеев, Михаил Е. and Атаев, Борис М.	Аварский язык	1997	Avar language	Академия	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	George Moroz	28.04.2021	NA	NA
incollection	gisatullinatoldova1996	Gisatullina, Yu and Toldova, S	Pronouns	1996	NA	Lincom Europa	Munich/Newcastle	36--42	Godoberi	NA	Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
