CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	NOTE	NUMBER	SCHOOL	URL	VOLUME	CONTRIBUTOR	COMMENT	HOWPUBLISHED
book	forker2013	Forker, Diana	A grammar of Hinuq	2013		De Gruyter Mouton	Berlin/Boston													
phdthesis	khalilova2009	Khalilova, Zaira	A grammar of Khwarshi	2009											University of Leiden					
incollection	comrie2007	Comrie, Bernard	Tsez (Dido) Morphology	2007		Eisenbrauns	University Park, PA	1193--1204	Morphologies of Asia and Africa		Kaye, Alan S.									
book	imnajshvili1963	Имнайшвили, Давид С.	Дидойский язык в сравнении с гинухским и хваршийским языками	1963	Tsez language in comparison with Hinuq and Khwarshi languages	Издательство Академии наук Грузинской ССР	Tbilisi													
book	talibov2007	Талибов, Букар Б.	Будухский язык	2007	Budukh	Академия	Moscow													
book	kibrik2001	Кибрик, Александр Е. and Казенин, Константин И. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	Багвалинский язык. Грамматика, тексты, словари	2001	The Bagvalal language. Grammar, texts, dictionary	Наследие	Moscow													
misc	alexeyevverheesdraft2020	Alexeyev, Mikhail and Verhees, Samira	Botlikh	2020		De Gruyter Mouton	Berlin/New York		The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian		Koryakov, Yuri and Maisak, Timur									
book	kibriketal1972	Кибрик, Александр Е. and Кодзасов, Сандро В. and Оловянникова, Ирина П.	Фрагменты грамматики хиналугского языка	1972	Fragments of Khinalug grammar	Издательство Академии наук СССР	Moscow													
incollection	nichols1994	Nichols, Johanna	Chechen	1994		Caravan Press	Delmar, NY	1--77	The Indigenous Languages of the Caucasus, vol. 4: The Northeast Caucasian Languages, Part 2		Smeets, Rieks									
phdthesis	maxmudova2002	Махмудова, Светлана М.	Грамматические классы слов и грамматические категории рутульского языка	2002	Grammatical word classes and grammatical categories of Rutul										ДГУ					
book	magometov1970	Магометов, Александр А.	Агульский язык	1970	Agul	Мецниереба	Tbilisi													
book	maisak2014	Майсак, Тимур А.	Агульские тексты 1900-1960-х годов.	2014	Agul texts of the 1900-1960s	Academia	Moscow													
book	abdullaev1954	Абдуллаев, Сайгид Н.	Грамматика даргинского языка	1954	Dargwa grammar	ИЯЛИ	Makhachkala													
book	forker2020dargwa	Forker, Diana	A grammar of Sanzhi Dargwa	2020		Language Science Press	Berlin													
book	magometov1963	Магометов, Александр А.	Кубачинский язык	1963	Kubachi	Академия Наук Грузинской ССР	Tbilisi													
book	temirbulatova2004	Темирбулатова, Сапияханум М.	Хайдакский диалект даргинского языка	2004	Khaidak dialect of Dargwa	Институт языка, литературы и искусства им. Г. Цадасы	Makhachkala													
book	magometov1982	Магометов, Александр А.	Мегебский диалект даргинского языка: исследование и тексты	1982	Mehweb dialect of Dargwa: research and texts	Мецниереба	Tbilisi													
book	sumbatovamutalov2003	Sumbatova, Nina R. and Mutalov, Rasul O.	A Grammar of Icari Dargwa	2003		Lincom Europa	Munich													
book	sumbatovalander2014	Сумбатова, Нина Р. and Ландер, Юрий А.	Даргинский говор селения Танты: грамматический очерк. Вопросы синтаксиса	2014		Языки славянской культуры	Moscow													
