CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR	ISSUE	URL
incollection	forker2018a	Oxford	NA	Forker, Diana	Evidentiality in {N}akh-{D}aghestanian languages	NA	The {O}xford {H}andbook of {E}videntiality	NA	NA	NA	NA	Aikhenvald, Alexandra Y.	NA	NA	NA	NA	NA	NA	NA	NA	490--509	Oxford University Press	NA	NA	NA	NA	2018	NA	NA
incollection	tatevosov2007	Saint Petersburg	NA	Татевосов, С. Г.	Эвиденциальность и адмиратив в багвалинском языке	Evidentiality and admirative in Bagvalal	Эведенциальность в языках Европы и Азии: сборник статей памяти Натальи Андреевны Козинцевой	Evidentiality in languages of Europe and Asia: Volume in memoriam N. A. Kozintseva	NA	NA	NA	Храковский, В. С.	NA	NA	NA	NA	NA	NA	NA	NA	351--397	Наука	NA	NA	NA	NA	2007	NA	NA
phdthesis	verhees2019b	NA	NA	Verhees, Samira	Эвиденциальность как часть видо-временной системы в нахско-дагестанских языках	Evidentiality as parto of TAM system in East Caucasian	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HSE University, Moscow	NA	NA	NA	2019	NA	NA
incollection	maisaktatevosov2007	Louvain/Paris/Dudley MA	NA	Maisak, Timur and Tatevosov, Sergei	Beyond evidentiality and mirativity. {E}vidence from {T}sakhur	NA	L'Énonciation médiatisée {I}{I}.	NA	NA	NA	NA	Guentchéva, Zlatka and Landabaru, John	NA	NA	NA	NA	NA	NA	NA	NA	377--406	Peeters	NA	NA	NA	NA	2007	NA	NA
incollection	johanson2000	Berlin/New York	NA	Johanson, Lars	Turkic indirectives	NA	Evidentials. {T}urkic, {I}ranian and {N}eighbouring {L}anguages	NA	NA	NA	NA	Johanson, Lars and Utas, Bo	NA	NA	NA	NA	NA	NA	NA	NA	61--88	Mouton de Gruyter	NA	NA	NA	NA	2000	NA	NA
article	lazard1999	Berlin/New York	NA	Lazard, Gilbert	Mirativity, evidentiality, mediativity, or other?	NA	NA	NA	NA	NA	NA	NA	NA	NA	Linguistic Typology	NA	NA	NA	NA	NA	91--109	Walter de Gruyter	NA	NA	NA	3	1999	1	NA
incollection	friedman2000	Berlin/New York	NA	Friedman, Victor A.	Confirmative/nonconfirmative in {B}alkan {S}lavic, {B}alkan {R}omance, and {A}lbanian with additional observations on {T}urkish, {R}omani, {G}eorgian, and {L}ak	NA	Evidentials. {T}urkic, {I}ranian and {N}eighbouring {L}anguages	NA	NA	NA	NA	Johanson, Lars and Utas, Bo	NA	NA	NA	NA	NA	NA	NA	NA	329--367	Mouton de Gruyter	NA	NA	NA	NA	2000	NA	NA
unpublished	molochieva2007	NA	NA	Molochieva, Zarina	Category of evidentiality and mirativity in {C}hechen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Conference on the Languages of the Caucasus, 7-9.12.2007, Max Planck Institute EVA, Leipzig. Hand-out	NA	NA	NA	NA	NA	NA	NA	NA	2007	NA	NA
phdthesis	molochieva2010	NA	NA	Molochieva, Zarina	Tense, aspect and mood in {C}hechen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Universität Leipzig	NA	NA	NA	2010	NA	NA
incollection	slobinaksukoc1982	Amsterdam	NA	Slobin, Dan I. and Aksu-Koç, Ayhan A.	Tense, {A}spect and {M}odality in the {U}se of the {T}urkish {E}vidential	NA	Tense-aspect: {B}etween semantics and pragmatics	NA	NA	NA	NA	Hopper, Paul J.	NA	NA	NA	NA	NA	NA	NA	NA	185--200	John Benjamins	NA	NA	NA	NA	1982	NA	NA
