CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	NOTE	NUMBER	SCHOOL	URL	VOLUME	CONTRIBUTOR	COMMENT	...21	...22	...23	...24	HOWPUBLISHED
incollection	holiskygagua1994	Holisky, Dee Ann and Gagua, Rusudan	Tsova-Tush (Batsbi)	1994		Caravan Books	Delmar NY	147--212	The indigenous languages of the Caucasus. Volume 4. Part 2		Smeets, Riek													
book	magometov1963	Магометов, Александр А.	Кубачинский язык	1963	Kubachi	Академия Наук Грузинской ССР	Tbilisi																	
book	xalilov1999	Халилов, Маджид Ш.	Цезско-русский словарь	1999	Tsez-Russian dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Makhachkala											Chiara Naccarato	31.01.2021					
book	gimbatov2006	Гимбатов, М. М.	Аварско-русский словарь	2006	Avar-Russian dictionary	ДНЦ РАН	Makhachkala											Anastasia Panova			author name			
book	forker2013	Forker, Diana	A grammar of Hinuq	2013		De Gruyter Mouton	Berlin/Boston																	
incollection	dobrushina2019	Dobrushina, Nina	Moods of Mehweb	2019		Language Science Press	Berlin	117--165	The Mehweb language. Essays on phonology, morphology and syntax		Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry							Chiara Naccarato	17.12.2021					
book	alisultanovsulejmanova2019	Алисултанов, Алисултан С. and Сулейманова, Таисия А.	Рутульско-русский словарь	2019	Rutul-Russian dictionary	АЛЕФ	Makhachkala													there are two versions in the folder: pdf and xlsx parsed by GM				
book	abdullaev1954	Абдуллаев, Сайгид Н.	Грамматика даргинского языка	1954	Dargwa grammar	ИЯЛИ	Makhachkala																	
book	talibovgadzhiev1966	Талибов, Букар Б. and Гаджиев, Магомед М.	Лезгинско-русский словарь	1966	Lezgian-Russian dictionary	Советская Энциклопедия	Moscow											Samira Verhees	31.01.2021	NOT IN THE FOLDER				
book	vandenberg1995	van den Berg, Helma	A grammar of Hunzib	1995		Lincom	Munich																	
incollection	naccaratoverhees2021	Naccarato, Chiara. and Verhees, Samira	Morning greetings	2021		Linguistic Convergence Laboratory, HSE University	Moscow		Typological Atlas of the Languages of Daghestan (TALD)		Daniel, Michael and Filatov, Konstantin and Moroz, George and Mukhin, Timofey and Naccarato, Chiara and Verhees, Samira		DOI: 10.5281/zenodo.6807070. http://lingconlab.ru/tald.											
book	abdullaev2018	Абдуллаев, Иса Х.	Лакско-русский словарь	2018	Lak-Russian dictionary	ИЯЛИ	Makhachkala											Samira Verhees	08.06.2022	NOT IN THE FOLDER	year			
