CATEGORY	BIBTEXKEY	AUTHOR	AUTHOR_old	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	EDITOR_old	HOWPUBLISHED	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	COMMENT	correction_notes
article	mitterer2018	Mitterer, Holger		The singleton-geminate distinction can be rate dependent: Evidence from Maltese	2018		Mouton de Gruyter								Laboratory Phonology	9	1						
misc	blevins2005	Juliette Blevins		Explaining Diversity in Geminate Consonant Inventories: An Evolutionary Approach	2005															https://www.eva.mpg.de/lingua/conference/08_springschool/pdf/course_materials/blevins_evening_lecture.pdf			
book	isakovxalilov2012	Исаков, Исак А. and Халилов, Маджид Ш.		Гунзибский язык (Фонетика. Морфология. Словообразование. Лексика. Тексты)	2012	Hunzib (Phonetics, Morphology, Word-Formation, Lexicon, Texts)	Институт истории, языка и литературы им. Г. Цадасы	Makhachkala	72-76												Anastasia Panova	NOT IN THE FOLDER	
book	magometov1970	Магометов, Александр А.		Агульский язык	1970	Agul	Мецниереба	Tbilisi	33														
book	shiralievsevortyan1971	Ширалиев, Мамедага Ш. and Севортян, Эрванд В.		Грамматика азербайджанского языка (фонетика, морфология, синтаксис)	1971	Azerbaijani grammar (phonetics, morphology, syntax)	Элм	Baku	16, 19														
book	baskakov1973	Баскаков, Николай А.		Грамматика ногайского языка. Часть 1. Фонетика и морфология	1973	Nogai grammar. Part 1. Phonetics and morphology	Карачаево-Черкесское отделение Ставропольского книжного издательства	Cherkessk	9												Chiara Naccarato		
book	abdullaevaetal2014	Абдуллаева, Айшат З. and Гаджиахмедов, Нурмагомед Э. and Кадыраджиев, Калсын С. and Керимов, Ибрагим А. and Ольмесов, Нурмагомед Х. and Хангишиев, Джангиши М.		Современный кумыкский язык	2014	Contemporary Kumyk	ИЯЛИ	Makhachkala	33-56, 72														
book	shiralievsevortyan1971	Ширалиев, Мамедага Ш. and Севортян, Эрванд В.		Грамматика азербайджанского языка (фонетика, морфология, синтаксис)	1971	Azerbaijani grammar (phonetics, morphology, syntax)	Элм	Baku	16-26														
book	hewitt1995	Hewitt, George		Georgian. A Structural Reference Grammar	1995		School of Oriental and African Studies, University of London	London	19, 26						London Oriental and African Language Library	2		University of London			Polina Smyr		
book	authier2012	Authier, Gilles		Grammaire juhuri, ou judéo-tat, langue iranienne des Juifs du Caucase de l’est	2012		Dr. Ludwig Reichert Verlag Wiesbaden	Wiesbaden	32												Chiara Naccarato		
book	isakovxalilov2012	Исаков, Исак А. and Халилов, Маджид Ш.		Гунзибский язык (Фонетика. Морфология. Словообразование. Лексика. Тексты)	2012	Hunzib (Phonetics, Morphology, Word-Formation, Lexicon, Texts)	Институт истории, языка и литературы им. Г. Цадасы	Makhachkala													Anastasia Panova	NOT IN THE FOLDER	
