CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	date_added	COMMENT	correction_notes
book	bammatov2013	Бамматов, Бурган Г. and Гаджиахмедов, Нурмагомед Э. 	Кумыкско-русский словарь	2013	Kumyk-Russian dictionary	ИЯЛИ	Makhachkala										https://til.im/ru/slovar	Samira Verhees	04.05.2022	"the file is a preprint version, probably with ""wrong"" pages"	author names edited, comments and URL added by Timur Maisak
incollection	dobrushina2019	Dobrushina, Nina  	Moods of Mehweb	2019		Language Science Press	Berlin	117--165	The Mehweb language. Essays on phonology, morphology and syntax		Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry							Chiara Naccarato	17.12.2021		
book	ganieva2002	Ганиева, Фаида А.	Хиналугско-русский словарь	2002	Khinalug-Russian dictionary	ДНЦ РАН	Makhachkala											Anastasia Panova	30.08.2021		
book	talibovgadzhiev1966	Талибов, Букар Б. and Гаджиев, Магомед М.	Лезгинско-русский словарь	1966	Lezgian-Russian dictionary	Советская Энциклопедия	Moscow											Samira Verhees	31.01.2021	NOT IN THE FOLDER	
book	xalilovisakov2005	Халилов, Маджид Ш. and Исаков, Исак А.	Гинухско-русский словарь	2005	Hinuq-Russian dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Makhachkala											Chiara Naccarato	31.01.2021		
book	yusupov2014	Юсупов, Хизри А. 	Даргинско-русский словарь (рукопись)	2014	Dargwa-Russian dictionary (manuscript)	Институт истории, языка и литературы им. Г. Цадасы	Makhachkala											Polina Smyr	24.08.2021	"the file is a preprint version, probably with ""wrong"" pages (the dictionary appeared as a book in 2017)"	comment added by Timur Maisak
book	aikhenvald2010	Aikhenvald, Alexandra Y.	Imperatives and commands	2010		Oxford University Press	Oxford											Timur Maisak	2/27/2024		
book	gusev2013	Гусев, Валентин Ю.	Типология императива	2013	Typology of the imperative	Языки славянской культуры	Moscow											Timur Maisak	2/27/2024		
incollection	dingemanse2023	Dingemanse, Mark	Interjections	2023		Oxford University Press	Oxford	477–491	The Oxford Handbook of Word Classes		van Lier, Eva							Timur Maisak	2/27/2024		
incollection	zerzele2024	Zerzele, Vasiliy	Plural marking on imperatives and prohibitives	2024		Linguistic Convergence Laboratory	Moscow		Typological Atlas of the Languages of Daghestan (TALD)		Daniel, Michael and Filatov, Konstantin and Maisak, Timur and Moroz, George and Mukhin, Timofey and Naccarato, Chiara and Verhees, Samira										
