CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR	URL	ISBN	VERSION	DOI	ISSUE
article	everett13	NA	NA	Everett, Caleb	Evidence for direct geographic influences on linguistic sounds: {T}he case of ejectives	NA	NA	NA	NA	NA	NA	NA	NA	NA	PloS one	NA	NA	NA	6	NA	e65275	Public Library of Science	NA	NA	NA	8	2013	NA	NA	NA	NA	NA
article	regier16	NA	NA	Regier, Terry and Carstensen, Alexandra and Kemp, Charles	Languages support efficient communication about the environment: {W}ords for snow revisited	NA	NA	NA	NA	NA	NA	NA	NA	NA	PlOS ONE	NA	NA	NA	4	NA	e0151138	Public Library of Science San Francisco, CA USA	NA	NA	NA	11	2016	NA	NA	NA	NA	NA
article	bentz18	NA	NA	Bentz, Christian and Dediu, Dan and Verkerk, Annemarie and J{\""""a}ger, Gerhard	The evolution of language families is shaped by the environment beyond neutral drift	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nature Human Behaviour	NA	NA	NA	11	NA	816--821	Nature Publishing Group	NA	NA	NA	2	2018	NA	NA	NA	NA	NA
article	urban21	NA	NA	Urban, Matthias and Moran, Steven	Altitude and the distributional typology of language structure: {E}jectives and beyond	NA	NA	NA	NA	NA	NA	NA	NA	NA	Plos one	NA	NA	NA	2	NA	e0245522	Public Library of Science San Francisco, CA USA	NA	NA	NA	16	2021	NA	NA	NA	NA	NA
article	urban20	NA	NA	Urban, Matthias	Mountain linguistics	NA	NA	NA	NA	NA	NA	NA	NA	NA	Language and Linguistics Compass	NA	NA	NA	9	NA	e12393	Wiley Online Library	NA	NA	NA	14	2020	NA	NA	NA	NA	NA
article	hay07	NA	NA	Hay, Jennifer and Bauer, Laurie	Phoneme inventory size and population size	NA	NA	NA	NA	NA	NA	NA	NA	NA	Language	NA	NA	NA	2	NA	388--400	Linguistic Society of America	NA	NA	NA	83	2007	NA	NA	NA	NA	NA
article	moran12	NA	NA	Moran, Steven and McCloy, Daniel and Wright, Richard	Revisiting population size vs. phoneme inventory size	NA	NA	NA	NA	NA	NA	NA	NA	NA	Language	NA	NA	NA	NA	NA	877--893	JSTOR	NA	NA	NA	NA	2012	NA	NA	NA	NA	NA
article	wichmann11	NA	NA	Wichmann, S{\o}ren and Rama, Taraka and Holman, Eric W	Phonological diversity, word length, and population sizes across languages: {T}he {A}SJP evidence	NA	NA	NA	NA	NA	NA	NA	NA	NA	Linguistic Typology	NA	NA	NA	2	NA	177--198	Walter de Gruyter GmbH \& Co. KG	NA	NA	NA	15	2011	NA	NA	NA	NA	NA
article	donohue11	NA	NA	Donohue, Mark and Nichols, Johanna	Does phoneme inventory size correlate with population size?	NA	NA	NA	NA	NA	NA	NA	NA	NA	Linguistic Typology	NA	NA	NA	2	NA	161--170	Walter de Gruyter GmbH \& Co. KG	NA	NA	NA	15	2011	NA	NA	NA	NA	NA
article	nichols13	NA	NA	Nichols, Johanna	The vertical archipelago: {A}dding the third dimension to linguistic geography	NA	NA	NA	NA	NA	NA	NA	NA	NA	Space in language and linguistics: Geographical, interactional, and cognitive perspectives	NA	NA	NA	NA	NA	38--60	NA	NA	NA	NA	NA	2013	NA	NA	NA	NA	NA
