CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	date_added	COMMENT	correction_notes
unpublished	moroz2012	Мороз, Г. А.	Модели образования количественных числительных и устройство языковых систем счисления языков Кавказа	2012	Models of derivation of cardinal numerals and the structure of numeral systems of the Caucasian languages	РГГУ	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	mikailov1967	Микайлов, Казбек Ш.	Арчинский язык	1967	Archi	ИЯЛИ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
article	forker2015	Forker, Diana	Towards a semantic map for intensifying particles: Evidence from Avar	2015	NA	De Gruyter Mouton	Berlin	485–513	NA	NA	NA	STUF - Language Typology and Universals	68	4	NA	NA	NA	NA	NA	NA	NA
incollection	maisakchumakina2001	Майсак, Тимур А. and Чумакина, Марина Э.	Дискурсивные частицы	2001	Discursive particles	Наследие	Moscow	702--723	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
unpublished	forker2020	Forker, Diana	Avar grammar sketch	2020	NA	Oxford University Press	Oxford	NA	Oxford Handbook of Languages of the Caucasus	NA	Polinsky, Maria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
unpublished	mukhin2020	Mukhin, Timofey	Numerals in Kina Rutul	2020	NA	Higher School of Economics	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
article	chumakina2021	Чумакина, М. Э.	Несогласовательные функции согласовательных показателей в дагестанских языках	2021	Non-agreement functions of agreement markers in Dagestanian languages	NA	NA	131—148	NA	NA	NA	Rhema. Рема	2	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedbekova1967	Магомедбекова, Загидат М.	Ахвахский язык	1967	Akhvakh	Мецниереба	Tbilisi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	kibrik1999	Кибрик, Александр Е.	Элементы цахурского языка в типологическом освещении	1999	Elements of Tsakhur grammar in a typological perspective	Наследие	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Samira Verhees	28.01.2021	NA	NA
book	forker2013	Forker, Diana	A grammar of Hinuq	2013	NA	De Gruyter Mouton	Berlin/Boston	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	gasanova1971	Гасанова, Саида М.	Очерки даргинской диалектологии	1971	Essays on Dargwa dialectology	Институт истории, языка и литературы им. Г. Цадасы	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Anastasia Panova	30.08.2021	NA	NA
book	sumbatovalander2014	Сумбатова, Нина Р. and Ландер, Юрий А.	Даргинский говор селения Танты: грамматический очерк. Вопросы синтаксиса	2014	Tanty Dargwa: a grammar sketch. Syntax problems	Языки славянской культуры	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Samira Verhees	NA	NA	NA
book	nichols2011	Nichols, Johanna	Ingush grammar	2011	NA	University of California Press	Berkeley/Los Angeles	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	genko1955	Генко, Анатолий Н.	Абазинский язык. Грамматический очерк наречия тапанта	1955	Abaza language. Grammatical overview of the Tapanta dialect	Академия наук СССР	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
article	caludeverkerk2016	Calude, A. S. and Verkerk, A.	The typology and diachrony of higher numerals in Indo-European: a phylogenetic comparative study	2016	NA	NA	NA	1—18	NA	NA	NA	Journal of Language Evolution	0	0	NA	NA	NA	NA	NA	NA	NA
book	magomedbekova1971	Магомедбекова, Загидат М.	Каратинский язык	1971	Karata	Мецниереба	Tbilisi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	tatevosov2001numerals	Татевосов, Сергей Г.	Числительное	2001	Numeral	Наследие	Moscow	155--159	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedova2012	Магомедова, Патимат Т.	Тиндинский язык	2012	Tindi	ИЯЛИ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	forker2020dargwa	Forker, Diana	A grammar of Sanzhi Dargwa	2020	NA	Language Science Press	Berlin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	tatevosov1996	Tatevosov, Sergej	Attributives	1996	NA	Lincom Europa	Munich/Newcastle	20—35	Godoberi	NA	Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magometov1963	Магометов, Александр А.	Кубачинский язык	1963	Kubachi	Академия Наук Грузинской ССР	Tbilisi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	saidova2001	Саидова, Патимат А.	Ботлихский язык	2001	Botlikh	Academia	Moscow	222--228	Языки Российской Федерации и соседних государств. Энциклопедия в трех томах	The languages of Russia and adjacent states. Encyclopaedia in three volumes	NA	NA	NA	NA	NA	NA	NA	Chiara Naccarato	05.02.2021	NA	NA
book	authier2009	Authier, Gilles	Grammaire kryz	2009	NA	Peeters	Paris	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chiara Naccarato	17.12.2021	NA	NA
book	mobili2010	Мобили, Роберт Б.	Удинско-азербайджанско-русский словарь	2010	Udi-Azerbaijani-Russian dictionary	Леман	Baku	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Polina Smyr	30.08.2021	NA	NA
book	gukasyan1974	Гукасян, Ворошил	Удинско-азербайджанско-русский словарь	1974	Udi-Azerbaijani-Russian dictionary	Элм	Baku	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	George Moroz	29.04.2021	NA	NA
book	vandenberg1995	van den Berg, Helma	A grammar of Hunzib	1995	NA	Lincom	Munich	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	haspelmath1993	Haspelmath, Martin	A grammar of Lezgian	1993	NA	Mouton de Gruyter	Berlin/New York	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	salimov2010	Салимов, Хангерей Саидович	Гагатлинский говор андийского языка	2010	The Gagatli dialect of Andi	ИЯЛИ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Samira Verhees	NA	2010 reprint of a 1968 dissertation.	NA
book	abdullaev1954	Абдуллаев, Сайгид Н.	Грамматика даргинского языка	1954	Dargwa grammar	ИЯЛИ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	talibov2007	Талибов, Букар Б.	Будухский язык	2007	Budukh	Академия	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	ibragimov2004	Ибрагимов, Гарун Х.	Рутульский язык	2004	Rutul	Народы Дагестана	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	nasledskovanetkachev2021	Nasledskova, Polina and Netkachev, Ivan	Ordinal numerals	2021	NA	Linguistic Convergence Laboratory, NRU HSE	Moscow	NA	Typological Atlas of the Languages of Daghestan (TALD)	NA	Michael Daniel and Konstantin Filatov and George Moroz and Timofey Mukhin and Chiara Naccarato and Samira Verhees	NA	NA	NA	NA	NA	http://lingconlab.ru/dagatlas	NA	NA	NA	NA
incollection	martzloff2017	Martzloff, Vincent	The derivation history of ordinal numbers in Armenian, Georgian and other Caucasian languages	2017	NA	ИЯЛИ	Makhachkala	NA	Historical Linguistics of the Caucasus: Book of abstracts. Paris, 12–14 April, 2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	stolzveselinova2013	Stolz, Thomas and Veselinova, Ljuba N.	Ordinal Numerals	2013	NA	Max Planck Institute for Evolutionary Anthropology	Leipzig	NA	The World Atlas of Language Structures Online	NA	Matthew S. Dryer and Martin Haspelmath	NA	NA	NA	NA	NA	https://wals.info/chapter/53	NA	NA	NA	NA
incollection	gil2013	Gil, David	Distributive Numerals	2013	NA	Max Planck Institute for Evolutionary Anthropology	Leipzig	NA	The World Atlas of Language Structures Online	NA	Matthew S. Dryer and Martin Haspelmath	NA	NA	NA	NA	NA	https://wals.info/chapter/54	NA	NA	NA	NA
book	sumbatovamutalov2003	Sumbatova, Nina R. and Mutalov, Rasul O.	A Grammar of Icari Dargwa	2003	NA	Lincom Europa	Munich	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phdthesis	khalilova2009	Khalilova, Zaira	A grammar of Khwarshi	2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	University of Leiden	NA	NA	NA	NA	NA	NA
misc	starostinstarostin	Starostin, Sergei and Starostin, George	Tower of Babel: etymological database	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://starlingdb.org	NA	NA	NA	NA
book	magometov1970	Магометов, Александр А.	Агульский язык	1970	Agul	Мецниереба	Tbilisi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	zhirkov1955	Жирков, Лев И.	Лакский язык	1955	Lak	Академия	Moscow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	saidova2007	Саидова, Патимат А.	Закатальский диалект аварского языка	2007	The Zaqatala dialect of Avar	ИЯЛИ	Makhachkala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Samira Verhees	NA	NA	NA
book	hurford1987	Hurford, James R.	Language and Number: the emergence of a cognitive system	1987	NA	Basil Blackwell	Oxford	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
article	dobrushina2007	Добрушина, Нина Роландовна	Многоязычие в Дагестане, или зачем человеку три языка	2007	Multilingualism in Dagestan, or Why a person needs three languages	NA	NA	NA	NA	NA	NA	Социологический журнал	1	NA	NA	NA	NA	NA	NA	NA	NA
book	bokarev1949a	Бокарёв, Анатолий А.	Очерк грамматики чамалинского языка	1949	Grammar sketch of Chamalal	Издательство Академии наук СССР	Moscow/Leningrad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
unpublished	ganenkov2021draft	Ganenkov, Dmitry	Chirag Dargwa	2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	xalilov1998	Халилов, Маджид Ш.	Цезский язык	1998	Tsez	Academia	Moscow	62--73	Языки мира. Кавказские языки	Languages of the world. Caucasian languages	Алексеев, Михаил Е. and Климов, Георгий А. and Старостин, Сергей А. and Тестелец, Яков Г.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
