CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	NOTE	NUMBER	SCHOOL	URL	VOLUME	CONTRIBUTOR	COMMENT
book	abdullaev1954	Абдуллаев, Сайгид Н.	Грамматика даргинского языка	1954	Dargwa grammar	ИЯЛИ	Махачкала												
book	alekseevetal2012	Алексеев, Михаил Е. and Атаев, Борис Махаевич and Магомедов, Магомед Абдулкадирович and Магомедов, Магомед Ибрагимович and Мадиева, Гюльжаган Исмаиловна and Саидова, Патимат Абдулаевна and Самедов, Джалиль Самедович	Современный аварский язык	2012	Contemporary Avar language	Aleph	Махачкала												
unpublished	authier2015	Authier, Gilles	Optatives and indirect imperatives in languages of Daghestan	2015															
book	authier2012	Authier, Gilles	Grammaire juhuri, ou judéo-tat, langue iranienne des Juifs du Caucase de l’est	2012		Dr. Ludwig Reichert Verlag Wiesbaden	Wiesbaden												
unpublished	belyaevdraft2019	Belyaev, Oleg	A grammar of Shiri	2019															
book	bybeeetal1994	Bybee, Joan L. and Perkins, Revere and Pagliuca, William	The evolution of grammar: Tense, aspect, and modality in the languages of the world	1994		University of Chicago Press	Chicago												
incollection	chumakina2018	Chumakina, Marina	Mood in Archi: Realization and Semantics	2018		Brill	Leiden	215--246	The Semantics of Verbal Categories in Nakh-Daghestanian Languages		Forker, Diana and Maisak, Timur								
book	comrieetal2015	Comrie, Bernard and Khalilov, Madzhid and Khalilova, Zaira	A grammar of Bezhta	2015		Max Planck Institute for Evolutionary Anthropology	Leipzig												
incollection	dobrushinaetal2013	Dobrushina, Nina and van der Auwera, Johan and Goussev, Valentin	The Optative	2013		Max Planck Institute for Evolutionary Anthropology	Leipzig		The {W}orld {A}tlas of {L}anguage {S}tructures {O}nline										
incollection	dobrushina2011	Dobrushina, Nina	The optative domain in East Caucasian languages	2011		Brockmeyer	Bochum	95--130	Tense, aspect, modality and finiteness in East Caucasian languages		Authier, Gilles and Maisak, Timur								
article	dobrushina2012	Dobrushina, Nina	What is the Jussive for? A study of third person commands in six Caucasian languages	2012				1--25				Linguistics		1			50		
incollection	dobrushina2019	Dobrushina, Nina	Moods of Mehweb	2019		Language Science Press	Berlin	117--165	The Mehweb language. Essays on phonology, morphology and syntax		Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry								
book	gadzhiakhmedov2000	Гаджиахмедов, Нурмагомед Э.	Словоизменительные категории имени и глагола в кумыкском языке	2000	Nominal and verbal inflectional categories in Kumyk	Юпитер	Махачкала												
book	gimbatov2006	Гимбатов, М. М.	Аварско-русский словарь	2006	Avar-Russian dictionary	ДНЦ РАН	Махачкала												
book	grosz2012	Grosz, Patrick G.	On the grammar of optative constructions	2012		John Benjamins	Amsterdam/Philadelphia												
phdthesis	khalilova2009	Khalilova, Zaira	A grammar of Khwarshi	2009											University of Leiden				
book	kibrik1996	Kibrik, Alexandr and Tatevosov, Sergej and Eulenberg, Alexander	Godoberi	1996		Lincom Europa	Munich/Newcastle												
book	kibrik1977	Кибрик, Александр Е.	Опыт структурного описания арчинского языка. Том II. Таксономическая грамматика	1977	Structural description of Archi. Volume II. Taxonomic grammar	Издательство Академии наук СССР	Москва												
article	maisakmerdanova2002	Майсак, Тимур А. and Мерданова, Солмаз Р.	Категория эвиденциальности в агульском языке	2002	The category of evidentiality in Agul			102--112				Кавказоведение					1		
book	mutalov2002	Муталов, Расул О.	Глагол Даргинского языка	2002	The verb in Dargwa	Издательско-полигрофический центр ДГУ	Махачкала												
incollection	nikolaeva2016	Nikolaeva, Irina	Analyses of the semantics of mood	2016		Oxford University Press	Oxford/New York	68--88	The Oxford Handbook of Modality and Mood		Nuyts, Yan and van der Auwera, Johan								
book	saidova2006	Саидова, Патимат А.	Годоберинско-русский словарь	2006	Godoberi-Russian dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала												
book	sumbatovamutalov2003	Sumbatova, Nina R. and Mutalov, Rasul O.	A Grammar of Icari Dargwa	2003		Lincom Europa	Munich												
book	sumbatovalander2014	Сумбатова, Нина Р. and Ландер, Юрий А.	Даргинский говор селения Танты: грамматический очерк. Вопросы синтаксиса	2014		Языки славянской культуры	Москва												
book	forker2013	Forker, Diana	A grammar of Hinuq	2013		De Gruyter Mouton	Berlin/Boston												
book	forker2020	Forker, Diana	A grammar of Sanzhi Dargwa	2020		Language Science Press	Berlin												
