CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR	URL	ISBN	VERSION	DOI	ISSUE	CONTRIBUTOR	COMMENT
article	aslanov74	NA	NA	Aslanov, A. M.	Iberijsko-kavkazskie abruptivy v zakatalʹsko-kaxskix govorax azerbajdžanskogo jazyka	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ežegodnik iberijsko-kavkazskogo jazykoznanija	NA	NA	NA	NA	NA	224--228	Akademija nauk GSSR	NA	NA	NA	1	1974	NA	NA	NA	NA	NA	George Moroz	NA
article	cho99	Makhachkala	NA	Cho, T. and Ladefoged, P.	Variation and universals in {VOT}: evidence from 18 languages	NA	NA	NA	NA	NA	NA	NA	NA	NA	Journal of Phonetics	NA	NA	NA	NA	NA	207--229	NA	NA	NA	NA	27	1999	NA	NA	NA	NA	2	George Moroz	NA
article	esling96	NA	NA	Esling, J. H.	Pharyngeal consonants and the aryepiglottic sphincter	NA	NA	NA	NA	NA	NA	NA	NA	NA	Journal of the international phonetic association	NA	NA	NA	2	NA	65--88	Cambridge University Press	NA	NA	NA	26	1996	NA	NA	NA	NA	NA	George Moroz	NA
book	dmitriyev40	NA	NA	Dmitriev, N. K.	Grammatika kumykskogo jazyka	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AN SSSR	NA	NA	NA	NA	1940	NA	NA	NA	NA	NA	George Moroz	NA
book	abaev64	Bloomington	NA	Abaev, V. I.	A grammatical sketch of {O}ssetic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Indiana Univesrity Press	NA	NA	NA	NA	1964	NA	NA	NA	NA	NA	George Moroz	NA
book	nikolayev94	NA	NA	Nikolayev, S. L. and Starostin, S. A.	A {N}orth {C}aucasian etymological dictionary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Asterisk Press	NA	NA	NA	NA	1994	NA	NA	NA	NA	NA	George Moroz	NA
book	catford77	Edinburgh	NA	Catford, J. C.	Fundamental {P}roblems in {P}honetics	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Edinburgh University Press	NA	NA	NA	NA	1977	NA	NA	NA	NA	NA	George Moroz	NA
incollection	nichols03	NA	NA	Nichols, Johanna	The {N}akh-{D}aghestanian consonant correspondences	NA	The {N}akh-{D}aghestanian consonant correspondences	NA	NA	NA	NA	Dee Ann Holisky and Kevin Tuite	NA	NA	NA	NA	NA	NA	NA	NA	207--265	John Benjamins Publication Company	NA	NA	NA	NA	2003	NA	NA	NA	NA	NA	George Moroz	NA
incollection	colarusso13	Munich	NA	Colarusso, J.	The {T}ypology of {G}utturals	NA	Base Articulatoire Arrière: Backing and Backness	NA	NA	NA	NA	Jean L{\'e}o L{\'e}onard and Samia Naïm	NA	NA	NA	NA	NA	NA	NA	NA	93--109	LINCOM Europa	NA	NA	NA	NA	2013	NA	NA	NA	NA	NA	George Moroz	NA
incollection	grawunder10	Berlin	NA	Grawunder, S. and Simpson, A. and Khalilov, M.	Phonetic characteristics of ejectives - samples from {C}aucasian languages	NA	??	NA	NA	NA	NA	Jean L{\'e}o L{\'e}onard and Samia Naïm	NA	NA	NA	NA	NA	NA	NA	NA	356--395	De Gruyter Mouton	NA	NA	NA	NA	2010	NA	NA	NA	NA	NA	George Moroz	NA
misc	daniell2021	NA	NA	Daniel, Michael	Ejectives in the {A}zerbaijani of {I}lisu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2021	NA	NA	NA	NA	NA	George Moroz	unpublished manuscript
misc	grawunder	NA	NA	Grawunder, S. and Moroz, G. and Zhigulskaya, V. and Daniel, M.	VOT in two {E}ast {C}aucasian languages	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	George Moroz	unpublished manuscript 
