CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	HOWPUBLISHED
incollection	franсois2008	François, Alexandre	Semantic maps and the typology of colexification: Intertwining polysemous networks across languages	2008		John Benjamins	Amesterdam	163--215	From Polysemy to Semantic change: Towards a Typology of Lexical Semantic Associations		Vanhove, Martine							
incollection	khalilov2023f	Khalilov, Madzhid	Karata (Tokitin dialect) dictionary	2023		Max Planck Institute for Evolutionary Anthropology	Leipzig		The Intercontinental Dictionary Series		Key, Mary Ritchie and Comrie, Bernard						http://ids.clld.org/contributions/40	
misc	keycomrie		The Intercontinental Dictionary Series	2023		Max Planck Institute for Evolutionary Anthropology	Leipzig				Key, Mary Ritchie and Comrie, Bernard						http://ids.clld.org/	
book	authier2009	Authier, Gilles	Grammaire kryz	2019		Peeters	Paris											
book	nichols2011	Nichols, Johanna	Ingush grammar	2011		University of California Press	Berkeley/Los Angeles											
book	karasaevmaciev1978	Карасаев, Айсаш Т. and Мациев, Ахмет Г.	Русско-чеченский словарь	1978	Russian-Chechen dictionary	Русский язык	Moscow											
book	ismailova2011	Исмаилова, Эминат И.	Русско-рутульский словарь	2011	Russian-Rutul dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Makhachkala											
book	izgijaeva2005	Изгияева, Эдэсо Биньяминовна	Татский язык горских евреев Кавказа. Татско-русский и русско-татский словари	2005	Tat language of the mountain Jews of the Caucasus. Tat-Russian and Russian-Tat dictionaries	Издательство «Юпитер»	Makhachkala											
book	naftaliev2016	Нафталиев, Мардахай Н.	Еврейско (джуури)-русский словарь	2016	Juhuri-Russian dictionary	СТМЭГИ	Moscow											
book	magomedovsaidovakutta2017	Магомедов, Амирбек Д. and Саидов-Аккутта, Набигулла И.	Кубачинско-русский словарь (рукопись)	2017	Kubachi-Russian dictionary (manuscript)	Наука	Saint-Petersburg											
book	magomedovaxalidova2001	Магомедова, Патимат Т. and Халидова, Рашидат Ш.	Каратинско-русский словарь	2001	Karata-Russian dictionary	ИЯЛИ	Makhachkala											
book	ramazanov2010	Рамазанов, Муслим Р.	Агульско-русский словарь	2010	Agul-Russian dictionary	Лотос	Makhachkala											
phdthesis	alisultanova2009	Алисултанова, Меседу А.	Лексика андийского языка	2009			Makhachkala								Дагестанский научный центр Российской академии наук  Институт языка, литературы и искусства им. Гамзата Цадасы			
book	tagiyev2006b		Azərbaycanca-rusca lüǧet. Dörd cilddə. II cild	2006	Azerbaijani-Russian Dictionary. 4 volumes. Vol. II	Şərq-Qərb	Baku				Tağıyev, M. T.							
book	magomedova1999	Магомедова, Патимат Т.	Чамалинско-русский словарь	1999	Chamalal-Russian dictionary	ИЯЛИ	Makhachkala											
book	yusupov2014	Юсупов, Хизри А.	Даргинско-русский словарь (рукопись)	2014	Dargwa-Russian dictionary (manuscript)	Институт истории, языка и литературы им. Г. Цадасы	Makhachkala											
book	xalilovisakov2005	Халилов, Маджид Ш. and Исаков, Исак А.	Гинухско-русский словарь	2005	Hinuq-Russian dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Makhachkala											
book	abdulaevkhalilov2023	Абдулаев, А. К. and Халилов, Маджид Шарипович	Диалектологический словарь цезского (дидойского) языка	2023	Dialectological dictionary of Тsez (Dido)	Institute Language, Literature and Arts DFRC RAS	Makhachkala				Халилова, Заира Маджидовна							
book	xalilov1999	Халилов, Маджид Ш.	Цезско-русский словарь	1999	Tsez-Russian dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Makhachkala											
book	desheriev1953	Дешериев, Юнус Д.	Бацбийский язык	1953	Tsova-Tush language	Академия	Moscow											
book	tsibakhashvili1978	Цибахашвили, Георгий И.	Самоучитель грузинского языка	1978	Self-teacher of the Georgian language	Издательство Тбилисского университета	Tbilisi											
book	kibrik1999		Элементы цахурского языка в типологическом освещении	1999	Elements of Tsakhur grammar in a typological perspective	Наследие	Moscow				Кибрик, Александр Е.							
