id	family	group	lang	idiom	type	genlang_point	map	core	feature	syntactic_function_of_the_caritive_phrase	morphological_status_of_the_caritive_marker	value_as_in_source	value_origin	value1	value1_name	comment	source	page	contributor	form_as_in_source	form	example_as_in_source	example	gloss	translation_as_in_source	translation	example_source	example_page	example_comment	date
1	East Caucasian	Lezgic	Agul	Huppuq'	village	yes	yes	yes	adverbial caritive phrases	adjunct	word	clausal caritives	existential verbs with locative prefixes	not having converb	Caritive marker in adverbial phrases		maisak2020	1	Anastasia Panova	fa-dawa-j			jac-ar fa-dawa-j χul.a-s ma-qu-ʕʷ-a	[ox-PL APUD.be-NEG-CVB] house-DAT PROH-RE-go/come-IPFV	Don’t you come back home without the oxen (lit. oxen not-having)!		maisak2020	1		10.202
2	East Caucasian	Andic	Akhvakh	Tad-Magitl'	village	yes	yes	yes	adverbial caritive phrases	adjunct	word	в знач. послелога без (не имея)	negative copula	not having converb	Caritive marker in adverbial phrases		magomedovaabdulaeva2007	117, 505	Anastasia Panova	голъIēгъе			хъулухъи голъIēгъе		без дела, без надобности		magomedovaabdulaeva2007	117		10.202
3	East Caucasian	Andic	Andi	Andi	village	yes	yes	yes	adverbial caritive phrases	adjunct	word	phrasal caritives	very probably etymologically related to the derivational -tu-b in Bagwalal	dedicated suffix/clitic ( ~ lessly)	Caritive marker in adverbial phrases		maisak2020	2	Anastasia Panova	ti(-gu)			išːi-w-ul=gu saldat-ol ti-gu išːi-‹b›o se-b-gulo i-du bildːosːja	[we.EXCL-GEN(M)-PL=INT soldier-PL CAR-ADVZ] we.EXCL-AFF<IV> one-IV-INDEF do-INF can+FUT.NEG	We cannot do anything without our soldiers		maisak2020	2		10.202
4	East Caucasian	Andic	Andi	Gagatli	village	no	yes	no	adverbial caritive phrases	adjunct	clitic	отрицательная частица	?	dedicated suffix/clitic ( ~ lessly)	Caritive marker in adverbial phrases		salimov2010	216	Anastasia Panova	-тигу			Гьедев ментигу вукъго		Он без тебя пришел		salimov2010	216		10.202
5	East Caucasian	Lezgic	Archi						adverbial caritive phrases	adjunct					Caritive marker in adverbial phrases				Anastasia Panova											10.202
6	Indo-European	Armenic	Armenian	Modern Eastern Armenian	dialect_toplevel	yes	yes	yes	adverbial caritive phrases	adjunct	word	adposition	?	adposition (~ without)	Caritive marker in adverbial phrases		dum-tragut2009	294--295	Anastasia Panova	ar°anc’			et’e et nayel-u lin-em č’-em kar-oł as-el t’e Hayastan-n aysōr ur klin-er ar°anc' Sp'yur°k'-i.	conj look back-ptcp.fut. be-subj.fut.1.sg. neg-I am can-ptcp.pres. say-inf conj Armenia.nom-the today where be-cond.past.3.sg prep Diaspora-dat	If I am about to look back, I can not say, where Armenia would be without the Diaspora		dum-tragut2009	248		10.202
7	East Caucasian	Avar	Avar	Standard Avar	language	yes	yes	yes	adverbial caritive phrases	adjunct	suffix	наречия образа действия, указывающие на неполноту признака и нехватку чего-либо	?	dedicated suffix/clitic ( ~ lessly)	Caritive marker in adverbial phrases	derived from nouns of archaic declension in genetive case	alekseevetal2012	129--130, 228	Anastasia Panova	-къ			къерукъ		бесцветно		alekseevetal2012	130		10.202
8	East Caucasian	Avar	Avar	Standard Avar	language	no	no	yes (neg cop)	adverbial caritive phrases	adjunct	word	не имея; без	negative copula	not having converb	Caritive marker in adverbial phrases		gimbatov2006	470	Anastasia Panova	гьéчІого			изну гьечIого вачIунге		без разрешения не приходи		gimbatov2006	470		10.202
9	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	yes	yes	yes	adverbial caritive phrases	adjunct	suffix	наречия образа действия	?	dedicated suffix/clitic ( ~ lessly)	Caritive marker in adverbial phrases		shiralievsevortyan1971	152--153	Anastasia Panova	-сыз / -сиз / -суз / -сүз			Онлар сəссиз-сəссиз данышырдылар		Они говорили беззвучно		shiralievsevortyan1971	152		10.202
10	East Caucasian	Andic	Bagvalal	Khushtada	village	yes	yes	yes	adverbial caritive phrases	adjunct	word	без-, не имея	negative copula	not having converb	Caritive marker in adverbial phrases	in some examples a converb is morphologically bound	magomedova2004	120	Anastasia Panova	вачIидабо			ракIва вачIидабо		неохотно, без желания		magomedova2004	120		10.202
11	East Caucasian	Nakh	Tsova-Tush	Zemo-Alvani	village	yes	yes	yes	adverbial caritive phrases	adjunct	suffix	показатель лишительного падежа	?	dedicated suffix/clitic ( ~ lessly)	Caritive marker in adverbial phrases	When the Batsbi caritive suffix is used to derive adverbials, Desheriev (1953) transcribes it as -c’i (without nasalization, which historically is a marker of attributivization), but, according to Jesse Wichers Schreur (p.c.), synchronically -c’in never occurs without nasalization	desheriev1953	60, 64, 71, 155	Anastasia Panova	-цIи			Шота инстIитIутIе пIапIкIе-цIи вахи		Шота пошел в институт без папки		desheriev1953	64		10.202
12	East Caucasian	Tsezic	Bezhta	Bezhta	language	yes	yes	yes	adverbial caritive phrases	adjunct	word	(no description)	negative copula	not having converb	Caritive marker in adverbial phrases		comrieetal2015	444	Anastasia Panova	гаьчIел			Ийо-або гаьчIел сийоле миже йовал?		Что же вы будете делать без родителей?		comrieetal2015	444		10.202
13	East Caucasian	Andic	Botlikh	Botlikh	village	yes	yes	yes	adverbial caritive phrases	adjunct	word	в знач. наречия без, не имея	negative copula	not having converb	Caritive marker in adverbial phrases		saidovaabusov2012	125	Anastasia Panova	гучIa(да)			гIилла гучIада		без причины		saidovaabusov2012	125		10.202
14	East Caucasian	Lezgic	Budukh	Budukh	language	yes	yes	yes	adverbial caritive phrases	adjunct	suffix	(no separate lexical entry)	?	dedicated suffix/clitic ( ~ lessly)	Caritive marker in adverbial phrases	borrowing from Turkic	mejlanova1984	204	Anastasia Panova	-суз, -сыз			рижере улу китаб гъавассуз сухуцIури		девушка эту книгу читает неохотно (без желания)		mejlanova1984	37		10.202
15	East Caucasian	Lezgic	Budukh	Budukh	language	no	no	yes (neg cop)	adverbial caritive phrases	adjunct	word	"послелог """"без"""""	negative copula	not having converb	Caritive marker in adverbial phrases		mejlanova1984; shejkhov1983	198; 286	Anastasia Panova	дабжена			Вын шид дарджена еджи газ гIуьхьуьджи?		Ты почему без брата к нам пришел?		shejkhov1983	286		10.202
16	East Caucasian	Andic	Chamalal	Lower Gakvari	village	yes	yes	yes	adverbial caritive phrases	adjunct	word	в значении послелога	negative copula	not having converb	Caritive marker in adverbial phrases		magomedova1999	163, 322	Anastasia Panova	икIида(лъи)			букъȳд икIидалъи		без нужды		magomedova1999	163	черта над лъ	10.202
17	East Caucasian	Nakh	Chechen	Standard Chechen	language	yes	yes	yes	adverbial caritive phrases	adjunct	word	деепр. от дац 'не имея'	negative copula	not having converb	Caritive marker in adverbial phrases		maciev1961	157	Anastasia Panova	дōцуш			жоп дōцуш дита		оставить без ответа		maciev1961	157		10.202
