id	family 	group	lang	idiom	type	genlang_point	map	feature	expression_type	value_in_source	value_semantics	dictionary_value	dictionary_source	value1	value1_name	value2	value2_name	lexical_verb_form	source	page	comment	contributor	form	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment	date
1	East Caucasian	Lezgic	Agul	Central Agul	dialect_toplevel	yes	yes	Causative expression type	light verb	вспомогательный глагол	do	делать;сделать;создавать;производить;совершить	ramzanov2010	light verb	Extent of boundedness	only light verb 	Attested expression types	infinitive	magometov1970	158		Daria Izmalkova	aq'-a-s		gada-di ruš-a kar aq'-as aq-un-i (qačik-un-i)	отец заставил дочь сделать работу	The father made his daughter do the work	father-ERG daughter-ERG job do-?INF do.?PST?	magometov1970	158	есть подозрение что это не отец, а сын, но непонятно опечатка ли(gaga vs gada) или контекст такой был 	6.2023
2	East Caucasian	Lezgic	Agul	Central Agul	dialect_toplevel	no	no	Causative expression type	light verb	вспомогательный глагол	force 	?		light verb	Extent of boundedness	only light verb 	Attested expression types	infinitive	magometov1970	158		Daria Izmalkova	qačik-a-s		gada-di ruš-a kar aq'-as aq-un-i (qačik-un-i)	отец заставил дочь сделать работу	The father made his daughter do the work	father-ERG daughter-ERG job do-?INF do.?PST?	magometov1970	158		6.2023
3	East Caucasian	Andic	Akhvakh	Northern Akhvakh	dialect_toplevel	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb	Attested expression types	stem	magomedbekova1967	100--103	in creisselsdraft2020: -a(j) and  -ut'/-ut'-a(j) (used if the verb stem ends with -a(j))	Daria Izmalkova	-a-		q'in-a:ri	заставил сшить	forced to sew	sew-CAUS.PST	magomedbekova1967	101	a+ari -> āri	6.2023
4	East Caucasian	Andic	Akhvakh	Northern Akhvakh	dialect_toplevel	no	no	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb	Attested expression types	stem	creisselsdraft2020	21	“young“ suffix derived from bit'-uruʎa	Daria Izmalkova	-ut'-		boč’iloː-t’-uruƛa	bring to an end	bring to an end	come_to_an_end-CAUS-INF	creisselsdraft2020	21	a+u -> o:	6.2023
5	East Caucasian	Andic	Akhvakh	Northern Akhvakh	dialect_toplevel	no	no	Causative expression type	light verb	вспомогательный глагол	direct	выпрямлять;выравнивать;напрвлять;указывать пальцем;исправлять;стелить (постель)	magomedovaabdulaeva2007	morphological	Extent of boundedness	morphological & light verb	Attested expression types	infinitive(shortened)	magomedbekova1967	100--103	the infinitive suffix causes vowel deletion and/or lengthening in the stem, so the the shortened infinitive seems to be the phonologically modified stem without the infinitive suffix	Daria Izmalkova	bit'-uruʎa		q'in-u bit'eri	заставляет шить	forces to sew	sew-INF direct-PRES	magomedbekova1967	102		6.2023
6	East Caucasian	Andic	Andi	Andi	village	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	athematic(bare) stem	cercvadze1965	366--367	два варианта в зависимости от спр глагола	Daria Izmalkova	-ol/-oɬ;-on/-onɬ		imu-di voš-b-o xur bet':-ollo	отец сына заставляет пахать поле	the father is making the son plow the field	father-ERG son-?OBJ field.ABS plow-CAUS-PRES	cercvadze1965	367		6.2023
7	East Caucasian	Lezgic	Archi	Archib	village	yes	yes	Causative expression type	light verb	вспомогательный глагол	do	делать;создавать;создаваться	kibrik1977dict	light verb	Extent of boundedness	only light verb	Attested expression types	infinitive	mikailov1967	137		Daria Izmalkova	-as		ak:us-as	показать	to show	see-do	mikailov1967	137	склоняется “делать“, не знаю легкий глагол или что-то другое	6.2023
8	Indo-European	Armenic	Armenian	Modern Eastern Armenian	dialect_toplevel	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb	Attested expression types	stem	dum-tragut2009	317		Daria Izmalkova	-c’n-		hiše-c'n-um	reminds	reminds	remember-CAUS-PTCP.PRES	dum-tragut2009	318	там целые предложения и отглоссированные, но длинные, кажется, для таблицы 	6.2023
9	Indo-European	Armenic	Armenian	Modern Eastern Armenian	dialect_toplevel	no	no	Causative expression type	light verb	“analytic paraphrase“	give	to give;to bestow;to make a present of;to give away;to deliver;to give up;to remit;totransmit;to render;to deliver over		morphological	Extent of boundedness	morphological & light verb	Attested expression types	infinitive	dum-tragut2009	317		Daria Izmalkova	t-al		Anna-n Aram-i-n kard-al tv-ec nor girk’-ə.	Anna made Aram read the new book	Anna made Aram read the new book	Anna.NOM-the Aram-DAT-the read-INF give-AOR.3.SG new book.NOM-the	dum-tragut2009	318	глоссы из книги, не знаю что такое -the	6.2023
10	East Caucasian	Avar	Avar	Standard Avar	language	yes	yes	Causative expression type	light verb	periphrastic construction	do	делать;сделать;производить;совершать;построить;готовить;разрабатывать;составлять;организовывать;сшить;разводить(кого-что-л.);рожать;учинить	gimbatov2006	light verb	Extent of boundedness	only light verb	Attested expression types	infinitive	forkerdraft2020	16	?суффикс - сокращение от полной формы, плюс кажется взаимозаменяемы	Daria Izmalkova	ha-b-ize		heq'eze habize	make drink	make drink	drink-inf do-inf	forkerdraft2020	16		6.2023
11	East Caucasian	Avar	Avar	Standard Avar	language	no	no	Causative expression type	light verb	suffixal				light verb	Extent of boundedness	only light verb	Attested expression types	infinitive	forkerdraft2020	16		Daria Izmalkova	-ize-;-iza-		heq'e-za-b-ize	make drink	make drink	?drink-caus-n-inf	forkerdraft2020	16	heq'e-z-ab-ize | drink-INF-do-INF	6.2023
12	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	shiralievsevortyan1971	109	не знаю чем отличаются, плюс на той же странице про переходные суффиксы там же повторяются и есть другие и большинство переводов каузативные  -dir;-dur;dUr, -ar(t);-Er(t);-yr(t);-ir(t);-ur(t);-Ur(t);-t, -yz(dyr);-iz(dir);-uz(dur);-Uz(dUr)	Daria Izmalkova	-dɯr;-dir;-dur;-dyr		din-dir-mək	допрашивать	interrogate	speak-CAUS-?INF	sevorlievsevortyan1971	109		6.2023
13	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	no	no	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	shiralievsevortyan1971	109		Daria Izmalkova	-t		išlə-t-mək	заставить работать	force to work	work-caus-?	sevorlievsevortyan1971	109		6.2023
14	East Caucasian	Andic	Bagvalal	Kvanada	village	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb	Attested expression types	stem	kibrik2001	384	у разных спряжений от разных основ	Daria Izmalkova	-e:		madinat-i-r zar b=ic'-e:	Мадинат растопила лед	Madinat melted the ice	Madinat-OBL-ERG ice.NOM N=melt-CAUS	kibrik2001	387		6.2023
15	East Caucasian	Andic	Bagvalal	Kvanada	village	no	no	Causative expression type	light verb	вспомогательный глагол	let	пускать;пропускать;впускать;отпускать;засовывать;запускать;приводить в движение;вводить;наносить;распускать (корни);издавать;распространять;случать (овец, коз);роиться (о пчелах);заставлять;давать возможность кому-то что-то сделать	magomedova2004	morphological	Extent of boundedness	morphological & light verb	Attested expression types	infinitive(from imperfective stem)/infinitive(from potential stem)	kibrik2001	385	CM=ešta + pot.stem has permissive meaning	Daria Izmalkova	CM-ešta		rasul-i-r χ̥an k'anc'ur-a b=ešta	Расул заставил лошадь прыгнуть	Rasul made the horse jump	Rasul-OBL-ERG horse jump-MS.IPF.INF N=allow	kibrik2001	387		6.2023
16	East Caucasian	Nakh	Tsova-Tush	Zemo-Alvani	village	yes	yes	Causative expression type	suffixal auxiliary					suffixal auxiliary	Extent of boundedness	only suffixal auxiliary	Attested expression types		holiskygagua1994	39	это формы глагола? 	Daria Izmalkova	-Dar		oqus o ħalǒ laps-Dij-ẽ	He dried it	He dried it	3SG/ERG 3SG/NOM PVB dry-TRANS-AOR	holiskygagua1994	40		6.2023
17	East Caucasian	Nakh	Tsova-Tush	Zemo-Alvani	village	no	no	Causative expression type	suffixal auxiliary	suffixal	leave	?		suffixal auxiliary	Extent of boundedness	only suffixal auxiliary	Attested expression types	stem	holiskygagua1994	40	в старой грамматике упоминается, кажется, только -ит-	Daria Izmalkova	-it-ar		oqus o ħalǒ co laps-it-ẽ	He didn't let it dry	He didn't let it dry	3SG/ERG 3SG PVB not dry-CAUS-AOR	holiskygagua1994	40		6.2023
18	East Caucasian	Tsezic	Bezhta	Bezhta	village	yes	yes	Causative expression type	suffixal auxiliary	вспомогательный глагол	put	ставить стоймя;назначать;помещать что-л. куда-л.;устанавливать;наклядывать;прикладывать;ставить оценку;класть;обвинять;укладывать;надевать;нарекать;ставить под чем-то;закладывать;жечь;вкладывать (деньги)	xalilov2015	morphological	Extent of boundedness	morphological & suffixal auxiliary	Attested expression types	stem	comrieetal2015	360	“ставить“. Упоминается еще tok'al “использовать“, но увидела только один пример и дальше при рассмотрении более конкретных случаев не упоминается. в грамматике хинукского упоминается ток'ал и говорят что он похож на ток'ер	Daria Izmalkova	gol-al;gil-al;gul-al		ija-gol-al	заставить плакать	make (smone) cry	cry-put-INF	comrieetal2015	361		6.2023
19	East Caucasian	Tsezic	Bezhta	Bezhta	village	no	no	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & suffixal auxiliary	Attested expression types	stem	comrieetal2015	360		Daria Izmalkova	-l-;-ll-		nis-o-l-al	спросить	ask	say-?-CAUS-INF	comrieetal2015	360		6.2023
20	East Caucasian	Tsezic	Bezhta	Bezhta	village	no	no	Causative expression type	suffixal auxiliary	вспомогательный глагол	use	использовать;применять	xalilov2015	morphological	Extent of boundedness	morphological & suffixal auxiliary	Attested expression types	stem?	comrieetal2015	360	less frequenlty used compared to golal; same verb as in Hinuq?  	Daria Izmalkova	tok'-al;tik’-al;tuk’-al		øhdæ-tok'-al	заставить кашлять	cause to cough	cough-use-INF	comrieetal2015	360		6.2023
21	East Caucasian	Andic	Botlikh	Botlikh	village	yes	yes	Causative expression type	light verb	verb	put	сажать;посадить;запирать;стелить;переносить;откладывать;заставлять кого-л. делать что-л.;проводить (время)	saidovaabusov2012	morphological	Extent of boundedness	morphological & light verb	Attested expression types	infinitive	alexeyevverheesdraft2020	21	the same verb is used in Godoberi	Daria Izmalkova	t’am-i	?	?							6.2023
22	East Caucasian	Andic	Botlikh	Botlikh	village	no	no	Causative expression type	light verb	verb	become	стать;становиться	saidovaabusov2012	morphological	Extent of boundedness	morphological & light verb	Attested expression types	infinitive	alexeyevverheesdraft2020	21	в словаре еще есть омонимы “созревать“ и “останавливаться“	Daria Izmalkova	CM-iʁ-a-j 	?	?							6.2023
23	East Caucasian	Andic	Botlikh	Botlikh	village	no	no	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb	Attested expression types	stem	alexeyevverheesdraft2020	21		Daria Izmalkova	-aj-;o(a+u)	qʷard-i [write-inf] > qʷard-a-j [write-caus-inf].	 qʷard-a-j	force to write	заставить написать	write-CAUS-INF	alexeyevverheesdraft2020	21		6.2023
24	East Caucasian	Lezgic	Budukh	Budukh	village	yes	yes	Causative expression type	light verb	вспомогательный глагол	give	давать	mejlanova1984	morphological	Extent of boundedness	morphological & light verb	Attested expression types	infinitive	talibov2007	174		Daria Izmalkova	CM-ucʼu		qeˤxčez j-ucʼu	заставить танцевать	force to dance	dance CM-give	talibov2007	174		6.2023
25	East Caucasian	Lezgic	Budukh	Budukh	village	no	no	Causative expression type	shortening+vowel alternation					morphological	Extent of boundedness	morphological & light verb	Attested expression types	?	talibov2007	168		Daria Izmalkova	?		senχi	забыть	forget	?	talibov2007	168		6.2023
26	East Caucasian	Andic	Chamalal	Gadyri	dialect_toplevel	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	bokarev1949a	96		Daria Izmalkova	-a:-		gud-a:-la	заставлять давать	force to give	give-CAUS-INF	bokarev1949	96	“долженствующее наклонение“ = инфинитив	6.2023
87	East Caucasian	Andic	Chamalal	Gigatli	dialect_toplevel	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	bokarev1949a	96		Daria Izmalkova	-a:-		gud-a:-la	заставлять давать	force to give	give-CAUS-INF	bokarev1949	96	“долженствующее наклонение“ = инфинитив	6.2023
88	East Caucasian	Andic	Chamalal	Upper Gakvari	dialect_nt1	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	bokarev1949a	96		Daria Izmalkova	-a:-		gud-a:-la	заставлять давать	force to give	give-CAUS-INF	bokarev1949	96	“долженствующее наклонение“ = инфинитив	6.2023
27	East Caucasian	Nakh	Chechen	Standard Chechen	language	yes	yes	Causative expression type	suffixal auxiliary	suffixal	leave	?		suffixal auxiliary	Extent of boundedness	only suffixal auxiliary	Attested expression types	stem	nichols1994	47	indirect	Daria Izmalkova	jta; i:ta	?	?							6.2023
28	East Caucasian	Nakh	Chechen	Standard Chechen	language	no	no	Causative expression type	suffixal auxiliary	suffixal	do	?		suffixal auxiliary	Extent of boundedness	only suffixal auxiliary	Attested expression types	stem	nichols1994	47	direct	Daria Izmalkova	CM-wo	?	?							6.2023
29	East Caucasian	Nakh	Chechen	Standard Chechen	language	no	no	Causative expression type	suffixal auxiliary	suffixal	make + let			suffixal auxiliary	Extent of boundedness	only suffixal auxiliary	Attested expression types	stem	nichols1994	47	double	Daria Izmalkova	CM-ajta									6.2023
30	East Caucasian	Dargwa	Dargwa	Mehweb	village	no	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb	Attested expression types	stem	daniel2019	97		Daria Izmalkova	-aq-;-aχaq-		a-b-iz-aq-ib abzul-la χalq’-ane.	(She) woke up everybody	(She) woke up everybody	PV-HPL-stand.up:PFV-CAUS-AOR all=ADD people-PL	danieletal2019	98		6.2023
31	East Caucasian	Dargwa	Dargwa	Mehweb	village	no	no	Causative expression type	light verb	periphrastic construction	drive	?		morphological	Extent of boundedness	morphological & light verb	Attested expression types	infinitive	barylnikova2019	172	directive	Daria Izmalkova	aʔas		pat’imat-ini anwar uʕq’-es aʔ-ib.	Patimat made Anwar go away	Patimat made Anwar go away	Patimat-ERG Anwar M.go:PFV-INF drive:PFV-AOR	barylnikova2019(danieletal2019)	173		6.2023
32	East Caucasian	Dargwa	Dargwa	Mehweb	village	no	no	Causative expression type	light verb	periphrastic construction	leave	?		morphological	Extent of boundedness	morphological & light verb	Attested expression types	infinitive	barylnikova2019	174	permissive	Daria Izmalkova	CM-aqas		pat’imat-ini anwar w-aq-ib umma d-aq’-as.	Patimat let Anwar kiss her	Patimat let Anwar kiss her	Patimat-ERG Anwar M-leave:PFV-AOR kiss NPL-do:PFV-INF	barylnikova2019(danieletal2019)	174		6.2023
33	East Caucasian	Dargwa	Dargwa	Mehweb	village	no	no	Causative expression type	light verb	periphrastic construction	do	?		morphological	Extent of boundedness	morphological & light verb	Attested expression types	infinitive	barylnikova2019	176	with adjectives	Daria Izmalkova	CM-aq’as		χaj-ni musa zuba w-aq’-ib.	Khan blinded Musa	Khan blinded Musa	khan.OBL-ERG Musa blind M-do:PFV-AOR	barylnikova2019(danieletal2019)	176		6.2023
34	East Caucasian	Dargwa	Dargwa	Sanzhi	village	no	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb	Attested expression types	stem	forker2020dargwa	227		Daria Izmalkova	-aq;-aˁq-		b-ič-aq-ib	make occur, hit, strike	make occur, hit, strike	N-occur.PFV-CAUS-PRET	forker2020dargwa	227		6.2023
35	East Caucasian	Dargwa	Dargwa	Sanzhi	village	no	no	Causative expression type	suffixal auxiliary	light verb	do	?		morphological	Extent of boundedness	morphological & light verb	Attested expression types	?	forker2020dargwa	228		Daria Izmalkova	CM-irq’-;CM-arq’-		hel hel-tː-a-cːella canille taχna ač b-arq’-ib	He opened the room together with them.	He opened the room together with them.	that that-PL-OBL-COMIT together room open N-do.PFV-PRET	forker2020dargwa	228		6.2023
