id	family	group	lang	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	case governed by postposition	type of spatial case	instrumental	value_as_in_source	source	page	comment	contributor	form	example_as_in_source	example	gloss	translation_as_in_source	translation	example_source	example_page	example_comment	date
1	East Caucasian	Lezgic	Agul	Agul	language	yes	yes	Comitative	case	Type of marking	comitative	Case form			ergative, superlative		maisak2014	390	origin: noun in postessive (-q) + stative verb converb with postessive prefix (q-); other forms available in some of the dialects (see Maisak 2014: 390-391)	Sara Zadykyan, Chiara Naccarato	-qaj (-qari)		χawa ʕasker-ar.i-qaj raqː.u hat.u-naw	then army-pl.obl-com way(in) send(pf)-aor	Отправили (юношу) в путь с войском	They sent (the young boy) on the way with the army	maisak2014	140--141		43.40.00
2	East Caucasian	Andic	Akhvakh	Northern Akhvakh	dialect_toplevel	yes	yes	Comitative	case	Type of marking	comitative	Case form			ergative		creisselsdraft2020	NA (8)	postposition in Magomedova & Abdulaeva (2007: 679)	Sara Zadykyan, Chiara Naccarato	-k'ena		dene=la w-oq’-u-wa ošte-k’ena	I=add m-come-m-pot you.pl.obl-com	I also can go with you	I also can go with you	creisselsdraft2020	NA (29)		43.40.00
3	East Caucasian	Andic	Andi	Zilo	village	yes	yes	Comitative	clitic	Type of marking	no_case	Case form			instrumental (originally locative)		kayeetaldraft2020	NA (7)		Sara Zadykyan, Chiara Naccarato	#ERROR!		muħammadi rasul=loj w-uʔ-o	Muhammad Rasul=com m-come-pst(aor)	Mohammad came with Rasul	Muhammad came with Rasul	kayeetaldraft2020	NA (32)		43.40.00
4	East Caucasian	Lezgic	Archi	Archib	village	yes	yes	Comitative	case	Type of marking	comitative	Case form			ergative, comitative	орудийно-сопроводительный падеж	mikailov1967	55	instrumental semantics	Sara Zadykyan, Chiara Naccarato	-ɬːu		to-w-mu zon žu-ɬːu ɬːʷa cili-ši č'ebā-r	dem-m-erg I refl.obl-com together Azerbaijan-all go.imp-quot	He tells me, let’s go to Azerbaijan together (with him)	He tells me, let’s go to Azerbaijan together (with him)	daniel2006	NA (8)		43.40.00
5	Indo-European	Armenic	Armenian	Modern Eastern Armenian	dialect_toplevel	yes	yes	Comitative	case	Type of marking	instrumental	Case form			#NAME?		dum-tragut2009	394		Sara Zadykyan, Chiara Naccarato	-ov		(...) hskayakan banak-ov (...)	huge army-ins	(...) with a huge army (...)	(...) with a huge army (...)	dum-tragut2009	394		43.40.00
6	Indo-European	Armenic	Armenian	Modern Eastern Armenian	dialect_toplevel	no	no	Comitative	postposition	Type of marking	no_case	Case form	dative				dum-tragut2009	394	het miasin 'together with' + dat	Sara Zadykyan, Chiara Naccarato	het		(...) ord-u het (...)	son-dat with	(...) with (her) son (...)	(...) with (her) son (...)	dum-tragut2009	394		43.40.00
7	East Caucasian	Avar	Avar	Standard Avar	language	yes	yes	Comitative	clitic	Type of marking	no_case	Case form			ergative, absolutive with contact verbs (e.g. hit), sometimes comitative		alekseevetal2012	236	sometimes instrumental semantics	Sara Zadykyan, Chiara Naccarato	#ERROR!		гьел пионерал=гун унел рукӀана		Они с пионерами шли	They were going with the pioneers	alekseevetal2012	236		43.40.00
8	East Caucasian	Avar	Avar	Standard Avar	language	no	no	Comitative	postposition	Type of marking	no_case	Case form	superessive				alekseevetal2012	243		Sara Zadykyan, Chiara Naccarato	cadaq		di-da cadaq	I.obl-sup(ess) with	со мной	with me	alekseevetal2012	243		43.40.00
9	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	yes	yes	Comitative	postposition	Type of marking	no_case	Case form	nominative/genitive		#NAME?		shiralievsevortyan1971	164	instrumental, comitative, path, manner	Sara Zadykyan, Chiara Naccarato	ilə (=lə/la)		Eyvaz=la Gulšən Xanpəri-nin yan-ı-na get-di-lər	Eyvaz=with Gulšən Xanpəri-gen near-pos-dat go-pst.3-pl	Эйваз и Польщен пошли к Ханпери	Eyvaz and Gulšən went to Xanpəri	shiralievsevortyan1971	164		43.40.00
10	East Caucasian	Andic	Bagvalal	Kvanada	village	yes	yes	Comitative	clitic	Type of marking	no_case	Case form			ergative		daraganmaisak2001	176		Sara Zadykyan, Chiara Naccarato	#ERROR!		wašː jas=eːna w-aː	brother girl=com m-arrive.pst	Пришёл брат с девочкой.	The brother arrived with a girl	daraganmaisak2001	176		43.40.00
11	East Caucasian	Tsezic	Bezhta	Bezhta	village	yes	yes	Comitative	case	Type of marking	spatial	Case form		cumessive	instrumental, absolutive with contact verbs (e.g. hit)		comrieetal2015	266, 269	can be used with postpositions; e.g. q'ac'o 'together with'	Chiara Naccarato	-ʁoj		ож-ди-гъой во м-екь-ейо	boy-obl-cum(ess) dog n-go-aor	вместе с мальчиком собака ушла	the dog went away with the boy	madieva1965	76		44.41.00
12	East Caucasian	Andic	Botlikh	Botlikh	village	yes	yes	Comitative	clitic	Type of marking	no_case	Case form			ergative		alexeyevverheesdraft2020	NA		Sara Zadykyan, Chiara Naccarato	#ERROR!		huɬːa hinc'u-č'u w-esqe kurt'a=ɬːi wacːi ida min k'ːʷand-i=talu w-aqašː-u	there door-cont m-behind hammer=com brother cop 2sg kill-inf=quot m-hide-cvb	There behind the door is my brother with a hammer to kill you	There behind the door is my brother with a hammer to kill you	alexeyevverheesdraft2020	NA		43.40.00
13	East Caucasian	Andic	Botlikh	Botlikh	village	no	no	Comitative	postposition	Type of marking	no_case	Case form	contessive				saidovaabusov2012	557		Sara Zadykyan, Chiara Naccarato	sandu		di-č'u sandu	you.sg-cont(ess) together	вместе с тобой	with you	saidovaabusov2012	557		43.40.00
14	East Caucasian	Lezgic	Budukh	Budukh	village	yes	yes	Comitative	case	Type of marking	instrumental	Case form			#NAME?	орудно-сопроводительный падеж	talibov2007	83	base: noun in the dative	Sara Zadykyan, Chiara Naccarato	-yn		Зар лаlхlиlлдыз-ын гlошхорави		Корова с теленком идет	The cow goes with its calf	talibov2007	84		43.40.00
15	East Caucasian	Andic	Chamalal	Upper Gakvari	village	yes	yes	Comitative	clitic	Type of marking	no_case	Case form			ergative	совместный падеж	bokarev1949a	47		Sara Zadykyan, Chiara Naccarato	#ERROR!		дӣ̃ вуна има=ла=чlа̃ (//има=чlа̃) вогъулlал		я пошел с отцом в лес	I went to the forest with (my) father	bokarev1949a	47		43.40.00
16	East Caucasian	Nakh	Chechen	Standard Chechen	language	yes	yes	Comitative	case	Type of marking	instrumental	Case form			#NAME?		jakovlev1960	32		Sara Zadykyan, Chiara Naccarato	-ca		ħa txüŏ-ca v-oːǧu?	you.sg we.excl.obl-ins m-go	Are you going with us?	Are you going with us?	nichols1994	70		43.40.00
17	East Caucasian	Dargwa	Dargwa	Standard Dargwa	language	yes	yes	Comitative	case	Type of marking	comitative	Case form			ergative, comitative, instrumental		musaev2002	47	instrumental semantics	Sara Zadykyan, Chiara Naccarato	-čil									43.40.00
18	East Caucasian	Dargwa	Dargwa	Mehweb	village	no	yes	Comitative	case	Type of marking	comitative	Case form			ergative, comitative		chechuro2019	62	instrumental semantics	Sara Zadykyan, Chiara Naccarato	-ču		sune-la ħalmic’ir-t-iču‹w›ijal urši helle w-erχ-ur	refl.obl-gen animal-pl-com‹m› boy here(lat) m-enter(pfv)-aor	The boy entered with his animals	The boy entered with his animals	kozhukhar2019	276		43.40.00
19	East Caucasian	Dargwa	Dargwa	Sanzhi	village	no	yes	Comitative	case	Type of marking	comitative	Case form			ergative, comitative		forker2020dargwa	65, 572	instrumental, manner, experiencer; origin: inlative + genitive	Sara Zadykyan, Chiara Naccarato	-cːella		(...) di-la juldašː-a-cːella	I.obl-gen friend-obl.pl-com	(...) with my friends	(...) with my friends	forker2020dargwa	65		43.40.00
20	East Caucasian	Dargwa	Dargwa	Sanzhi	village	no	no	Comitative	case	Type of marking	spatial	Case form		inelative		in-ablative	forker2020dargwa	73, 572	can be used with postposition b-alli 'together'; used more rarely than comitative	Sara Zadykyan, Chiara Naccarato	-cːe-r		hel-ka sa-∅-jʁ-ib nik’a durħuˁ welisipjed-li-cːe-r	that-down hither-m-come(pfv)-pret small boy bike-obl-in-abl	From over there a little boy with a bike came	From over there a little boy with a bike came	forker2020dargwa	73		43.40.00
21	East Caucasian	Dargwa	Dargwa	Akusha	dialect_nt1	no	yes	Comitative	case	Type of marking	comitative	Case form			ergative, comitative, instrumental	совместный падеж	abdullaev1954	108	instrumental semantics; can be used with postposition CM-arχ	Sara Zadykyan, Chiara Naccarato	-čil		Али-чил вацlализи вякьунра		C Али я пошел в лес	I went to the forest with Ali	abdullaev1954	108		43.40.00
22	East Caucasian	Dargwa	Dargwa	Itsari	village	no	yes	Comitative	case	Type of marking	comitative	Case form			ergative, comitative, instrumental		sumbatovamutalov2003	NA (20)	instrumental semantics	Sara Zadykyan, Chiara Naccarato	-cːilli		du tːatːi-cːilli wac'a-cːi w-aIr-un-da	I father-com forest-illat m-go(pfv)-pret-1	I went to the forest with the father	I went to the forest with (my) father	sumbatovamutalov2003	NA (25)		43.40.00
23	East Caucasian	Dargwa	Dargwa	Tanty	village	no	yes	Comitative	case	Type of marking	comitative	Case form			ergative, comitative		sumbatovalander2014	64	instrumental semantics	Sara Zadykyan, Chiara Naccarato	-cːele		učitelj w-až-ib=da rasul-li-cːele	teacher m-see(pfv)-pret=1 Rasul-obl-com	Я увидел учителя с Расулом / Мы с Расулом увидели учителя	I saw the teacher with Rasul / Rasul and I saw the teacher	sumbatovalander2014	64		43.40.00
24	East Caucasian	Dargwa	Dargwa	Kubachi	village	no	yes	Comitative	case	Type of marking	comitative	Case form			ergative, comitative		magometov1963	30	instrumental semantics	Sara Zadykyan, Chiara Naccarato	-cːil									43.40.00
25	Kartvelian	Georgic	Georgian	Standard Georgian	language	yes	yes	Comitative	postposition	Type of marking	no_case	Case form	instrumental		instrumental		hewitt1995	532	urt = from numeral ert-i 'one'	Chiara Naccarato	#NAME?		col-švil-it=urt	wife-child-ins=with	with wife and child	with wife and child	hewitt1995	532		44.41.00
26	Kartvelian	Georgic	Georgian	Standard Georgian	language	no	no	Comitative	postposition	Type of marking	no_case	Case form	dative				hewitt1995	532	another synonymous construction is the adverbial of an adjective in -ian (Hewitt 1995: 532)	Chiara Naccarato	#ERROR!		col-švil-Ø=tan ert-ad	wife-child-dat=at one-adv(as_one)	with wife and child	with wife and child	hewitt1995	532		44.41.00
27	East Caucasian	Andic	Godoberi	Godoberi	village	yes	yes	Comitative	clitic	Type of marking	no_case	Case form			ergative		fedorova1996	90	can be used with the postposition sanu	Sara Zadykyan, Chiara Naccarato	#ERROR!		ima waša=laɬi (sanu) ruš-ƛi wu-na	father son=com (together) forest.obl-inter m-go.pst	The father with his son went to the forest	The father with his son went to the forest	fedorova1996	90		43.40.00
28	East Caucasian	Andic	Godoberi	Godoberi	village	no	no	Comitative	postposition	Type of marking	no_case	Case form	dative				fedorova1996	90		Sara Zadykyan, Chiara Naccarato	sanu		ima wašu-ɬi sanu ruš-ƛi wu-na	father son.obl-dat together forest.obl-inter m-go.pst	The father went to the forest following his son	The father went to the forest following his son	fedorova1996	90		43.40.00
