id	lang	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	source	page	comment	contributor	date
1	Agul	Huppuq'	village	yes	yes	Evidentiality in the tense system	attested	Indirect evidential perfect	attested	Evidentiality in the tense system	maisakmerdanova2016	393--406		Samira Verhees	02.2020
2	Akhvakh	Axaxdərə	village	no	yes	Evidentiality in the tense system	attested	Indirect evidential perfect	attested	Evidentiality in the tense system	creissels2018; creissels2012	NA; 134--136		Samira Verhees	02.2020
3	Akhvakh	Northern Akhvakh	dialect_toplevel	yes	yes	Evidentiality in the tense system	attested	Indirect evidential perfect	attested	Evidentiality in the tense system	magomedovaabdulaeva2007	690		Samira Verhees	02.2020
4	Andi	Andi	village	yes	yes	Evidentiality in the tense system	attested	Indirect evidential perfect	attested	Evidentiality in the tense system	kibrik1985	NA		Samira Verhees	02.2020
5	Andi	Rikvani	village	no	yes	Evidentiality in the tense system	attested	Indirect evidential perfect	attested	Evidentiality in the tense system	maisak2016; verhees2018	NA; NA		Samira Verhees	02.2020
6	Andi	Zilo	village	no	yes	Evidentiality in the tense system	attested	Indirect evidential perfect	attested	Evidentiality in the tense system	kayeetaldraft2020	NA		Samira Verhees	02.2020
7	Archi	Archib	village	yes	yes	Evidentiality in the tense system	attested	Indirect evidential perfect	attested	Evidentiality in the tense system	maisak2021; tatevosov2001	NA; NA		Samira Verhees	02.2020
8	Armenian	Modern Eastern Armenian	dialect_toplevel	yes	yes	Evidentiality in the tense system	attested	Indirect evidential perfect	attested	Evidentiality in the tense system	kozintseva2000; dum-tragut2009	NA; 179--189	It seems the unwitnessed meaning requires some “reinforcement” from other elements, see Kozintseva (2000: 410), though Kozintseva considers the form to have indirect evidential meaning.	Samira Verhees	02.2020
9	Avar	Standard Avar	language	yes	yes	Evidentiality in the tense system	attested	Indirect evidential perfect	attested	Evidentiality in the tense system	mallaeva2007	196--206		Samira Verhees	02.2020
10	Avar	Zaqatala	dialect_nt1	no	yes	Evidentiality in the tense system	attested	Indirect evidential perfect	attested	Evidentiality in the tense system	saidova2007	142--144		Samira Verhees	02.2020
11	Azerbaijani	Standard Azerbaijani	language	yes	yes	Evidentiality in the tense system	not attested	Indirect evidential perfect	attested	Evidentiality in the tense system	shiralievsevortyan1971; johanson2018	125--127	Perfect requires “reinforcement” to express indirect evidentiality (Shiraliev & Sevortyan 1971: 127); According to Johanson (2018: 514) it has lost the indirect evidential meaning.	Samira Verhees	02.2020
12	Bagvalal	Kvanada	village	yes	yes	Evidentiality in the tense system	attested	Indirect evidential perfect	attested	Evidentiality in the tense system	maisaktatevosov2001; tatevosov2007	293--318	Perfect also has mirative meaning, according to Tatevosov (2007).	Samira Verhees	02.2020
13	Bezhta	Bezhta	village	yes	yes	Evidentiality in the tense system	attested	Indirect evidential perfect	attested	Evidentiality in the tense system	khalilova2011	NA		Samira Verhees	02.2020
14	Botlikh	Botlikh	village	yes	yes	Evidentiality in the tense system	attested	Indirect evidential perfect	attested	Evidentiality in the tense system	alexeyevverheesdraft2020	NA		Samira Verhees	02.2020
15	Budukh	Budukh	village	yes	yes	Evidentiality in the tense system	not attested	Indirect evidential perfect	not attested	Evidentiality in the tense system	maisak2021	NA		Samira Verhees	02.2020
