id	family	group	language	idiom	type	genlang_point	map	chapter	feature1	value_as_in_source_j	value1	feature2	value_as_in_source_h	value2	feature3	value3	source	page	contributor	date
1	East Caucasian	Lezgic	Agul	Central Agul	dialect_toplevel	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	horse, animal, beast, livestock	horse, wild animal	Translation of dʒanawar	wolf	wild animal	The presence of 'wolf' meaning	yes	ramazanov2010	649; 272	Dasha Tsikh	
2	East Caucasian	Andic	Northern Akhvakh	Tad-Magitl'	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock. beast, horse	horse, wild animal	Translation of dʒanawar	not attested	not attested	The presence of 'wolf' meaning	not attested	magomedovaabdulaeva2007; khalilov2023a	206;	Dasha Tsikh	
3	East Caucasian	Andic	Upper Andi	Gagatli	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, beast	wild animal	Translation of dʒanawar	beast, predator	wild animal	The presence of 'wolf' meaning	no	salimov2010	271; 289	Dasha Tsikh	
4	East Caucasian	Lezgic	Archi	Archib	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal	animal	Translation of dʒanawar	not attested	not attested	The presence of 'wolf' meaning	not attested	kibrik1977dict	181	Dasha Tsikh	
5	Indo-European	Armenic	Eastern Armenian	Standard Armenian	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal	animal	Translation of dʒanawar	beast, wolf	wild animal	The presence of 'wolf' meaning	yes			Dasha Tsikh	
6	East Caucasian	Avar	Avar	Standard Avar	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal	animal	Translation of dʒanawar	beast	wild animal	The presence of 'wolf' meaning	no	saidova2008; zhirkov1936	27; 82	Dasha Tsikh	
7	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	wolf	wild animal	The presence of 'wolf' meaning	yes	tagiyev2006a	361; 399	Dasha Tsikh	
8	East Caucasian	Andic	Bagvalal	Khushtada	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	beast	wild animal	The presence of 'wolf' meaning	no	magomedova2004	369; 182	Dasha Tsikh	
9	East Caucasian	Tsezic	Bezhta	Bezhta	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	wild animal	wild animal	The presence of 'wolf' meaning	no	xalilov2015; comrieetal2015	135; 77	Dasha Tsikh	
10	East Caucasian	Andic	Botlikh	Botlikh	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	beast	wild animal	The presence of 'wolf' meaning	no	saidovaabusov2012	383; 188	Dasha Tsikh	
11	East Caucasian	Lezgic	Budukh	Budukh	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal 	animal	Translation of dʒanawar	wolf	wild animal	The presence of 'wolf' meaning	yes	mejlanova1984	149; 56	Dasha Tsikh	
12	East Caucasian	Andic	Chamalal	Lower Gakvari	dialect_toplevel	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	beast	wild animal	The presence of 'wolf' meaning	no	magomedova1999	282; 151	Dasha Tsikh	
13	East Caucasian	Nakh	Chechen	Standard Chechen	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal 	animal	Translation of dʒanawar	not attested	not attested	The presence of 'wolf' meaning	not attested	karasaevmaciev1978	155	Dasha Tsikh	
14	East Caucasian	Dargwa	Northern Dargwa	Standard Dargwa	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	wolf, beast, predator	wild animal	The presence of 'wolf' meaning	yes	yusupov2014	1044; 426	Dasha Tsikh	
