id	lang	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	source	page	comment	contributor	form	form_seg	form_gloss	russian_gloss	date
59	Karata	Anchiq	village	no	yes	Morning greeting	NA	Type of morning greeting	Avar	Borrowing source	Konstantin Filatov, p.c.	NA	good morning or hello?	Chiara Naccarato	гъвачIами	гъвачIами	good_morning	доброе_утро	04.2021
60	Andi	Andi	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	alisultanova2009	127	Verb means 'get up' rather than 'wake up'.	Samira Verhees	вучIчIиде	в-учIчI-и=де	m-get_up-aor=q	m-вставать-aor=q	04.2021
61	Archi	Archib	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Marina Chumakina, p.c.	NA		Chiara Naccarato	nibk’i owc’ura? 	nibk’i o<w>c’u=ra 	sleep.erg ‹m.sg›fill(pfv)=q	сон.erg ‹m.sg›наполнять(pfv)=q	04.2021
62	Bezhta	Bezhta	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Zaira Xalilova, p.c.	NA		Chiara Naccarato	aʁiʔjo(di)	ø-aʁiʔ-jo(=di)	m-get_up-pst(=q)	m-вставать-pst(=q)	04.2021
63	Bezhta	Bezhta	village	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	xalilov2015	103		Chiara Naccarato	ворчIами	в/орчIами	m-good_morning	m-доброе_утро	04.2021
64	Botlikh	Botlikh	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	saidovaabusov2012	163		Samira Verhees	гьичIчIума	гьичIчI-у=ма	get_up-aor=q	вставать-aor=q	04.2021
65	Botlikh	Botlikh	village	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	Magomed Abusov, p.c.	NA		Samira Verhees	ворчIами	в/орчIами	m-good_morning	m-доброе_утро	04.2021
66	Budukh	Budukh	village	yes	yes	Morning greeting	Good morning	Type of morning greeting	NA	Borrowing source	mejlanova1984	118		Samira Verhees	памаджар хер сахье!	памаджар хер сахье!	morning good may_be	утром добрый будь	04.2021
1	Agul	Central Agul	dialect_toplevel	yes	yes	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	ramazanov2010	504	Ramazanov notes that сабах1 is an ironic ("шутл.-ирон.") word.	Samira Verhees	сабахIх'айир	сабахI-х'айир	dawn-benefit	утро-благо	04.2021
2	Godoberi	Godoberi	language	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	saidova2006	124		Chiara Naccarato	гьиччидаа	гьичч-и=даа	get_up-pst=q	вставать-pst=q	04.2021
3	Godoberi	Godoberi	village	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	saidova2006	98		Chiara Naccarato	ворчIами	ворчIами	hello	здравствуйте	04.2021
4	Hinuq	Hinuq	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	xalilovisakov2005	295	when the interrogative particle is added, the past suffix is removed, so there is no formal difference between general tense and past tense in these forms (Forker 2013)	Chiara Naccarato	ихийе	ø-их=ийе	m-get_up.pst=q	m-вставать.pst=q	04.2021
5	Hinuq	Hinuq	village	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	xalilovisakov2005	174		Chiara Naccarato	ворчIами	в/орчIами	m-good_morning	m-доброе_утро	04.2021
6	Hunzib	Hunzib	language	no	no	Morning greeting	NA	Type of morning greeting	NA	Borrowing source	NA	NA		Chiara Naccarato	NA	NA	NA	NA	04.2021
7	Hunzib	Hunzib	language	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	isakovxalilov2001	53		Chiara Naccarato	ворчIами	в/орчIами	m-hello	m-здравствуйте	04.2021
8	Dargwa	Itsari	village	no	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Nina Sumbatova, p.c.	NA		Samira Verhees	walhundiː	w-alh-un=diː	m-wake_up.pfv-pret=2sg.q	m-проснуться-pret=2sg.q	04.2021
9	Tat	Judeo-Tat	dialect_toplevel	yes	yes	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	naftaliev2016	532	Short form: сэбэх э хейбу <https://youtu.be/z35O1HtlPSY>	Samira Verhees	Səbəħ ty ə xəjr bu	Səbəħ ty ə xəjr bu	morning you in benefit be.subj	утро ты в благо быть.subj	04.2021
10	Dargwa	Kaitag	dialect_toplevel	no	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Uzlipat Gasanova, p.c.	NA		Samira Verhees	гьиццурдив	hicː-ur=di=w	stand_up.m.pfv-pret=2sg=q	встать.m-pret=2sg=q	04.2021
11	Dargwa	Kaitag	dialect_toplevel	no	no	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Uzlipat Gasanova, p.c.	NA		Samira Verhees	walhundiw	w-alh-un=di=w	m-wake_up.pfv-pret=2sg=q	m-проснуться-pret=2sg=q	04.2021
12	Karata	Karata	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Rashidat Xalidova, p.c.	NA		Chiara Naccarato	гьерчIчIоле	гьерчIчI=оле	get_up=q	вставать=q	04.2021
13	Karata	Karata	village	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	Rashidat Xalidova, p.c.	NA		Chiara Naccarato	варчIами	варчIами	hello	здравствуйте	04.2021
13	Khinalug	Khinalug	village	yes	yes	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	Monika Rind-Pawlowski, p.c.	NA	Khinalug speakers use only Azerbaijani greetings (not just in the morning), so they do not use adapted variants, it's rather a form of code-switching. They tend to not use the polite form (2pl).	Samira Verhees	Sabahın xeyir	Sabah-ın xeyir	morning-2sg.pos benefit / morning-2pl.pos benefit		04.2021
14	Bagvalal	Khushtada	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	magomedova2004	156		Samira Verhees	гьецIииваали	гьецIииваали	get_up.pst.cvb.q	вставать.pst.cvb.q	04.2021
15	Bagvalal	Khushtada	village	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	magomedova2004	122		Chiara Naccarato	ворчIами	в/орчIами	m-good_morning	m-доброе_утро	04.2021
16	Tsez	Kidero	dialect_nt1	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	xalilov1999	237, 251		Chiara Naccarato	изийаь	ø-из-ий=аь	m-get_up-pst=q	m-вставать-pst=q	04.2021
17	Tsez	Kidero	dialect_nt1	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	xalilov1999	145		Chiara Naccarato	ворчIами	в/орчIами	m-good_morning	m-доброе_утро	04.2021
18	Khwarshi	Kwantlada	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Zaira Xalilova, p.c.	NA		Chiara Naccarato	ahi mo?	ø-ah-i mo	m-get_up-pst 2sg	m-вставать-pst 2sg	04.2021
19	Chamalal	Lower Gakvari	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	magomedova1999	133		Samira Verhees	гьесIсIее	гьесIсI-ее	get_up.pst=q	вставать.pst=q	04.2021
20	Chamalal	Lower Gakvari	village	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	magomedova1999	110		Chiara Naccarato	ворчIами	ворчIами	good_morning	доброе_утро	04.2021
21	Dargwa	Mehweb	village	no	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Michael Daniel, p.c.	NA		Chiara Naccarato	валхIуннав	в-алхI-ун-на=в	m-wake_up.pfv-pst-ego=q	m-проснуться-pst-ego=q	04.2021
22	Dargwa	Muiri	dialect_nt1	no	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Uzlipat Gasanova, p.c.	NA		Samira Verhees	walhatːiw	w-alha-tːi=w	m-wake_up.pfv-pret.2sg=q	m-проснуться-pret.2sg=q	04.2021
23	Andi	Muni	village	no	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Patimat Nurmagomedova, p.c.	NA	The infix is not really a class marker, but the remnants of one.	Samira Verhees	гьучIиде	гь<у>чI-и=де	get_up<m>-aor=q	вставать<m>-aor=q	04.2021
24	Kryz	NA	NA	no	no	Morning greeting	NA	Type of morning greeting	NA	Borrowing source	NA	NA		Samira Verhees	NA	NA	NA	NA	04.2021
25	Udi	Nizh	village	yes	yes	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	maisak2006	NA		Chiara Naccarato	Савах хеир	Савах хеир	morning benefit	утро благо	04.2021
26	Andi	Rikvani	village	no	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Chopan Gaziev, p.c.	NA	Answer: менгуло вуч1иде? ("А сам проснулся?"); в грамматике Сулейманова, глагол в/уч1и не встречается как "проснуться, встать", но Чопан его использовал в одной моей анкете, так что видимо существует как отдельный глагол в рикванинском.	Samira Verhees	вучIиде	в-учI-и=де	m-get_up-aor=q	m-вставать-aor=q	04.2021
27	Dargwa	Sanzhi	village	no	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	forker2020dargwa	552		Samira Verhees	walhundew	w-alh-un=de=w	m-wake_up.pfv-pret=2sg=q	m-проснуться-pret=2sg=q	04.2021
28	Chechen	Standard Chechen	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	NA	Borrowing source	karasaevmaciev1978	135		Chiara Naccarato	Iуьйре дика хуьлда	Iуьйре дика хуьл<д>а	morning good become.opt<d>	утро добрый стать.opt<d>	04.2021
29	Dargwa	Standard Dargwa	language	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Uzlipat Gasanova, p.c.	NA		Samira Verhees	велхIунрив	в-елхI-ун-ри=в	m-wake_up.pfv-pret-2sg=q	m-проснуться-pret-2sg=q	04.2021
30	Georgian	Standard Georgian	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	NA	Borrowing source	hewitt2005	15		Chiara Naccarato	dila mšvidobisa(t)	dila mšvidob-isa	morning peace-gen	утро мир-gen	04.2021
