id	lang	idiom	type	genlang_point	map	form	value1	value1_name	feature	source	page	comment	contributor	date	example_as_in_source	example	translation_as_in_source	translation	gloss_as_in_source	gloss	example_source	example_page	example_comment
1	Andi	Andi	village	yes	yes	c'ol	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	cercvadze1965	345		Maksim Melenchenko	2022-08-19	l‘ob-c'ol-gu	ɬob-c’ol-gu	30	thirty		three-ten-NUM	cercvadze1965	345	
2	Andi	Rikvani	village	no	yes	c'ol	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	suleymanov1957	304		Maksim Melenchenko	2022-08-19	бокьгъоцIолгу	<b>oqho-c'ol-gu	40	forty		<CM>four-ten-NUM	suleymanov1957	300	
3	Andi	Gagatli	village	no	yes	c'ol	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	salimov2010	132		Maksim Melenchenko	2022-08-19	лъоб-цӀол-гу	ɬob-c’ol-gu	30	thirty		three-ten-NUM	salimov2010	132	
4	Andi	Zilo	village	no	yes	c'ol	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	kayeetaldraft2020	14		Maksim Melenchenko	2022-08-19	ɬob-c’ol-gu	ɬob-c’ol-gu	thirty	thirty		three-ten-NUM	kayeetaldraft2020	14	
5	Avar	Avar	language	yes	yes	—	vigesimal	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	forkerdraft2020	18	30' is sporadic: ɬeber=go, others derive vigesimally	Maksim Melenchenko	2022-08-19	k'i-q'o=go	k'i-q'o=go	forty	forty		two-twenty=NUM	forkerdraft2020	18	
6	Avar	Zaqatala	dialect_nt1	no	yes	—	borrowed	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	saidova2007	107	Tens from 50 to 90 are borrowed from Tsakhur (except for Kabakhchol dialect [112]). 10—40 are said to be similar to literary Avar, except for unsignificant phonetic differences, so the underlying native system is vigesimal.	Maksim Melenchenko	2022-08-19	хью-цIил	xu-c'il	50	fifty		five-ten	saidova2007	108	The numeral is borrowed from Tsakhur
7	Chamalal	Upper Gakvari	dialect_nt1	yes	yes	(a)c'a	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	bokarev1949	73	90' is ač'un-na (without -c'a).	Maksim Melenchenko	2022-08-19	лъалъацIада	ɬaɬa-c'a-da	30	thirty		three-ten-NUM	bokarev1949	72	The root for 'three' is ɬaɬa, so this is not reduplication.
8	Chamalal	Gigatli	dialect_toplevel	no	yes	(a)z	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	bokarev1949	73		Maksim Melenchenko	2022-08-19	лъабазда	ɬab-az-da	30	thirty		three-ten-NUM	bokarev1949	72	The root for 'three' is ɬab(u)
9	Tindi	Tindi	village	yes	yes	(a)c'a	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	magomedova2012	144	According to [authierdraft2020], -ja/-da is present in tens. Cf. ɬab-ac’a ‘30’ [magomedova2012: 145] but ɬab-ac’a-ja ‘30’ [authierdraft2020: 15].	Maksim Melenchenko	2022-08-19	лъабацIа	ɬab-ac’a	тридцать	thirty		three-ten	magomedova2012	145	Whether -ja/-da NUM is present in '30', is unclear (sources differ).
10	Godoberi	Godoberi	village	yes	yes	c'a	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	tatevosov1996	28		Maksim Melenchenko	2022-08-19	ɬabu-c’a-li	ɬabu-c’a-li	30	thirty		three-ten-NUM.ten	tatevosov1996	29	
11	Akhvakh	Northern Akhvakh	dialect_toplevel	yes	yes	—	vigesimal	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	magomedbekova1967	71		Maksim Melenchenko	2022-08-19	ḳeq̣endodabe	k’e-q’endo-da-be	40	forty		two-twenty-NUM-CM	magomedbekova1967	71	
12	Karata	Karata	dialect_toplevel	yes	yes	(j)ac'a	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	magomedbekova1971	93		Maksim Melenchenko	2022-08-19	bo'ac̣ada	boʔ-ac’a-da	40	forty		four-ten-NUM	magomedbekova1971	94	
13	Karata	Tukita	dialect_toplevel	no	yes	—	vigesimal	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	magomedbekova1971	95		Maksim Melenchenko	2022-08-19	кIе-къинду	k'e-q'indu	40	forty		two-twenty	gadzhieva2007	87	
14	Botlikh	Botlikh	village	yes	yes	c'a	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	azaev2000	355		Maksim Melenchenko	2022-08-19	бугъуцIалида	buɣu-c'a-li-da	40	forty		four-ten-NUM.ten-NUM	saidova2001	225	
15	Bagvalal	Kvanada	village	yes	yes	c'a	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	tatevosov2001numerals	155		Maksim Melenchenko	2022-08-19	hač’ʷa:-c’a	hač’ʷa:-c’a	90	ninety		nine-ten	tatevosov2001numerals	155	
16	Tsez	Kidero	dialect_nt1	yes	yes	—	vigesimal	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	bokarev1959	202		Maksim Melenchenko	2022-08-19	хъунохъу оцIино	q͜χu-no-q͜χu oc'i-no	50	fifty		two-NUM-twenty ten-NUM	bokarev1959tsez	202	
17	Khwarshi	Kwantlada	village	yes	yes	—	vigesimal	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	khalilova2009	169		Maksim Melenchenko	2022-08-19	q’ˤʷene-qu	q’ˤʷene-qu	40	forty		two-twenty	khalilova2009	169	
18	Hinuq	Hinuq	village	yes	yes	—	vigesimal	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	forker2013	394		Maksim Melenchenko	2022-08-19	q’o-no qu=no oc’e-no	q’o-no qu=no oc’e-no	50	fifty		two-NUM twenty=AND ten-NUM	forker2013	394	
19	Hunzib	Hunzib	language	yes	yes	rig	/—ig/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	vandenberg1995	68	Root -rig is of unknown origin. '10' is ac’ə.n.	Maksim Melenchenko	2022-08-19	ɬa.na=rig	ɬa.na=rig	30	thirty		three.NUM=ten	vandenberg1995	69	
20	Bezhta	Bezhta	village	yes	yes	jig	/—ig/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	madieva1965	105	Root -jig is of unknown origin. '10' is ac'o-na.	Maksim Melenchenko	2022-08-19	илъ-на йиг	iɬ-na jig	60	sixty		six-NUM ten	madieva1965	104	
21	Dargwa	Akusha	dialect_nt1	yes	yes	c'ali	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	abdullaev1954	135		Maksim Melenchenko	2022-08-19	хIяб-цI-али	ħäb-c'ali	30	thirty		three-ten	abdullaev1954	135	
22	Dargwa	Tanty	dialect_nt2	no	yes	c'ale	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	sumbatovalander2014	93		Maksim Melenchenko	2022-08-19	aʁʷ-cʼale	aʁʷ-cʼale	40	forty		four-ten	sumbatovalander2014	94	
23	Dargwa	Itsari	dialect_nt1	no	yes	c'al	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	sumbatovamutalov2003	45		Maksim Melenchenko	2022-08-19	irč’em-c’al	irč’em-c’al	90	ninety		nine-ten	sumbatovamutalov2003	45	
24	Dargwa	Sanzhi	village	no	yes	c'al	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	forker2020dargwa	129		Maksim Melenchenko	2022-08-19	urek-c’al	urek-c’al	60	sixty		six-ten	forker2020dargwa	130	
25	Dargwa	Mehweb	dialect_nt1	no	yes	c'ali	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	magometov1982	58		Maksim Melenchenko	2022-08-19	ure-c̣-ali-j-al	ure-c'ali-jal	60	sixty		six-ten-NUM	magometov1982	58	
26	Dargwa	Kaitag	dialect_toplevel	no	yes	c'ali	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	temirbulatova2004	18	Details are unclear, only a few examples are given.	Maksim Melenchenko	2022-08-19	шуцIали	šu-c'ali	50	fifty		five-ten	temirbulatova2004	18	
27	Dargwa	Chirag	dialect_toplevel	no	yes	c'ale	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	ganenkov2021draft	15		Maksim Melenchenko	2022-08-19	ʡa̰b-c’ale	ʡaˤb-c’ale	30	thirty		three-ten	ganenkov2021draft	15	
28	Dargwa	Kubachi	dialect_nt2	no	yes	c'al	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	magometov1963	134		Maksim Melenchenko	2022-08-19	x̃u-c̣-al	xu-c'al	50	fifty		five-ten	magometov1963	136	
29	Lak	Standard Lak	language	yes	yes	c'al	/c'—/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	zhirkov1955	53		Maksim Melenchenko	2022-08-19	ххюцIалва	x:ɵ-c'al-w.a	50	fifty		five-ten-III.NUM	zhirkov1955	53	III class
30	Archi	Archib	village	yes	yes	ij	/ij/ element	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	kibrik1977	119	-ij- component is of an unknown source. It is present in different tens (лъиб-ий-<тI>у ‘30’ with лъиб-<тI>у '3', букь:-ий-<тI>у ‘40’, etc). '10' itself has a root wic'- (вицI-и<тI>у '10').	Maksim Melenchenko	2022-08-19	дилъийтIу	diɬ-ij-<t'>u	60	sixty		six-ten-<CM>NUM	mikailov1967	75	
31	Lezgian	Standard Lezgian	language	yes	yes	—	vigesimal	Origin of the ‘ten’ component in crowns	Origin of the ‘ten’ component in crowns	haspelmath1993	230	The derivation of tens is mostly vigesimal. '40' is jaxc'ur, '50' is jaxc'ur-ni c'ud (this word «is not synchronically transparent [but cf. Šaumjan 1938]»).	Maksim Melenchenko	2022-08-19	pudq̃ad	pu-d-qa-d	60	sixty		three-CM-twenty-CM	haspelmath1993	231	
