id	lang	idiom	type	genlang_point	map	form	value1	value1_name	feature	source	page	comment	contributor	date	example_as_in_source	example	translation_as_in_source	translation	gloss_as_in_source	gloss	example_source	example_page	example_comment
1	Andi	Andi	village	yes	yes	R=gu	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	cercvadze1965	345		Maksim Melenchenko	2022-08-19	se-b	se-b		one		one-CM	cercvadze1965	345	
2	Andi	Kvankhidatli	village	no	yes	R=gu	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	cercvadze1965	345		Maksim Melenchenko	2022-08-19	ce-b	ce-b		one		one-CM	cercvadze1965	345	
3	Andi	Zilo	village	no	yes	R=gu	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	cercvadze1965	345		Maksim Melenchenko	2022-08-19	ce-b	ce-b		one		one-CM	cercvadze1965	345	
4	Andi	Rikvani	village	no	yes	R=gu	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	suleymanov1957	299		Maksim Melenchenko	2022-08-19	сев	se-w		one		one-CM	suleymanov1957	299	
5	Andi	Gagatli	village	no	yes	R=gu	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	salimov2010	132		Maksim Melenchenko	2022-08-19	сев	se-w		one		one-CM	salimov2010	132	
6	Avar	Avar	language	yes	yes	R=go	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	alekseevetal2012	186		Maksim Melenchenko	2022-08-19	цо	co		one		one	alekseevetal2012	186	
7	Avar	Zaqatala	dialect_nt1	no	yes	R=gu	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	saidova2007	107		Maksim Melenchenko	2022-08-19	цо	co		one		one	saidova2007	107	
8	Botlikh	Botlikh	village	yes	yes	R-da	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	alekseevetal1998	233		Maksim Melenchenko	2022-08-19	це-б	ce-b		one		one-CM	alekseevetal1998	233	
9	Chamalal	Upper Gakvari	dialect_nt1	yes	yes	R=da	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	bokarev1949b	71		Maksim Melenchenko	2022-08-19	се-в	se-w		one (I)		one-CM	bokarev1949b	71	
10	Godoberi	Godoberi	village	yes	yes	R=da	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	tatevosov1996	28		Maksim Melenchenko	2022-08-19	ce=b	ce=b		one		one-CM	tatevosov1996	28	
11	Bagvalal	Kvanada	village	yes	yes	R-da	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	tatevosov2001numerals	155		Maksim Melenchenko	2022-08-19	ce=b	ce=b		one		one-CM	tatevosov2001numerals	155	
12	Tindi	Tindi	village	yes	yes	R=da	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	magomedova2012	144		Maksim Melenchenko	2022-08-19	себ	se-b		one		one-CM	magomedova2012	144	
13	Akhvakh	Northern Akhvakh	dialect_toplevel	yes	yes	R-da-<CM>e	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	magomedbekova1967	71		Maksim Melenchenko	2022-08-19	čebe	če-be		one		one-CM	magomedbekova1967	71	
14	Karata	Karata	dialect_toplevel	yes	yes	R-da	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	magomedbekova1971	93		Maksim Melenchenko	2022-08-19	ceb	ce-b		one (III)		one-CM	magomedbekova1971	93	
15	Karata	Tukita	dialect_toplevel	no	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	magomedbekova1971	95		Maksim Melenchenko	2022-08-19	ceb	ce-b		one (III)		one-CM	magomedbekova1971	95	
16	Khwarshi	Kwantlada	village	yes	yes	R-no	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	khalilova2009	169		Maksim Melenchenko	2022-08-19	hos	hos		one		one	khalilova2009	169	
17	Tsez	Kidero	dialect_nt1	yes	yes	R-no	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	bokarev1959	202		Maksim Melenchenko	2022-08-19	сис	sis		one		one	bokarev1959tsez	202	
18	Hinuq	Hinuq	village	yes	yes	R-no	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	forker2013	394		Maksim Melenchenko	2022-08-19	hes	hes		one		one	forker2013	394	
19	Hunzib	Hunzib	language	yes	yes	R-n(o)	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	vandenberg1995	68		Maksim Melenchenko	2022-08-19	hə̃s	hə̃s		one		one	vandenberg1995	69	
20	Bezhta	Bezhta	village	yes	yes	R-na	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	comrieetal2015	293		Maksim Melenchenko	2022-08-19	гьоⁿс	hõs		one		one	comrieetal2015	293	
21	Dargwa	Akusha	dialect_nt1	yes	yes	R-al	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	abdullaev1954	135		Maksim Melenchenko	2022-08-19	ца	ca		one		one	abdullaev1954	135	
22	Dargwa	Tanty	dialect_nt2	no	yes	R-al	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	sumbatovalander2014	93		Maksim Melenchenko	2022-08-19	ca	ca		one		one	sumbatovalander2014	93	
23	Dargwa	Sanzhi	village	no	yes	R-al	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	forker2020dargwa	130		Maksim Melenchenko	2022-08-19	ca	ca		one		one	forker2020dargwa	130	
24	Dargwa	Itsari	dialect_nt1	no	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	sumbatovamutalov2003	44		Maksim Melenchenko	2022-08-19	ca	ca		one		one	sumbatovamutalov2003	44	
25	Dargwa	Mehweb	dialect_nt1	no	yes	R-al	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	magometov1982	58		Maksim Melenchenko	2022-08-19	ca	ca		one		one	magometov1982	58	
26	Dargwa	Kaitag	dialect_toplevel	no	yes	R-al	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	temirbulatova2004	18		Maksim Melenchenko	2022-08-19	ca	ca		one		one	temirbulatova2004	18	
27	Dargwa	Chirag	dialect_toplevel	no	yes	R-al	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	ganenkov2021draft_numerals	7		Maksim Melenchenko	2022-08-19	ca	ca		one		one	ganenkov2021draft_numerals	7	
28	Dargwa	Kubachi	dialect_nt2	no	yes	R-al	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	magometov1963	134		Maksim Melenchenko	2022-08-19	sa	sa:		one		one	magometov1963	134	
29	Lak	Standard Lak	language	yes	yes	R-CM-a	present	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	zhirkov1955	53		Maksim Melenchenko	2022-08-19	цава	ca-w.a		one		one-CM.NUM	zhirkov1955	53	
30	Archi	Archib	village	yes	yes	R-a<CM>u	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	mikailov1967	74	1' is os when on its own and s:e-j<t'>u when in complex numerals (e. g. лъаб-и-ттур с:е-й<тI>у ‘31’)	Maksim Melenchenko	2022-08-19	ос	os		one		one	mikailov1967	75	
31	Lezgian	Standard Lezgian	language	yes	yes	R-d	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	haspelmath1993	230	1' and '2' omit the marker when used attributively.	Maksim Melenchenko	2022-08-19	sa	sa		one		one	haspelmath1993	230	
32	Tabasaran	Standard Tabasaran	language	yes	yes	R-CM	present	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	alekseevshixalieva2003	52		Maksim Melenchenko	2022-08-19	саб	sa-b		one		one-CM	alekseevshixalieva2003	52	
33	Rutul	Kina	village	yes	yes	R-CM	absent	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	mukhin2020	4		Maksim Melenchenko	2022-08-19	sa	sa		one		one	mukhin2020	4	
34	Tsakhur	Mishlesh	village	yes	yes	R=CM=le	present	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	kibrik1999	154	Full form -CM-le is used only after components 1—10 and 20 when they are final or when counting millions.	Maksim Melenchenko	2022-08-19	sable	sa-b-le	один (III кл.)	one (class III)		one-CM-NUM	kibrik1999	154	
35	Agul	Central Agul	dialect_toplevel	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	magometov1970	95	Class marker does not appear in the adnominal position (when substantivized, only after components 1—10, 20).	Maksim Melenchenko	2022-08-19	sad	sa-d		one		one-CM	magometov1970	95	This is a substantivized example
36	Agul	Burshag	village	no	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	magometov1970	95	Class marker does not appear in the adnominal position (when substantivized, only after components 1—10, 20).	Maksim Melenchenko	2022-08-19	sᵊar	s:a-r	один	one		one-CM	magometov1970	95	This is a substantivized example
37	Budukh	Budukh	village	yes	yes	R-CM	present	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	talibov2007	145		Maksim Melenchenko	2022-08-19	саб	sa-b	один (III кл.)	one (class III)		one-CM	talibov2007	145	
38	Kryz	Alik	dialect_toplevel	yes	yes	R-CM	present	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	authier2009	105		Maksim Melenchenko	2022-08-19	sa-r	sa-r		one		one-CM	authier2009	105	
39	Udi	Udi	language	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	mobili2010	328		Maksim Melenchenko	2022-08-19	са	sa		one		one	mobili2010	328	
40	Khinalug	Khinalug	village	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	desheriev1959	131		Maksim Melenchenko	2022-08-19	са	sa		one		one	desheriev1959	131	
41	Chechen	Standard Chechen	language	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	nichols1994	51		Maksim Melenchenko	2022-08-19	cħa	cħa		one		one	nichols1994	51	is the consonat / vowel pharyngealized or is it just a phoneme?
42	Ingush	Standard Ingush	language	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	nichols2011	197	In the substantivized form in numerals 1, 2, 3, and 5 the glottal stop is added after the root (all of which end with vowels). Root '4' ends with the glottal stop in all positions, it is a part of the root.	Maksim Melenchenko	2022-08-19	cwa sag	cʕa sag		one person		one person	nichols2011	197	
43	Tsova-Tush	Zemo-Alvani	village	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	holiskygagua1994	188		Maksim Melenchenko	2022-08-19	cħa	cħa		one		one	holiskygagua1994	188	
44	Kumyk	Standard Kumyk	language	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	abdullaevaetal2014	230		Maksim Melenchenko	2022-08-19	бир	bir		one		one	abdullaevaetal2014	230	
45	Azerbaijani	Standard Azerbaijani	language	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	shiralievsevortyan1971	71		Maksim Melenchenko	2022-08-19	бир	bir		one		one	shiralievsevortyan1971	71	
46	Nogai	Nogai proper	language	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	baskakov1996	332		Maksim Melenchenko	2022-08-19	бир	bir		one		one	baskakov1996	332	
47	Tat	Judeo-Tat	dialect_toplevel	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘1’	Presence of the numeral marker in the numeral ‘1’	authier2012	81		Maksim Melenchenko	2022-08-19	yek(i)	jek(i)		one		one	authier2012	81	
